points,Longitude,Latitude
1,-3.73,36.73
8,-76.812336,34.937972
9,-76.812336,34.937972
10,-76.812336,34.937972
11,-97.454771,29.49596
12,-96.884563,32.913291
13,-95.714719,29.724184
14,-117.150152,32.733719
15,-117.150383,32.73365
16,-117.149656,32.735127
17,-117.148945,32.736156
18,-97.665108,30.331945
19,-81.214218,29.660768
20,-117.149121,32.732336
21,-117.148266,32.734307
22,-117.148098,32.734249
23,-117.148299,32.734374
24,-117.149611,32.73173
25,-117.148225,32.734608
26,-117.149544,32.731942
27,-117.147964,32.734262
28,-117.148475,32.734962
29,-117.147836,32.73405
30,-84.0713,34.05149
31,-84.266596,33.877898
32,-79.19709,34.489228
33,-97.32328,30.124558
34,-90.064328,29.95565
35,-92.140114,29.85847
36,-97.073243,27.835597
37,-95.308628,28.933886
38,-96.982284,32.979724
39,-156.889,20.7418
40,-156.889,20.7418
41,-156.889,20.7418
42,-156.889,20.7418
43,-156.889,20.7418
44,-155.882,19.4232
45,-155.882,19.4229
46,-157.003,21.0817
47,-157.003,21.0817
48,-157.003,21.0817
49,-157.003,21.0817
50,-157.809,21.3204
51,-156.554,20.871
52,-158.069,21.3445
53,-158.069,21.3445
58,-156.441,20.8964
59,-156.441,20.8964
60,-157.806,21.3963
61,-159.502,21.9122
62,-157.871,21.3332
63,-156.314,20.857
64,-156.915,20.8214
65,-159.508,22.1936
66,-159.502,21.9122
67,-159.508,22.1936
68,-159.502,21.9122
69,-157.806,21.3963
70,-159.502,21.9122
71,-156.495,20.7346
72,-159.502,21.9122
73,-156.495,20.7346
74,-156.441,20.8964
75,-157.806,21.3963
77,-157.806,21.3963
78,-156.495,20.7346
79,-159.502,21.9122
81,-159.502,21.9122
82,-159.502,21.9122
83,-80.30851,25.738054
84,-157.806,21.3963
85,-157.806,21.3963
86,-156.495,20.7346
87,-155.83,20.2379
88,-81.749054,24.573509
89,-81.486969,25.974558
90,-97.078995,27.827539
91,-94.698029,29.7906
92,-159.502,21.9122
93,-159.502,21.9122
94,-157.806,21.3963
95,-156.915,20.8214
96,-158.053635,21.636835
97,-156.441,20.8964
98,-156.441,20.8964
99,-157.871,21.3332
100,-159.502,21.9122
101,-159.508,22.1936
102,-159.502,21.9122
103,-156.314,20.857
104,-159.502,21.9122
106,-159.502,21.9122
125,-97.665138,30.332005
126,-117.149414,32.732375
127,-117.149094,32.732372
128,-117.149375,32.732328
129,-117.149422,32.732448
130,-117.148444,32.734517
131,-117.148099,32.733894
132,-117.148444,32.734517
133,-159.576474,22.220882
134,-89.625165,30.803408
135,-80.275736,25.676586
136,-117.148011,32.733363
137,-97.104192,32.660703
138,-117.148461,32.734883
139,-117.148505,32.734638
140,-96.302528,30.593678
141,-81.088583,29.349087
142,-95.688198,29.718468
143,-95.847184,29.406945
144,-97.782822,30.26155
145,-97.764333,30.348833
146,-79.196912,34.486604
147,-91.136833,30.344167
148,-81.609879,26.374877
149,-80.833679,25.322063
150,-79.195872,34.487536
151,-85.679852,30.701116
152,-97.100456,32.587209
153,-96.349703,30.608666
154,-94.664512,29.821955
155,-98.041786,30.295578
156,-97.853281,29.997399
157,-98.421592,29.681488
158,-157.801574,21.332976
159,-95.567415,30.199916
160,-94.590681,30.0255
161,-79.5532,35.069
162,-90.349503,29.63748
163,-97.833693,30.400302
164,-97.737636,30.347826
165,-97.247761,31.899491
166,-97.817957,30.411404
167,-95.127289,29.531104
168,-97.741812,30.301523
169,-97.717688,30.184134
170,-96.334407,30.627977
171,-97.734338,30.290761
172,-95.36939,29.760193
173,-96.334407,30.627977
174,-95.750742,30.209383
175,-94.774933,31.494903
176,-97.779442,30.282263
177,-97.734491,30.288072
178,-90.09066,30.005985
179,-90.11732,29.78257
180,-89.87857,30.05481
181,-90.11555,29.78353
182,-90.120707,29.790293
183,-94.340931,33.396663
184,-97.758508,30.508805
185,-94.89415,30.045514
186,-94.894146,30.045525
187,-90.986261,30.479861
188,-97.734051,30.287454
189,-94.390322,29.574663
190,-97.804413,30.136805
191,-96.340475,30.614892
192,-97.788499,30.256188
193,-97.365009,32.740032
194,-97.36517,32.73518
195,-94.591584,30.025505
196,-97.777934,30.28361
197,-84.621204,33.380396
198,-95.567333,30.199833
199,-117.148333,32.734333
200,-117.148333,32.734833
201,-98.38725,29.579855
202,-90.12051,29.789443
203,-90.13143,29.791833
204,-90.094231,30.005377
205,-89.879295,30.054336
206,-90.116346,29.783956
207,-90.117503,29.782805
208,-97.759231,30.508485
209,-90.115608,29.783384
210,-90.117939,29.78588
211,-97.69846,30.312842
212,-95.452384,29.764265
213,-96.213867,30.561653
214,-78.796623,35.821936
215,-79.061565,35.908518
216,-97.363851,32.740401
217,-117.148339,32.734578
218,-117.148354,32.734608
219,-97.759175,30.508397
220,-98.387331,29.579933
221,-96.931195,33.151623
222,-96.299597,30.656253
223,-82.324826,29.651634
224,-98.708869,29.781735
225,-95.904927,31.547668
226,-95.143919,32.327159
227,-96.33618,30.592328
228,-79.055845,35.9132
229,-80.665441,25.40281
230,-78.508879,34.254182
231,-75.665175,35.98489
232,-81.309334,28.513525
233,-79.366267,35.154644
234,-86.580254,33.532947
235,-79.065918,33.510987
