gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
895362819	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-191549	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus		DO	junction of Paraiso Road with road from the Cabral to Polo	Barahona Province	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.078729	-71.287233	33050.0						1978-08-17T00:00:00	17	8	1978	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-191549		Ernest E. Williams		CC_BY_NC_4_0	President and Fellows of Harvard College	Ernest E. Williams			2023-03-21T09:12:03.119Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
895362745	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-191550	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus		DO	junction of Paraiso Road with road from the Cabral to Polo	Barahona Province	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.078729	-71.287233	33050.0						1978-08-17T00:00:00	17	8	1978	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-191550		Ernest E. Williams		CC_BY_NC_4_0	President and Fellows of Harvard College	Ernest E. Williams			2023-03-21T09:13:16.063Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
872996659	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:HerpOBS:9	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus Duméril and Bibron, 1837	Duméril and Bibron, 1837	DO	4 km east of Oviedo, Jaragua National Park (northeast corner), Laguna de Oviedo visitor center	Pedernales Province	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	17.802429	-71.362881							2013-03-12T00:00:00	12	3	2013	2467283	2467283	HUMAN_OBSERVATION	MCZ	HerpOBS	9		Miguel A. Landestoy	2013-03-12T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	Miguel A. Landestoy			2023-03-21T09:10:57.434Z	StillImage	
734603532	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190783	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	3rd small ravine past mountain peak (Between Ennery and Plaisance)	Nord Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	19.56683	-72.49297			450.0	0.0			2009-08-05T00:00:00	5	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190783	Mahler1019	D. Luke Mahler	2009-08-05T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:15.241Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603531	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190795	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	Montrouis mango farm near Xanadu Hotel	Artibonite Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.96772	-72.72536			28.0	0.0			2009-08-09T00:00:00	9	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190795	Mahler1063	D. Luke Mahler	2009-08-09T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:16.017Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603530	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190792	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	near town of Lafond; N of Saint Marc	Artibonite Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	19.17426	-72.65345			27.0	0.0			2009-08-09T00:00:00	9	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190792	Mahler1051	D. Luke Mahler	2009-08-09T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:12:03.093Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603524	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190797	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	Basinta - site on dirt road. 7.6km S of Trou Forban	Ouest Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.82718	-72.57038			21.0	0.0			2009-08-10T00:00:00	10	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190797	Mahler1091	D. Luke Mahler	2009-08-10T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:14:24.618Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603521	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190782	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	3rd small ravine past mountain peak (Between Ennery and Plaisance)	Nord Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	19.56683	-72.49297			450.0	0.0			2009-08-05T00:00:00	5	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190782	Mahler1018	D. Luke Mahler	2009-08-05T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:15.187Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603517	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190794	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	Montrouis mango farm near Xanadu Hotel	Artibonite Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.96772	-72.72536			28.0	0.0			2009-08-09T00:00:00	9	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190794	Mahler1062	D. Luke Mahler	2009-08-09T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:16.078Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603508	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190780	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	Roadside seasonal stream site between Ennery and Plaisance	Nord Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	19.56736	-72.4932			427.0	0.0			2009-08-05T00:00:00	5	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190780	Mahler1011	D. Luke Mahler	2009-08-05T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:14:21.610Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603505	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190791	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis chlorocyanus Duméril & Bibron, 1837	Anolis chlorocyanus chlorocyanus		HT	Plaisance	Nord Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	19.61521	-72.44917			457.0	0.0			2009-08-06T00:00:00	6	8	2009	2467283	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190791	Mahler1049	D. Luke Mahler	2009-08-06T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:12:03.159Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603502	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190747	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus coelestinus		HT	Roadside between Duchity and Beaumont	Grand Anse Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.45702	-73.92188			592.0	0.0			2009-08-14T00:00:00	14	8	2009	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190747	Mahler1203	D. Luke Mahler	2009-08-14T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:15.239Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603487	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190737	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus coelestinus		HT	on road between Les Cayes and Jeremie	Sud Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.36653	-73.87884			451.0	0.0			2009-08-12T00:00:00	12	8	2009	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190737	Mahler1126	D. Luke Mahler	2009-08-12T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:12:03.158Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603485	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190736	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus coelestinus		HT	on road between Les Cayes and Jeremie	Sud Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.36653	-73.87884			451.0	0.0			2009-08-12T00:00:00	12	8	2009	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190736	Mahler1125	D. Luke Mahler	2009-08-12T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:12:03.015Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603482	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190739	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus coelestinus		HT	Duchity (town along road between Les Cayes and Jeremie)	Grand Anse Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.43762	-73.89831			707.0	0.0			2009-08-12T00:00:00	12	8	2009	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190739	Mahler1137	D. Luke Mahler	2009-08-12T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:12:03.095Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603481	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190740	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus coelestinus		HT	Castillon	Grand Anse Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.46684	-74.116			945.0	0.0			2009-08-12T00:00:00	12	8	2009	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190740	Mahler1143	D. Luke Mahler	2009-08-12T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:13:16.016Z		TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603477	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190738	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus coelestinus		HT	on road between Les Cayes and Jeremie	Sud Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.36653	-73.87884			451.0	0.0			2009-08-12T00:00:00	12	8	2009	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190738	Mahler1127	D. Luke Mahler	2009-08-12T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:12:03.089Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
734603463	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Herp:R-190745	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis chlorocyanus		SPECIES	Anolis coelestinus Cope, 1862	Anolis coelestinus coelestinus		HT	Citadelle des Platons, Carrefour Canon - Les Cayes region	Sud Department	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	18.27049	-73.97054			740.0	0.0			2009-08-15T00:00:00	15	8	2009	2467059	2467283	PRESERVED_SPECIMEN	MCZ	Herp	R-190745	Mahler1179	D. Luke Mahler	2009-08-15T00:00:00	CC_BY_NC_4_0	President and Fellows of Harvard College	D. Luke Mahler, Richard E. Glor			2023-03-21T09:14:24.293Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
