points,longitude,latitude
1,-83.104383,10.003567
2,-65.975667,18.4475
3,-80.157709,25.703103
14,-64.741917,18.343976
42,-65.7991,18.2879
218,-68.9493869,18.4173869
219,-68.9455008,18.4173889
220,-68.9455008,18.4173889
221,-68.9455008,18.4173889
222,-68.9455008,18.4173889
223,-68.9660573,18.4173869
224,-68.9660573,18.4173869
225,-68.9660573,18.4173869
226,-68.9660573,18.4173869
227,-68.9660573,18.4173869
228,-68.9660573,18.4173869
229,-68.9660573,18.4173869
230,-68.9660573,18.4173869
231,-68.9660573,18.4173869
232,-68.9660573,18.4173869
233,-68.9660573,18.4173869
234,-68.9660573,18.4173869
235,-68.9660573,18.4173869
236,-68.9660573,18.4173869
237,-68.9660573,18.4173869
238,-68.9660573,18.4173869
239,-68.9660573,18.4173869
240,-68.9660573,18.4173869
241,-68.9660573,18.4173869
242,-68.9660573,18.4173869
243,-68.9660573,18.4173869
244,-68.9660573,18.4173869
245,-68.9660573,18.4173869
246,-68.9660573,18.4173869
247,-68.9660573,18.4173869
248,-68.9660573,18.4173869
249,-68.9660573,18.4173869
250,-68.9660573,18.4173869
251,-68.9660573,18.4173869
252,-68.9660573,18.4173869
253,-68.9660573,18.4173869
254,-68.9660573,18.4173869
255,-68.9660573,18.4173869
256,-68.9660573,18.4173869
257,-68.9660573,18.4173869
258,-68.9660573,18.4173869
259,-68.9660573,18.4173869
260,-68.9660573,18.4173869
261,-68.9660573,18.4173869
262,-68.9660573,18.4173869
263,-68.9660573,18.4173869
264,-68.9660573,18.4173869
265,-68.9660573,18.4173869
266,-68.9660573,18.4173869
267,-68.9660573,18.4173869
323,-67.164659,18.411419
324,-67.164659,18.411419
325,-66.52028,17.89667
326,-66.52028,17.89667
327,-66.52028,17.89667
328,-66.52028,17.89667
329,-66.52028,17.89667
330,-66.52028,17.89667
331,-66.52028,17.89667
332,-66.52028,17.89667
333,-66.52028,17.89667
334,-66.52028,17.89667
335,-66.52028,17.89667
336,-66.52028,17.89667
337,-66.52028,17.89667
338,-66.52028,17.89667
339,-66.52028,17.89667
340,-66.52028,17.89667
341,-66.52028,17.89667
342,-66.52028,17.89667
354,-66.391709,17.980813
355,-66.977729,17.958851
356,-66.977729,17.958851
357,-66.977729,17.958851
358,-66.977729,17.958851
359,-66.844,17.9499
360,-66.8444,17.9846
361,-66.8444,17.9846
362,-66.8444,17.9846
363,-66.8444,17.9846
364,-67.0542,18.0618
365,-67.123337,17.950277
366,-67.111111,18.000556
367,-66.811037,17.963303
368,-66.9509,18.099
369,-66.9509,18.099
370,-67.0542,18.0618
371,-67.1923,17.9336
372,-67.1923,17.9336
373,-67.1923,17.9336
374,-67.1715,18.0179
375,-67.155245,18.072788
376,-67.063,18.0867
377,-67.048611,17.985702
378,-66.8653,17.9555
379,-66.8391,17.9501
380,-66.9302,17.9734
381,-66.9302,17.9734
382,-66.8499,17.9831
383,-66.966648,17.953913
384,-66.966648,17.953913
385,-66.8448,17.9508
386,-66.617767,18.056633
387,-66.617767,18.056633
388,-66.617767,18.056633
389,-66.617767,18.056633
390,-66.617767,18.056633
391,-66.617767,18.056633
392,-66.617767,18.056633
393,-67.048611,17.976667
394,-67.10078,18.013121
395,-67.048611,17.976667
396,-66.935221,17.963169
397,-66.935221,17.963169
398,-66.935221,17.963169
399,-66.935221,17.963169
400,-66.935221,17.963169
401,-66.935221,17.963169
402,-66.935221,17.963169
403,-67.1889,17.9578
404,-67.1889,17.9578
405,-67.1889,17.9578
406,-67.1889,17.9578
407,-65.99541,17.988527
408,-65.99541,17.988527
409,-66.536777,18.072184
410,-66.536777,18.072184
413,-66.3738,18.0373
414,-66.3738,18.0373
415,-66.3738,18.0373
416,-66.3738,18.0373
417,-66.474443,18.049713
418,-66.474443,18.049713
419,-66.493332,18.007652
420,-66.493332,18.007652
421,-66.493332,18.007652
422,-66.493332,18.007652
423,-66.493332,18.007652
424,-66.493332,18.007652
425,-65.31085,18.305
426,-65.31085,18.305
427,-65.31085,18.305
428,-65.31085,18.305
429,-65.31085,18.305
430,-65.31085,18.305
431,-65.31085,18.305
432,-65.30139,18.31403
469,-65.4864,18.1347
470,-65.4864,18.1347
471,-65.4864,18.1347
472,-65.4864,18.1347
473,-65.4864,18.1347
474,-65.4864,18.1347
475,-65.4864,18.1347
476,-65.5885,18.3864
477,-65.5885,18.3864
478,-65.5885,18.3864
479,-65.5885,18.3864
480,-65.5885,18.3864
481,-65.5885,18.3864
482,-65.5885,18.3864
483,-65.5885,18.3864
484,-65.5885,18.3864
485,-65.5885,18.3864
486,-65.5885,18.3864
487,-65.5885,18.3864
488,-65.5885,18.3864
489,-65.5885,18.3864
490,-65.5885,18.3864
491,-66.289272,18.19837
492,-66.9989,18.3243
493,-67.1109,18.2825
494,-67.1109,18.2825
495,-67.1109,18.2825
496,-67.017741,18.174444
497,-66.890688,18.429798
498,-66.9655,18.4185
502,-66.959558,18.474888
503,-65.654983,18.243862
504,-65.73907,18.245378
505,-65.73907,18.245378
506,-65.73907,18.245378
507,-65.73907,18.245378
508,-65.9002,18.0383
509,-65.919862,18.4333
510,-65.919862,18.4333
511,-65.919862,18.4333
512,-65.919862,18.4333
513,-65.919862,18.4333
514,-65.919862,18.4333
515,-65.919862,18.4333
516,-65.919862,18.4333
517,-65.919862,18.4333
518,-65.919862,18.4333
519,-65.919862,18.4333
520,-65.919862,18.4333
521,-65.919862,18.4333
522,-65.919862,18.4333
523,-65.919862,18.4333
524,-65.919862,18.4333
525,-65.919862,18.4333
526,-65.919862,18.4333
527,-65.919862,18.4333
528,-65.919862,18.4333
529,-65.919862,18.4333
530,-65.9068,18.0211
531,-65.9068,18.0211
532,-65.9068,18.0211
533,-65.9068,18.0211
534,-65.82583,18.32249
535,-65.82583,18.32249
536,-65.82583,18.32249
537,-66.141004,18.222903
538,-66.141004,18.222903
539,-65.82583,18.28967
540,-65.82583,18.28967
541,-65.82583,18.28967
542,-65.82583,18.28967
543,-65.619965,18.382873
544,-65.965563,18.4333
545,-65.965563,18.4333
546,-66.60454,18.359497
547,-66.60454,18.359497
548,-66.60454,18.359497
549,-66.60454,18.359497
550,-66.60454,18.359497
551,-66.575057,18.267502
552,-66.582473,18.380579
553,-66.582473,18.380579
554,-66.582473,18.380579
555,-66.582473,18.380579
556,-66.582473,18.380579
557,-66.305237,18.464304
558,-66.305237,18.464304
559,-66.305237,18.464304
560,-66.305237,18.464304
561,-66.305237,18.464304
562,-66.305237,18.464304
563,-66.35415,18.46557
564,-66.740081,17.998613
565,-66.740081,17.998613
566,-66.698023,18.314297
567,-66.698023,18.314297
568,-66.698023,18.314297
569,-66.698023,18.314297
570,-66.5826,18.4834
571,-66.5826,18.4834
572,-66.5826,18.4834
573,-65.728612,18.387363
574,-65.728612,18.387363
575,-65.728612,18.387363
576,-65.728612,18.387363
577,-65.728612,18.387363
578,-66.641643,18.324049
579,-66.641643,18.324049
580,-66.641643,18.324049
581,-66.641643,18.324049
582,-66.641643,18.324049
583,-66.641643,18.324049
584,-66.641643,18.324049
585,-66.641643,18.324049
586,-66.641643,18.324049
587,-66.641643,18.324049
588,-66.641643,18.324049
589,-66.641643,18.324049
590,-66.641643,18.324049
591,-66.641643,18.324049
592,-67.031109,18.169152
593,-67.031109,18.169152
594,-66.960835,18.203316
595,-66.960835,18.203316
596,-66.960835,18.203316
597,-66.960835,18.203316
598,-66.960835,18.203316
599,-66.960835,18.203316
600,-66.960835,18.203316
601,-66.960835,18.203316
602,-66.960835,18.203316
603,-66.960835,18.203316
604,-66.960835,18.203316
605,-66.960835,18.203316
606,-66.960835,18.203316
607,-66.960835,18.203316
608,-67.03642,18.12332
696,-68.9660573,18.4173869
697,-68.9660573,18.4173869
698,-68.9660573,18.4173869
699,-68.9660573,18.4173869
700,-68.9660573,18.4173869
701,-68.9660573,18.4173869
702,-68.9660573,18.4173869
703,-68.9660573,18.4173869
704,-68.9660573,18.4173869
705,-68.9660573,18.4173869
706,-68.9660573,18.4173869
707,-68.9660573,18.4173869
708,-68.9660573,18.4173869
709,-68.9660573,18.4173869
710,-68.9660573,18.4173869
711,-68.9660573,18.4173869
712,-68.9660573,18.4173869
713,-68.9660573,18.4173869
714,-68.9660573,18.4173869
715,-68.9660573,18.4173869
716,-68.9660573,18.4173869
717,-68.9660573,18.4173869
718,-68.9660573,18.4173869
719,-68.9660573,18.4173869
720,-68.9660573,18.4173869
721,-68.9660573,18.4173869
722,-68.9660573,18.4173869
723,-68.9660573,18.4173869
724,-68.9660573,18.4173869
725,-68.9660573,18.4173869
726,-68.9660573,18.4173869
727,-68.9660573,18.4173869
728,-68.9660573,18.4173869
729,-68.9660573,18.4173869
730,-68.9660573,18.4173869
731,-68.9660573,18.4173869
732,-68.9660573,18.4173869
733,-68.9660573,18.4173869
734,-68.9660573,18.4173869
735,-68.9660573,18.4173869
736,-68.9660573,18.4173869
737,-68.9660573,18.4173869
738,-68.9660573,18.4173869
739,-68.9660573,18.4173869
740,-68.9660573,18.4173869
741,-68.9660573,18.4173869
742,-68.9660573,18.4173869
743,-68.9660573,18.4173869
744,-68.9660573,18.4173869
745,-68.9660573,18.4173869
746,-68.9660573,18.4173869
747,-68.9660573,18.4173869
748,-68.9660573,18.4173869
749,-68.9660573,18.4173869
750,-68.9660573,18.4173869
751,-68.9660573,18.4173869
752,-68.9660573,18.4173869
753,-68.9660573,18.4173869
