points,longitude,latitude
1,-71.20833,18.69383
2,-71.22852,18.80565
3,-71.22852,18.80565
4,-71.73098,18.7224
5,-71.19476,18.54428
6,-71.22852,18.80565
7,-71.20833,18.69383
8,-71.20833,18.69383
9,-70.4707,18.50613
10,-70.4707,18.50613
11,-70.4707,18.50613
12,-70.4707,18.50613
13,-71.75245,18.71467
14,-71.77665,18.61772
15,-71.77665,18.61772
16,-71.18118,19.49805
17,-69.3078,18.83697
18,-69.3078,18.83697
19,-71.26699,18.1337
20,-71.26699,18.1337
21,-71.73378,18.14912
22,-71.77117,18.19033
23,-71.75299,18.23688
24,-71.76508,18.666517
25,-71.65513,18.33804
26,-71.58217,18.31087
27,-71.58217,18.31087
28,-71.57199,18.30478
29,-71.57199,18.30478
30,-71.57205,18.30771
31,-71.57199,18.30478
32,-71.57199,18.30478
33,-71.57199,18.30478
34,-71.5712,18.30589
35,-71.5712,18.30589
36,-71.77963,18.64867
37,-70.43095,18.3905
38,-70.43095,18.3905
39,-70.4311,18.39072
40,-70.43131,18.39049
41,-70.43089,18.38984
42,-70.43089,18.38984
43,-71.11909,18.0505
44,-71.11909,18.0505
45,-71.69652,18.5618
46,-71.0773,18.10223
47,-71.07711,18.10215
48,-69.76427,18.74201
49,-69.76427,18.74201
50,-69.79457,19.31477
51,-71.18118,19.49805
52,-71.18118,19.49805
53,-71.18118,19.49805
54,-71.00102,19.20166
55,-71.00102,19.20166
56,-71.12908,19.39635
57,-71.12908,19.39635
58,-71.12908,19.39635
59,-69.78766,19.24602
60,-69.83048,19.18713
61,-70.83462,19.71552
62,-70.75954,19.82768
63,-70.65009,19.76713
64,-69.13858,18.90546
65,-71.73409,18.72197
66,-71.77117,18.19033
67,-71.57199,18.30478
68,-70.43095,18.3905
69,-71.22852,18.80565
70,-71.20833,18.69383
71,-70.88746,19.0538
72,-70.57076,19.75009
73,-71.11273,18.05822
74,-70.4311,18.39072
75,-69.73792,18.81301
76,-70.65015,19.76741
77,-70.8022,19.07112
78,-71.11273,18.05822
79,-71.11273,18.05822
80,-71.11273,18.05822
81,-71.11273,18.05822
82,-71.11273,18.05822
83,-71.11273,18.05822
84,-70.4707,18.50613
85,-70.4707,18.50613
86,-70.4707,18.50613
87,-70.4707,18.50613
88,-70.93748,18.73813
89,-70.93958,18.6684
90,-71.18118,19.49805
91,-71.11273,18.05822
92,-71.11273,18.05822
93,-71.11273,18.05822
94,-71.11273,18.05822
95,-71.18118,19.49805
96,-71.18118,19.49805
97,-71.18118,19.49805
98,-71.18118,19.49805
99,-71.18118,19.49805
100,-71.18118,19.49805
101,-71.18118,19.49805
102,-71.18118,19.49805
103,-71.18118,19.49805
104,-71.18118,19.49805
105,-71.18118,19.49805
106,-71.18118,19.49805
107,-71.18118,19.49805
108,-71.18118,19.49805
109,-71.78353,18.6773
110,-71.18118,19.49805
111,-71.18118,19.49805
112,-71.18118,19.49805
113,-71.18118,19.49805
114,-70.70182,18.85263
115,-70.7018,18.85308
116,-71.18118,19.49805
117,-71.18118,19.49805
118,-69.13858,18.90546
119,-71.18118,19.49805
120,-71.18118,19.49805
121,-71.18118,19.49805
122,-71.11273,18.05822
