points,longitude,latitude
57,-68.34635,18.642567
64,-80.298096,25.706984
65,-80.15778,25.667673
66,-82.5001,28.7505
67,-76.7099,24.886
68,-76.7099,24.886
69,-76.7099,24.886
70,-82.5001,28.7505
71,-76.7099,24.886
72,-76.7099,24.886
73,-82.5001,28.7505
74,-76.7099,24.886
75,-76.7099,24.886
76,-76.7099,24.886
77,-70.86378,19.06818
78,-68.71995,18.4989
79,-77.88333,24.83333
80,-77.88333,24.83333
81,-77.88333,24.83333
82,-77.88333,24.83333
83,-77.88333,24.83333
84,-77.95861,25.05833
85,-77.95861,25.05833
86,-77.95861,25.05833
87,-77.95861,25.05833
88,-77.95861,25.05833
89,-77.95861,25.05833
90,-77.95861,25.05833
91,-77.95861,25.05833
92,-77.95861,25.05833
93,-77.95861,25.05833
94,-77.95861,25.05833
95,-77.95861,25.05833
96,-77.95861,25.05833
97,-77.95861,25.05833
98,-77.95861,25.05833
99,-77.95861,25.05833
100,-77.95861,25.05833
101,-77.95861,25.05833
102,-77.95861,25.05833
103,-77.95861,25.05833
104,-77.95861,25.05833
105,-77.95861,25.05833
106,-77.95861,25.05833
111,-77.93,24.89
112,-74.84,-74.81
113,-77.79,24.72
114,-77.79,24.72
115,-77.79,24.72
116,-77.79,24.72
117,-77.79,24.72
118,-77.79,24.72
119,-77.79,24.72
120,-77.93,24.89
121,-77.79,24.72
122,-69.5994045,18.450717
123,-69.5994045,18.450717
124,-69.5994045,18.450717
125,-69.5994045,18.450717
126,-69.5994045,18.450717
127,-69.5994045,18.450717
128,-69.98,18.58
129,-69.98,18.58
130,-69.98,18.58
131,-69.8894111,18.4707159
132,-69.8894111,18.4707159
134,-76.48,25.34
135,-76.48,25.34
136,-76.48,25.34
137,-76.48,25.34
138,-76.48,25.34
139,-76.48,25.34
140,-76.48,25.34
141,-73.6094959,18.3707184
142,-73.6094959,18.3707184
143,-73.6094959,18.3707184
144,-73.6094959,18.3707184
145,-72.05,18.65
146,-72.04946,18.2307264
147,-72.28,18.5
148,-72.28,18.5
149,-72.28,18.5
150,-72.28,18.5
151,-72.28,18.5
152,-71.85,18.25
153,-72.2,18.38
154,-73.0394828,18.3907179
155,-73.0394828,18.3907179
156,-73.0394828,18.3907179
157,-73.0394828,18.3907179
158,-73.0394828,18.3907179
159,-73.0394828,18.3907179
160,-73.0394828,18.3907179
161,-73.0394828,18.3907179
162,-73.0794837,18.4307159
163,-73.0794837,18.4307159
164,-73.0794837,18.4307159
165,-73.0794837,18.4307159
166,-73.0794837,18.4307159
167,-73.0794837,18.4307159
168,-73.0794837,18.4307159
169,-73.0794837,18.4307159
170,-73.0794837,18.4307159
171,-73.0794837,18.4307159
172,-73.0794837,18.4307159
173,-73.23,18.35
174,-68.70064,18.44712
175,-68.71911,18.54463
176,-68.71911,18.54463
177,-68.71911,18.54463
178,-68.71911,18.54463
179,-68.71911,18.54463
180,-68.71619,18.55832
181,-68.71619,18.55832
182,-68.71619,18.55832
183,-68.71619,18.55832
184,-68.71619,18.55832
185,-68.72299,18.57192
186,-68.72299,18.57192
187,-68.72299,18.57192
188,-68.72299,18.57192
189,-68.72299,18.57192
190,-68.72299,18.57192
191,-68.70588,18.45992
192,-68.71911,18.54463
193,-68.70064,18.44712
194,-68.70064,18.44712
195,-68.70064,18.44712
196,-68.71911,18.54463
197,-68.71911,18.54463
198,-68.71911,18.54463
199,-68.71911,18.54463
200,-68.71911,18.54463
201,-68.71619,18.55832
202,-68.71619,18.55832
203,-68.71619,18.55832
204,-68.71619,18.55832
205,-68.71619,18.55832
206,-68.72299,18.57192
207,-68.72299,18.57192
208,-68.72299,18.57192
209,-68.72299,18.57192
210,-68.72299,18.57192
211,-68.72299,18.57192
212,-68.70064,18.44712
213,-68.70064,18.44712
214,-68.70064,18.44712
215,-68.70064,18.44712
216,-68.70064,18.44712
217,-68.71911,18.54463
218,-68.71911,18.54463
219,-68.71911,18.54463
220,-68.71911,18.54463
221,-68.71995,18.4989
222,-68.71995,18.4989
223,-68.71619,18.55832
224,-68.71619,18.55832
225,-68.71619,18.55832
226,-68.71619,18.55832
227,-68.71619,18.55832
228,-68.72299,18.57192
229,-68.72299,18.57192
230,-68.72299,18.57192
231,-68.72299,18.57192
232,-68.72299,18.57192
233,-68.72299,18.57192
234,-68.70064,18.44712
235,-68.70064,18.44712
236,-68.70064,18.44712
237,-68.70064,18.44712
238,-68.70064,18.44712
239,-68.71995,18.4989
240,-68.71995,18.4989
241,-68.71995,18.4989
242,-68.71995,18.4989
243,-68.71995,18.4989
244,-68.71619,18.55832
245,-68.71619,18.55832
246,-68.71619,18.55832
247,-68.71619,18.55832
248,-68.71619,18.55832
249,-68.72299,18.57192
250,-68.72299,18.57192
251,-68.72299,18.57192
252,-68.72299,18.57192
253,-68.72299,18.57192
254,-68.72299,18.57192
255,-68.70064,18.44712
256,-68.70064,18.44712
257,-68.70064,18.44712
258,-68.70064,18.44712
259,-68.71995,18.4989
260,-68.71995,18.4989
261,-68.71995,18.4989
262,-68.71995,18.4989
263,-68.71995,18.4989
264,-68.71619,18.55832
265,-68.71619,18.55832
266,-68.71619,18.55832
267,-68.71619,18.55832
268,-68.71619,18.55832
269,-68.72299,18.57192
270,-68.72299,18.57192
271,-68.72299,18.57192
272,-68.72299,18.57192
273,-68.72299,18.57192
274,-68.72299,18.57192
275,-68.72098,18.52589
276,-68.72098,18.52589
277,-68.72098,18.52589
278,-68.71959,18.5866
279,-68.72098,18.52589
280,-68.72098,18.52589
281,-68.71995,18.4989
282,-68.71995,18.4989
283,-68.71995,18.4989
284,-68.71995,18.4989
285,-68.71619,18.55832
286,-68.71619,18.55832
287,-68.71619,18.55832
288,-68.71619,18.55832
289,-68.71619,18.55832
290,-68.71393,18.47081
291,-68.71393,18.47081
292,-68.71393,18.47081
293,-68.71393,18.47081
294,-68.71393,18.47081
295,-68.72098,18.52589
296,-68.72098,18.52589
297,-68.72177,18.5139
298,-68.72177,18.5139
299,-68.72177,18.5139
300,-68.71393,18.47801
301,-68.71995,18.4989
302,-68.71995,18.4989
303,-68.71995,18.4989
304,-68.71911,18.54463
305,-68.71995,18.4989
306,-68.71995,18.4989
307,-68.71619,18.55832
308,-68.71619,18.55832
309,-68.71619,18.55832
310,-68.71619,18.55832
311,-68.72061,18.5268
312,-68.71393,18.47081
313,-68.71393,18.47081
314,-68.71393,18.47081
315,-68.71393,18.47081
316,-68.71393,18.47081
317,-68.70588,18.45992
318,-68.70588,18.45992
319,-68.70588,18.45992
320,-68.70588,18.45992
321,-68.70588,18.45992
322,-68.71995,18.4989
323,-68.71995,18.4989
324,-68.71995,18.4989
325,-68.71995,18.4989
326,-68.71911,18.54463
327,-68.71911,18.54463
328,-68.72061,18.5268
329,-68.72061,18.5268
330,-68.72061,18.5268
331,-68.72061,18.5268
332,-68.72061,18.5268
333,-68.71393,18.47081
334,-68.71393,18.47081
335,-68.71393,18.47081
336,-68.71393,18.47081
337,-68.71393,18.47081
338,-68.70064,18.44712
339,-68.70064,18.44712
340,-68.70064,18.44712
341,-68.63762,18.38779
342,-68.63762,18.38779
343,-68.71911,18.54463
344,-68.71911,18.54463
345,-68.71911,18.54463
346,-68.71911,18.54463
347,-68.71995,18.4989
348,-68.71995,18.4989
349,-68.72061,18.5268
350,-68.72061,18.5268
351,-68.72061,18.5268
352,-68.72061,18.5268
353,-68.72061,18.5268
354,-68.71393,18.47081
355,-68.71393,18.47081
356,-68.71393,18.47081
357,-68.71393,18.47081
358,-68.71393,18.47081
359,-68.71619,18.55832
360,-68.71619,18.55832
