"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,0.0709666961935703,0.01965056276822,0.111469922965625,1800,0.018888888888889
"2",51,-0.00119694507919809,-0.00403162540169433,0.00121826736722142,1800,0.251111111111111
"3",101,0.0887615118760448,0.0333629626329639,0.145974060727895,1800,0.0144444444444445
"4",151,0.142309803829469,0.107797065990781,0.175349180935882,1800,0.00444444444444447
"5",201,0.15011964581851,0.134562543651555,0.162797602155479,1800,0.000555555555555556
"6",251,0.170740305785055,0.0834601358474174,0.254676218348322,2201.88708805753,0.01
"7",301,0.0793579778888203,0.0470799310423899,0.11616997346573,1800,0.00777777777777788
"8",351,0.229996156027461,0.2080140327962,0.255185279049329,1800,0.000555555555555556
"9",401,0.330393677076766,0.234498534235172,0.423571269289823,1972.26244364858,0.00111111111111106
"10",451,0.130573665412528,0.0424115445712232,0.218366144297761,1800,0.0233333333333334
"11",501,0.203061589919232,0.186265940079466,0.221788077338715,1942.77506329263,0.000555555555555556
"12",551,0.445538814754672,0.40942962479312,0.479664529921138,1954.76282758126,0.000555555555555556
"13",601,0.206156567446521,0.0401347981387516,0.384183874819428,1800,0.0444444444444445
"14",651,0.0805781937105979,0.0564963187207468,0.100178701904952,1800,0.00111111111111106
"15",701,0.236035644801375,0.192156045464799,0.276824724453036,1800,0.000555555555555556
"16",751,0.228550313824484,0.211490930596483,0.244373348083172,1800,0.000555555555555556
"17",801,0.276762520680329,0.225257499027066,0.318372525958694,1800,0.000555555555555556
"18",851,-0.0664837442138628,-0.126797716431611,-0.0160745500907069,1760.82952187649,0.03
"19",901,0.0652996210276368,0.0387894431223685,0.0883363553875824,1800,0.00555555555555554
"20",951,-0.0451124258025474,-0.15295305545169,0.100652823035489,1800,0.277777777777778
"21",1001,-0.119398836281547,-0.209524612524547,-0.0297417499823496,1800,0.0344444444444444
"22",1051,0.121921505345753,-0.0275967891357141,0.259429419849766,1800,0.0822222222222222
"23",1101,0.243909702159341,0.183809822535522,0.316364628379233,1800,0.00444444444444447
"24",1151,-0.047887001699867,-0.105202526494395,0.00418455302133225,1939.60869558037,0.0622222222222222
"25",1201,-0.139032622972852,-0.177432439202676,-0.0967148494673893,1800,0.00333333333333333
"26",1251,0.104895456323714,0.0479310377850197,0.163006924150977,1800,0.0133333333333334
