"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,0.00433063341488431,3.77795146422515e-11,0.0132794928993216,1800
"2",51,1.5887364088477e-05,2.66126375836381e-11,3.78848536207117e-05,1800
"3",101,0.00666020527055498,2.55528129512512e-11,0.0188311855414179,1800
"4",151,0.00249814868929345,2.26628122969294e-10,0.00766584734141443,1132.70970606742
"5",201,0.000518302771121536,1.93958520777039e-11,0.00104194609911852,1800
"6",251,0.0150555290857212,3.18461253368834e-09,0.0474607614969369,1466.65555862162
"7",301,0.0027084657392106,2.06439403410153e-10,0.00705334685249739,1800
"8",351,0.00110197167178923,1.46123202441062e-10,0.00308990931933981,1800
"9",401,0.0170262533313177,8.25289534998735e-11,0.0524978913309441,1800
"10",451,0.0201492471322631,1.05866915061249e-09,0.0476521321598662,1800
"11",501,0.000726111339617076,1.94589579048385e-14,0.00205535679113517,1582.72481847809
"12",551,0.00243128294174834,1.48511094541803e-09,0.00702406632250301,1800
"13",601,0.0596964545166598,1.39781569641051e-09,0.198272988453295,1800
"14",651,0.00127281623825243,1.55446983595046e-10,0.00284838197236123,1800
"15",701,0.00350959707503572,3.20812144299579e-10,0.0115628951781407,1435.84471931458
"16",751,0.000506061131173576,7.86265475477779e-11,0.00160490162726525,1800
"17",801,0.00570979383611389,1.09663708920145e-10,0.014356440146975,1800
"18",851,0.00560014286550158,1.08752870212289e-09,0.0182785337174387,1800
"19",901,0.00133861163450229,4.23033304440276e-10,0.00348971824206381,1800
"20",951,0.030276911028126,1.68101622344093e-08,0.0861080825416867,1800
"21",1001,0.0162221407844363,1.12455939397508e-08,0.0542569370623879,1800
"22",1051,0.0406642942360334,3.01943574776232e-08,0.120993680356936,1800
"23",1101,0.00989983551186725,4.54385864066338e-11,0.0322129916128115,1800
"24",1151,0.00689687574233095,7.58018625794224e-11,0.0187085143214544,1800
"25",1201,0.00406915373319822,1.56198472312348e-10,0.00924511842191361,1800
"26",1251,0.00640628735160758,4.36962373122505e-10,0.0193643360781889,1800
"27",1301,0.00275963521319579,2.45191146675348e-10,0.00720487032481216,1800
"28",1351,0.00270984041053108,4.15385488218631e-12,0.00726721511921756,1800
"29",1401,0.0104425742386244,4.57317859989646e-09,0.0312286814589503,1800
"30",1451,0.0394703109063336,2.96219607746408e-08,0.137862393938986,1350.34179130242
"31",1501,0.0368211461120691,4.41992591295423e-09,0.13059317828993,1800
"32",1551,0.00525560558378145,1.05415359794992e-10,0.013642576679428,1800
"33",1601,0.0105090265978341,2.43485980118904e-08,0.0368073882880477,890.118347711041
"34",1651,0.0013207553465426,5.36192810705448e-12,0.00476918924552342,1800
"35",1701,0.000321526166819451,4.40528215239966e-13,0.000880817431405355,1800
"36",1751,0.00669490304791016,2.68247110538957e-09,0.0193310760446038,1800
"37",1801,0.00353161899865322,7.81322991582526e-14,0.0105957068096635,1800
"38",1851,0.0125771326093034,2.76171224527752e-09,0.0389053169874882,1571.73218195302
"39",1901,0.00190276452086246,4.92665482444736e-09,0.00462044112578233,1800
"40",1951,0.00546067030145519,1.48609729237771e-09,0.0158396871800333,1800
"41",2001,0.0237879477952704,8.98793115993899e-08,0.0618639512021972,1586.19242515558
"42",2051,2.113045090506e-05,3.24574847324043e-12,5.38591355092542e-05,1800
"43",2101,0.0282155129360138,1.02064137099723e-09,0.0960234973977043,1800
"44",2151,0.00124178503836479,1.36681984202785e-09,0.00396457144462958,1452.04771815126
"45",2201,0.0436813425957379,1.62711677707535e-07,0.11471356580316,1800
"46",2251,0.00593298434451089,5.29134230811487e-10,0.0129501043107456,1800
"47",2301,0.00331906187123403,8.32211384128494e-10,0.010941080625876,1800
"48",2351,0.0236980218155524,4.44526530269635e-11,0.0870589843376516,1505.24639781207
"49",2401,3.0667921766607e-05,4.05678771055492e-12,9.72973170758346e-05,1800
"50",2451,0.00110105352855594,7.3637237530259e-12,0.00260857839926209,1800
"51",2501,0.027002213118968,7.69098320661176e-09,0.0703961363471127,1800
"52",2551,0.0206322601641028,1.45611270312241e-08,0.0685784702340208,1800
"53",2601,0.0139041183249856,9.47076495087047e-11,0.049539855137062,1800
"54",2651,0.0140685257592861,2.43057252777055e-10,0.0433409231852186,1800
"55",2701,0.00380806934337901,4.11135924747654e-11,0.0118857538516031,1800
"56",2751,0.0284657495145909,1.42430937037186e-10,0.072178451778383,1800
"57",2801,0.00314539771911513,2.27860736144076e-11,0.00852842642089334,1800
"58",2851,0.0444129553383023,1.20511240434225e-08,0.102242658142553,1800
