"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept)",1,1,0.643173440007815,1,3.98242407395143,0.00896529359988273
"Specieschlorocyanus",1,1,0.0697431120727092,1,-0.204865002861389,0.00232377854606897
"Speciescristatellus",1,1,0.334768995071844,1,-0.0299266855947659,0.0025114227851089
"Speciescybotes",1,1,0.383532758136953,1,-0.156828229249029,0.00207590859412063
"Speciesdistichus",1,1,0.470122006001723,1,-0.0754347490074793,0.00218491782223482
"Speciesequestris",1,1,0.267824984154627,1,-1.75278737049076,0.00895684237756058
"Speciessagrei",1,1,0.0975017098969854,0,0.00499018022039789,0.00247942944757622
"nTreatment",1,1,0.744256477917711,1,0.071459049168796,0.00293451544177377
"SVL",1,1,0.320057542410333,1,0.055647877157844,0.000440607969517003
"Velocity_cm.s",1,1,0.787776856836881,1,4.21088945374405,0.0175117703546641
"AgeEndurance",1,501,0.0921439309632761,0,-0.000855029543134701,0.000302533841557698
"Specieschlorocyanus:nTreatment",1,1,0.676479530093102,1,0.174544992819943,0.00423597499833577
"Speciescristatellus:nTreatment",1,1,0.671850679603801,0,-0.0372840521674833,0.00423310194993315
"Speciescybotes:nTreatment",1,1,0.623771190306552,1,-0.313000634965835,0.00411835737998402
"Speciesdistichus:nTreatment",1,1,0.803908761102188,1,-0.092093900841236,0.00418468873760024
"Speciesequestris:nTreatment",1,1,0.253667850007916,0,-0.00614769582633672,0.00445546433171479
"Speciessagrei:nTreatment",1,1,0.598241790572017,1,0.110909199958296,0.00401804965808951
"(Intercept).Cage.1",1,1,0.958000506438414,0,-0.00511207950466436,0.00153596397869156
"(Intercept).Cage.10",1,1,0.137871849646117,1,0.0226353698610557,0.0014579412499221
"(Intercept).Cage.11",1,1,0.833640747062508,0,-0.0111094499400889,0.0015111330681653
"(Intercept).Cage.12",1,1001,0.304395265291936,1,0.0383913880730456,0.00184701489228226
"(Intercept).Cage.13",1,1,0.22173718229044,0,-0.0128859260600878,0.00148592219997746
"(Intercept).Cage.14",1,1,0.0724586186675814,1,0.0238035665084574,0.00152499350471954
"(Intercept).Cage.15",1,1,0.779472155124122,1,0.025034003567443,0.00160342842361916
"(Intercept).Cage.16",1,1,0.487541012046463,0,-0.00633936927247003,0.00140873326312218
"(Intercept).Cage.17",1,1,0.300733284494771,1,0.0234987033046028,0.00156877205238985
