"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept)",1,1,0.939770704757574,1,3.97349101320535,0.00902552351280335
"Specieschlorocyanus",1,1,0.904893097087194,1,-0.206632742076347,0.00231644655052437
"Speciescristatellus",1,1,0.0505873474659706,1,-0.0308068042806348,0.00246561841463098
"Speciescybotes",1,1,0.20302257006052,1,-0.15900416071605,0.00207659170925126
"Speciesdistichus",1,1,0.887530487049073,1,-0.0760669576042144,0.00226321081498151
"Speciesequestris",1,1,0.919799406849835,1,-1.76327146517972,0.00887563239835036
"Speciessagrei",1,1,0.131025468853091,0,0.00596822930928319,0.00253355324293324
"nTreatment",1,1,0.976015401643572,1,0.0754766720313397,0.00297297257639623
"SVL",1,1,0.864180670746838,1,0.0561663984142153,0.000440623442119514
"Velocity_cm.s",1,1,0.722593316884828,1,4.20249640454177,0.0174881615877358
"AgeEndurance",1,1,0.095766300535241,0,-0.000833516519067962,0.000283055609491162
"Specieschlorocyanus:nTreatment",1,1,0.83759788005868,1,0.167881367924632,0.00434696951553128
"Speciescristatellus:nTreatment",1,1,0.389635461189467,1,-0.0422764890178144,0.00415425422793669
"Speciescybotes:nTreatment",1,1,0.574182485001236,1,-0.316740204120538,0.00431729700124158
"Speciesdistichus:nTreatment",1,1001,0.199315903453701,1,-0.0966144271380099,0.00471918156627211
"Speciesequestris:nTreatment",1,1,0.126990712071752,0,-0.00888838364624637,0.00421461811271905
"Speciessagrei:nTreatment",1,1,0.836031199648812,1,0.102876849884923,0.00401551331688363
"(Intercept).Cage.1",1,1,0.186596206934715,0,-0.00358346358666124,0.00154395504932279
"(Intercept).Cage.10",1,1,0.357933932254209,1,0.0235705527706607,0.00148931483163094
"(Intercept).Cage.11",1,1,0.546420278291238,0,-0.0125039652769806,0.00153897390930283
"(Intercept).Cage.12",1,1,0.227624631245782,1,0.0400920507299667,0.00167391326626927
"(Intercept).Cage.13",1,1,0.331761438393387,0,-0.0108783424948924,0.00150376817394592
"(Intercept).Cage.14",1,1,0.969663490092197,1,0.0253838978250842,0.00138149962005914
"(Intercept).Cage.15",1,1,0.15872723213608,1,0.0248317468729316,0.00158378578788512
"(Intercept).Cage.16",1,1,0.636385523163165,0,-0.00543955594649623,0.00148622289822071
"(Intercept).Cage.17",1,1,0.110339433554028,1,0.0236182408557453,0.00152550293687244
"(Intercept).Cage.18",1,1,0.290089400416762,1,-0.0233371287636401,0.0017306764800794
"(Intercept).Cage.19",1,1,0.0809234529893743,0,-0.0131997663160361,0.00156500669872414
"(Intercept).Cage.2",1,1,0.514676948405626,0,0.00645587548872738,0.00141287008845935
"(Intercept).Cage.20",1,1,0.753996139787309,1,-0.0476502982448071,0.00184703822185733
"(Intercept).Cage.21",1,501,0.063727566967524,0,0.00754434912015531,0.0017439594836449
"(Intercept).Cage.22",1,1,0.861933416869618,0,-0.00165400516355261,0.00137990707779998
"(Intercept).Cage.23",1,1,0.376152923035598,0,-0.0122761747755847,0.00145085137458185
"(Intercept).Cage.24",1,1,0.0542612834028392,0,-0.00388134321164406,0.00150333523389949
"(Intercept).Cage.25",1,1,0.0714751615226591,0,-0.0124209493379384,0.00167547910295258
"(Intercept).Cage.26",1,1,0.599341216700892,1,-0.0158434277901336,0.00145310497515643
"(Intercept).Cage.27",1,1,0.464949753036442,0,0.00472650424524697,0.00149622190248183
"(Intercept).Cage.28",1,1,0.61479467878262,1,0.0495887440302519,0.0018010525535022
"(Intercept).Cage.29",1,1,0.209269833701304,0,-0.00766631553032824,0.00150971928717922
"(Intercept).Cage.3",1,1,0.762885181724279,0,0.0137197742235968,0.00147545464184896
"(Intercept).Cage.30",1,1,0.467359561567202,0,-0.0135856675309821,0.00151334115240834
"(Intercept).Cage.31",1,1,0.369169807401749,0,-0.0089215743400011,0.00153047360050661
"(Intercept).Cage.32",1,1,0.419602092248802,0,-0.0103357185680201,0.00162334811844202
"(Intercept).Cage.33",1,1,0.179179176344226,0,0.00182511811616411,0.00138239902060188
"(Intercept).Cage.34",1,1,0.337147396046361,0,-0.00280539394032149,0.00141106432214673
"(Intercept).Cage.35",1,1,0.383846670349043,0,0.00656171973686929,0.00153773083785069
"(Intercept).Cage.36",1,1,0.987138396456311,0,-0.00735265145144149,0.00155618574942302
"(Intercept).Cage.37",1,1,0.481809198646572,0,0.00612222643273648,0.0014563010356493
"(Intercept).Cage.38",1,1,0.70997789009718,1,0.0152130687085146,0.00151030031932978
"(Intercept).Cage.4",1,1501,0.0776061423639157,0,0.0155978103818115,0.00177402305707032
"(Intercept).Cage.40",1,1,0.433696071023746,0,-0.000736550721774322,0.0016542654358596
"(Intercept).Cage.42",1,1,0.324735777027451,0,0.013133912237417,0.00146701641238677
"(Intercept).Cage.43",1,1,0.80548386021607,0,0.0109017106628261,0.00155155496718346
"(Intercept).Cage.44",1,1,0.599667314397119,1,-0.0306150773515015,0.00181293641020181
"(Intercept).Cage.45",1,1,0.648036745435232,0,0.00342898846280953,0.00152902793391232
"(Intercept).Cage.46",1,1,0.563665138983978,0,0.00872328708255221,0.00154682872101256
"(Intercept).Cage.47",1,1,0.192734348443662,0,0.0105324507805121,0.00158870667877603
"(Intercept).Cage.48",1,1,0.092165138312613,0,-0.0054888760026679,0.0014110273903038
"(Intercept).Cage.49",1,1,0.33282147640195,0,0.00060253102410031,0.00148332778688707
"(Intercept).Cage.50",1,1,0.506575373727388,1,-0.0288544800191449,0.00160847260791393
"(Intercept).Cage.51",1,1,0.797665981967695,0,0.0136797936744471,0.00154171552982293
"(Intercept).Cage.57",1,1,0.960270551750865,1,-0.0198399358256389,0.00156914285542212
"(Intercept).Cage.58",1,1,0.383746208694636,1,-0.0169792876127634,0.00154716938564988
"(Intercept).Cage.59",1,1,0.386481720443581,1,0.018306848376562,0.00150568888067836
"(Intercept).Cage.6",1,1,0.814217328288783,1,-0.0171565880368325,0.00156633374690351
"(Intercept).Cage.60",1,1501,0.579128156943166,1,0.0271107283063384,0.00186808851853079
"(Intercept).Cage.61",1,1,0.562250340935506,0,-0.00464297751841972,0.00154040955981199
"(Intercept).Cage.62",1,1,0.66654251459351,1,-0.0203889013399289,0.0014894503561456
"(Intercept).Cage.63",1,1,0.457528477378406,0,-0.0130065454325968,0.00158667363917039
"(Intercept).Cage.64",1,1,0.956853811049518,0,0.0122903226096772,0.00160254053596069
"(Intercept).Cage.65",1,1,0.678566554458799,0,0.000324350638266883,0.00156313365351607
"(Intercept).Cage.66",1,1,0.121530803454398,0,-0.00507792607042854,0.00155362973881866
"(Intercept).Cage.67",1,1,0.377513329184804,1,0.0257991390878019,0.00161707500495939
"(Intercept).Cage.68",1,1,0.208021319117379,0,0.00170587391574168,0.00146487775125954
"(Intercept).Cage.69",1,1,0.202734922230105,1,-0.0288933207845329,0.00164736789597567
"(Intercept).Cage.7",1,1,0.944868500201888,0,0.00297815047643764,0.00144787777540565
"(Intercept).Cage.70",1,1,0.436390628151539,1,-0.0195659359119198,0.00152132292808279
"(Intercept).Cage.71",1,1,0.455614753676943,1,-0.0173619389946763,0.00151839354491292
"(Intercept).Cage.72",1,1,0.939429848690318,0,0.00557834438098158,0.00163851449960119
"(Intercept).Cage.73",1,1,0.605426982936177,1,0.0245811450762014,0.00162710699908122
"(Intercept).Cage.74",1,1,0.342503057784936,1,0.0231659477469565,0.00168572922285194
"(Intercept).Cage.75",1,1,0.158989097822749,0,-0.00417700279653044,0.00159248962227955
"(Intercept).Cage.76",1,1,0.406893430100854,1,0.0200514133181692,0.00170827605437343
"(Intercept).Cage.77",1,1,0.824008170069466,0,-0.00499559926555763,0.00151441485253414
"(Intercept).Cage.8",1,1,0.463901532701953,1,-0.0228392538232541,0.00160343480212343
"(Intercept).Cage.9",1,1,0.664299415876446,1,-0.0172305037257875,0.00157220720956512
"nTreatment.Cage.1",1,1,0.337381332705397,0,-0.00572795693975494,0.00309646618189385
"nTreatment.Cage.10",1,1,0.756438659663263,0,0.0243787597414762,0.00287628877097491
"nTreatment.Cage.11",1,1,0.307674863231166,1,-0.0361051832506256,0.00309879599314852
"nTreatment.Cage.12",1,1,0.79557195995616,0,0.0196010617953349,0.00294945099364156
