"","Iteration","lowerInt","upperInt","lPreClim","uPreClim","lInvClim","uInvClim","lInvTime","uInvTime","lSpecies","uSpecies","lAbSpec","uAbSpec","lUnits","uUnits"
"1",1,-0.235974377021194,0.359025665288925,-0.264691296353703,0.272054796238081,-0.258214335364755,0.283735916411388,-0.239967493864924,0.320779632416816,1.386524586371e-09,0.28115910888542,3.24153254378923e-09,0.393974103051064,0.00636329680074328,0.0125538100389675
"2",51,-0.937046150356764,0.811839090551075,-0.939834000135306,0.7784022068372,-0.711390389333246,0.85011052005575,-0.683980083631468,0.954377771333384,2.58419939224659e-12,2.26204571415933,5.28287419248994e-12,2.22839158603104,2.69565061172931e-05,5.33217202450071e-05
"3",101,-0.176889707661758,0.448094771665637,-0.276451808036654,0.258066342561506,-0.250346101593777,0.289549981898745,-0.340138422827295,0.257284234383405,5.68934767124099e-09,0.372361056780936,1.05886889967323e-08,0.342610794814464,0.0132451438798038,0.0261359429748317
"4",151,-0.108083450526465,0.380138930500834,-0.226603368704673,0.235910823628728,-0.206676939124009,0.277584713185206,-0.192298528534593,0.311744679114781,2.97446197943966e-09,0.226442910559062,2.18646790683779e-11,0.248328066736001,0.00233991388836924,0.00462762044676503
"5",201,0.00414058876049239,0.234048506303225,-0.103477804630529,0.0994621969439322,-0.0965234980903915,0.139675777987577,-0.101155136304442,0.127821654474246,1.46470927098153e-12,0.0617317618982835,4.92641193797775e-12,0.0712678663460077,0.000671897804808386,0.00133175156544748
"6",251,-0.26744841170148,0.583925562095828,-0.440585712436587,0.353888507263036,-0.419818672481597,0.405376774087927,-0.355855585412428,0.455234442809342,3.08364295585478e-12,0.637840822461313,1.19956064807693e-08,0.931322229208142,0.0189278684039161,0.0376608602182714
"7",301,-0.172748443932505,0.395583473549777,-0.240873930015368,0.261953177800024,-0.315841225030454,0.220281396570499,-0.220301286415634,0.30963633270585,5.84900727898157e-10,0.280574270095323,1.05315379970495e-09,0.330602086654864,0.00463761040835499,0.00923128732346555
"8",351,-0.0178959482000209,0.404903832240052,-0.25544746874948,0.185048119339626,-0.154917931664386,0.252330231218366,-0.204694662301335,0.21801273276651,1.33031044462758e-13,0.199532382275278,1.23841700623994e-11,0.230202590832406,0.00228602677594985,0.00454883250526573
"9",401,-0.0812731116311625,0.698931974708103,-0.362249133453588,0.388251466996735,-0.394488760013701,0.387961641943548,-0.413184023295798,0.380781242716694,5.14378252501542e-08,0.505789174027676,2.51640576253966e-09,0.751161749871953,0.0144789131690605,0.0288986465278666
"10",451,-0.292999782570405,0.470927059970563,-0.348151872622111,0.416835193391307,-0.327397453154845,0.366006029409618,-0.391023501812015,0.361187339804019,4.84611105523233e-09,0.515510597754905,1.42242151657593e-08,0.60981501063277,0.013340293289591,0.0264135343961991
"11",501,0.0518881363132095,0.35737867403077,-0.159510956524173,0.117292389186332,-0.151928000193948,0.126794891664758,-0.119136356661329,0.170376018759271,1.3044475318609e-15,0.146325003411719,3.24595734791651e-10,0.12412342990674,0.000385720490075856,0.000769392488978475
"12",551,0.287861181917833,0.712316323420964,-0.175759135148837,0.218615284336011,-0.186213221168146,0.251968055861653,-0.226250098283344,0.195901661034441,8.69465497695954e-10,0.198294990928677,2.40669248875381e-10,0.266661542364629,0.00213286185737402,0.00425552098271435
"13",601,-0.31144585297443,0.721337363182101,-0.536485314212769,0.440081736605862,-0.450092106744705,0.48520485383051,-0.45355190338887,0.586620654852595,8.08153071814573e-10,0.839880435108367,6.2204561104857e-10,0.99904058456382,0.0230242625766277,0.0461809685182857
"14",651,-0.059863984814001,0.259613255911972,-0.149441299363389,0.148958148529346,-0.121949843596667,0.151937356960843,-0.135076216633024,0.195592775512523,8.42891728953817e-13,0.110318575781378,2.469394513339e-10,0.12175508899507,0.00137889117496466,0.00276339273560065
"15",701,-0.0600935291222413,0.52601545790094,-0.284233585116453,0.263186613912694,-0.205905295850243,0.329291286325315,-0.285682681133039,0.217943372015725,3.16589402910203e-10,0.284650439760106,4.21683489640424e-10,0.346101826557478,0.00407336541993112,0.00809276261164509
"16",751,0.0834430865943432,0.397272538742982,-0.160648727658554,0.154764852006338,-0.165231700055301,0.177613836753153,-0.116109745045833,0.205155792067671,1.65724874527175e-11,0.134048812070176,1.5690007789452e-12,0.142097106637795,0.000823317413461176,0.00164479151809996
"17",801,-0.0632038179428491,0.607338098467153,-0.319792714239156,0.268144249210309,-0.230696910526603,0.362355946562275,-0.346744358505021,0.273761916469084,5.51476911899512e-09,0.425757438617859,2.83705029762813e-09,0.503736154519866,0.00684006524812569,0.0135783687753815
"18",851,-0.308450170639844,0.35253733805439,-0.296906760413549,0.299537186016096,-0.357618081376131,0.266554376721615,-0.357382382178912,0.252350999900955,3.28503256529865e-09,0.337657617061847,1.29574298800778e-09,0.470849951727841,0.00898577936015813,0.0178157240914049
"19",901,-0.199768307418708,0.256116659060353,-0.239782243545051,0.183982801401726,-0.169414057862014,0.273437373558409,-0.204947920778068,0.227672316861572,2.48935503749629e-09,0.212265402241396,3.40801425924264e-10,0.207647698336788,0.00242795712677699,0.00479410365839487
"20",951,-0.505632936452457,0.345379226972,-0.34147372886946,0.463625530523132,-0.434714165428886,0.365199646716064,-0.456614598595479,0.386225425346311,2.3200154596042e-09,0.520086083939367,1.68597655668781e-11,0.918963366223685,0.0139482451085385,0.0278295188425431
"21",1001,-0.51356003908586,0.255823211438837,-0.34102197766606,0.339226075040642,-0.323587321792729,0.351829893173999,-0.382292366033653,0.374424512243422,9.28874286765398e-09,0.461728394873735,1.55569488399485e-09,0.493645270358231,0.0141512991121036,0.0282076032691764
"22",1051,-0.358527605771087,0.695869658884476,-0.490094595195842,0.441652840421739,-0.335590261332982,0.576454578178527,-0.585798348794924,0.466778688220074,1.67414729353682e-08,0.703629457854614,1.44651170246794e-09,0.958823912998238,0.0620084834708849,0.123010461055676
"23",1101,-0.127322358363017,0.655416630499531,-0.313974629809309,0.457004697949742,-0.343104043509811,0.416271207592217,-0.422521731310553,0.318707414203345,3.23190946640343e-09,0.61271429188343,5.48357962750383e-09,0.65509014206466,0.00814450762740234,0.0161317679487148
"24",1151,-0.31203484274738,0.280577654535591,-0.235114650597097,0.255335563648259,-0.22818243567599,0.300339601009,-0.277567003169679,0.274790170842607,3.21103661043645e-09,0.292553723069941,9.95633701710558e-11,0.33776105904138,0.00873696261516725,0.0173468155553039
"25",1201,-0.351063106318179,0.147524310078552,-0.242396505986108,0.219772239186568,-0.186991181355552,0.315639807879052,-0.266821663615701,0.217523306346266,1.38169477931175e-09,0.288134306269539,1.16131920648009e-10,0.262903107849601,0.00602777687798577,0.0119918059938456
"26",1251,-0.141527255094843,0.36812659901625,-0.24309986733715,0.274016892901273,-0.249135920166736,0.25107013305751,-0.277085443667602,0.263733194573433,3.38969656299533e-09,0.280826220799467,8.81290908705374e-09,0.309573687553129,0.00947166123651217,0.0190901239298599
"27",1301,-0.260342495224904,0.207714823802235,-0.187773905025097,0.231541033157555,-0.178181372524705,0.216262657369953,-0.223331163731928,0.212831512792036,1.00804599841515e-10,0.162312482597792,2.24914666867535e-10,0.232941040848213,0.002850017122122,0.00561776578590044
"28",1351,-0.0269647344684927,0.475954510038719,-0.212275083133136,0.2207424146618,-0.183483884786256,0.283159046026412,-0.203667096793652,0.262471202237066,5.30785698819547e-10,0.219729582182373,5.50249441356205e-10,0.237533311953561,0.00390240276228499,0.00777268440101137
"29",1401,-0.281926259704051,0.387696967457984,-0.282052436570666,0.304680104774889,-0.320605277578579,0.302056736138184,-0.285042952240474,0.34240362753917,3.06945828725056e-10,0.396613479859027,9.79462468861948e-10,0.502206508396328,0.0070285983776645,0.0138799012831855
"30",1451,-0.202270082547329,0.666242556864745,-0.376459955288738,0.475168493852834,-0.508146283729729,0.369455542389915,-0.42079302034108,0.45042699368787,2.13542170533315e-08,0.567096898489164,2.74691503823568e-08,0.960584175993989,0.0137516336863778,0.0271513994407898
"31",1501,-0.458026514332232,0.581737302061811,-0.45677305047866,0.566530747011711,-0.508524094773747,0.464840413201273,-0.504689007163961,0.512528062365163,3.9333081913958e-08,0.80634769934638,2.03048735388052e-08,1.1843239843807,0.0208791809394151,0.0418899426806546
"32",1551,-0.291476798069198,0.35468740158467,-0.30418581788399,0.225620973928017,-0.337446861623903,0.201009478041669,-0.286030733914231,0.291149253273034,3.8101273375947e-09,0.303083383466424,7.87261295029917e-10,0.387600210618278,0.00733528282287292,0.0146310820909801
"33",1601,-0.1868913560902,0.601447488414124,-0.364000930043403,0.381630121177295,-0.436082745245585,0.27567283785902,-0.346057369722985,0.348670672676235,1.0087922803248e-10,0.834233116031943,1.9255216493358e-08,0.52131259532099,0.00136228270381057,0.00273897906050894
"34",1651,-0.118921494136885,0.263579051363195,-0.188727541069966,0.160580365355599,-0.174717413829057,0.174034255811421,-0.166067329271755,0.153673428947513,7.92791489523635e-12,0.203318984894594,1.26649462283221e-11,0.167744881020733,0.000458322610623489,0.000914067254907578
"35",1701,-0.0254097674769582,0.329238483987865,-0.192317540990189,0.188370401845759,-0.214837598996382,0.164782571948308,-0.155056197232625,0.215684847120428,1.83586256022134e-11,0.296515446619988,6.82494099157337e-11,0.194564412883108,0.000187730224546534,0.000373807396590272
"36",1751,-0.211565061865258,0.40062794964615,-0.306760581637718,0.260361704436946,-0.31599007845216,0.305173941949761,-0.264115900004981,0.39350875087257,3.62266943243865e-09,0.332789661148409,1.64010012734063e-10,0.485913474597973,0.00763363837542924,0.01509072561782
"37",1801,-0.12591674380991,0.446780834659876,-0.213698585226666,0.234646919619991,-0.240163122463855,0.281304656731663,-0.26581584388623,0.213671546276601,1.02237902787959e-11,0.241966961681975,1.15969163197159e-10,0.342337180289981,0.00567397367240732,0.0112095196571411
"38",1851,-0.424584367981879,0.428465995675651,-0.405503624519042,0.356607179724961,-0.364901033084607,0.488556823234831,-0.407025409091148,0.405788009404205,3.20147299949074e-09,0.548627164891405,1.14094885057362e-10,0.816982683418962,0.0165184984409482,0.0328427912271445
"39",1901,-0.302365240015206,0.171437765064184,-0.216154243666097,0.247733950462134,-0.169472615858467,0.294161478450405,-0.251907347821543,0.196360590460245,8.47861420879464e-11,0.398767501022952,1.34206609537683e-10,0.255796041384396,0.00143505974942714,0.00284202821340857
"40",1951,-0.139791650028201,0.49791164479393,-0.250036127615203,0.273777862865245,-0.326020928478101,0.260214028006885,-0.253781075411098,0.341040192550281,2.64463097550111e-10,0.344370989311202,2.09653115426213e-10,0.391496247852405,0.00953297732053096,0.018982557745629
"41",2001,-0.252170412717533,0.628268020191172,-0.395161989872577,0.41344264698273,-0.402848027821165,0.403303295504884,-0.469189536204794,0.470391246795771,5.24889537158569e-12,0.660219028344773,6.93614397316722e-09,0.876883048425398,0.00933215906712476,0.0185730899916429
"42",2051,-0.937155041938354,0.602970915709193,-0.820275339305226,0.627864961206797,-0.632488564951927,0.647541348123923,-0.726415895762329,0.69741748492288,4.32014500691716e-12,1.8627186624969,2.88110771774689e-13,1.794041785711,3.98826837081487e-05,7.88242220410384e-05
"43",2101,-0.535842741606757,0.385646431685018,-0.493538302100205,0.370301279283012,-0.421997865854792,0.42253207460044,-0.362492454005405,0.584179321227566,1.33366302937133e-11,0.574628018181527,2.72905278906253e-09,0.805898042329133,0.0193823581144021,0.0383956477052376
"44",2151,0.0140535976970568,0.334279391361633,-0.149210933654103,0.158839712385088,-0.148248343160958,0.14557077983045,-0.181064981501549,0.148201786985737,4.47388004365848e-09,0.12364848068589,7.99914744097044e-11,0.16971996073189,0.00115982354634233,0.00231374593326658
"45",2201,-0.687195594495279,0.290121521968103,-0.550160970902652,0.401875391085923,-0.439684028649935,0.414987197090795,-0.465333910324262,0.557895617494069,9.29522372544848e-09,0.814270591346787,8.77170832807534e-09,0.86846771934705,0.0603814722184045,0.119993736489436
"46",2251,-0.296826568053802,0.29109185822017,-0.283571718377061,0.285244672428234,-0.254482956006541,0.331435684718599,-0.287678210806916,0.30893941623799,2.39237275399695e-10,0.380736998276346,4.9704378959343e-09,0.441019146491313,0.00784779653129707,0.015642248885915
"47",2301,-0.0537764066230011,0.448660108036378,-0.268983923917403,0.245682643871987,-0.214023785287281,0.281084947491763,-0.264337832370074,0.239275059095235,6.77078502482546e-10,0.314891687578965,7.96585006737539e-10,0.269805587404817,0.00275970754603824,0.00546447267751517
"48",2351,-0.945099741504237,0.0563925829774234,-0.434610230178805,0.547470292192884,-0.498270936697736,0.511304855725029,-0.455495437764512,0.541911041305866,1.39378109974484e-09,0.902759226171146,5.67982728809847e-09,1.14137251590067,0.0317161097264066,0.0630240778926874
"49",2401,-0.813214427238563,0.767626610555453,-0.82385796016024,0.678673240545322,-0.672441177655855,0.667503564895014,-0.666873876101818,0.833470670942916,3.36728220794284e-11,1.9084166833788,1.64459143377585e-12,1.88157460796913,3.81103744046914e-05,7.57606597442213e-05
"50",2451,-0.144918853940908,0.378122575610178,-0.336609847883665,0.220408943976508,-0.308166796981823,0.202778430859325,-0.217390393430833,0.299194931829334,5.73885420767999e-13,0.452533463726782,1.37389133677791e-10,0.393659666251345,0.000967490061920289,0.00193017190674557
"51",2501,-0.370221933844732,0.556149123651267,-0.478207123240168,0.410343890005606,-0.408046239128453,0.452945080334757,-0.395300617114117,0.525399618214578,7.56727886340314e-08,0.732145853277597,3.14370722877483e-07,0.870421723090027,0.0296016628042139,0.0586473413467719
"52",2551,-0.304264265498205,0.675847774546128,-0.475861449405784,0.3611187558854,-0.411827779978921,0.443608063142165,-0.408970816875808,0.516565025605814,1.02550895462697e-07,0.725285675330637,1.29628809284632e-09,0.898234800857298,0.0224776377010348,0.0445716552761085
"53",2601,-0.298039007131592,0.498677340365248,-0.31878771600168,0.489490890919114,-0.37102309837428,0.38723532523727,-0.425593379419297,0.333527004615462,3.26412651043386e-09,0.551399912044397,1.61345442753638e-09,0.621084794706656,0.00722854809140116,0.0142596056479503
"54",2651,-0.503576985560358,0.245442266226746,-0.334254110464826,0.383315645187395,-0.426848435265129,0.320294806181664,-0.306009612962953,0.497475177515298,2.95821646635428e-08,0.472348491569246,1.27370095736521e-11,0.601430856711822,0.0274125578448002,0.0538674642828209
"55",2701,-0.104594450182049,0.428043755964609,-0.267059522717318,0.204638756680652,-0.231810308741842,0.262709926697426,-0.233210654310824,0.241629365904373,2.94022146485296e-10,0.224876714373757,1.89340666589985e-09,0.297334523138316,0.00523897936517045,0.0104194310821455
"56",2751,-0.550361158049782,0.311290194600588,-0.373084368588025,0.451511715567904,-0.39960038789286,0.384219553372532,-0.422678933522548,0.451593858997512,3.79946476445394e-10,0.669406503333345,3.81999826863225e-08,0.706517906036865,0.0185167821937493,0.0370075118760672
"57",2801,0.0996927963060443,0.552023169730091,-0.203772438188025,0.177476466415101,-0.188512123548207,0.194770788300957,-0.215257865944295,0.220499123941408,6.63198782815644e-11,0.200689714012948,1.9253648527063e-08,0.219562634692132,0.00504852069654757,0.0101266899191512
"58",2851,-0.537215199263301,0.438492848741589,-0.429099188055261,0.533591601924854,-0.409640964346181,0.500738723960239,-0.527985160792014,0.492414164735237,1.80150779809683e-10,0.823459357473918,1.78516590244698e-08,0.995720317125119,0.0382916067038802,0.0762732099178872
"59",2901,-0.852762878079375,0.273978296143468,-0.49354684248101,0.544182795681991,-0.508348079456482,0.515332326816861,-0.571084274037275,0.679801301266707,2.75969181436682e-08,1.0506160732973,3.29701038442664e-08,1.31549994816514,0.0397332963884231,0.0784334352600249
"60",2951,-0.470873651363945,0.476029301120434,-0.374481684964849,0.466401530633448,-0.442911008387455,0.406133833534113,-0.453350494157348,0.458240159816341,6.52223140574958e-09,0.75603320760127,2.12301423696616e-08,0.800186673890183,0.0315220924288029,0.0626528088651965
"61",3001,-0.211620457394019,0.366710821705055,-0.254031594347907,0.269151725820848,-0.227417267644341,0.289629553464692,-0.279257292660304,0.326401333986723,3.27022230434088e-11,0.348888177063359,2.34844504087526e-09,0.366810909454318,0.00567131871797817,0.011248975965764
"62",3051,-0.192404978086415,0.725098794311634,-0.441980773684918,0.452385417761434,-0.419584051414859,0.516987176481052,-0.378136224066111,0.509105644363444,9.78744487408464e-10,0.680219563890522,1.50994465831764e-08,1.08802847875569,0.0191006252495493,0.0379886313560983
"63",3101,-0.0404884004601627,0.735451776869013,-0.415130697081622,0.379016688093543,-0.374903902426013,0.396202402422205,-0.363312742090102,0.444350467878394,5.28711043288293e-10,0.569902973657593,8.99383905719126e-12,0.893460722058979,0.00464661507387894,0.00928517706666879
"64",3151,-0.133917042847315,0.149660241237143,-0.13740390768362,0.191070259410481,-0.177544075122569,0.126289982828894,-0.116402616011328,0.204826447166852,2.92810041953137e-11,0.196931431821105,9.12418666105296e-11,0.133422904650722,0.000143988512055709,0.000286685845292584
"65",3201,-0.674718486174243,1.05732659414934,-0.903952827560715,0.766025197372073,-0.712871069663379,0.833417221590025,-0.709009114441869,0.91132197722618,1.56007124971634e-11,2.26334905671978,1.50390168726694e-13,2.16558233671076,2.81429057274515e-05,5.5769531373195e-05
"66",3251,-0.111844704391842,0.383441326637694,-0.185363929470441,0.293750672979513,-0.245894460647833,0.191568103380632,-0.272852138650251,0.212512316182256,2.79290903797447e-09,0.240070965564997,1.03437300515841e-08,0.293943314589836,0.00284672947338093,0.00567971977322939
"67",3301,-0.0259421970986295,0.622477391196298,-0.289770855946699,0.31292432572809,-0.341611647265381,0.282892406219617,-0.296465051145788,0.324733138870215,2.65267200448833e-10,0.404279973740362,3.9451009218516e-09,0.440271503375506,0.0140102217210516,0.0282838528332586
"68",3351,-0.00826984405284747,0.536060681704839,-0.29454249077753,0.304147633214598,-0.332585400268727,0.207206973456778,-0.259451745863771,0.258939349159846,1.69742947748319e-10,0.388634064844025,3.75999915989841e-10,0.366101045841229,0.00153321597155705,0.00305526862166587
"69",3401,-0.297972686370485,0.35506353621895,-0.338122241184465,0.295614620747074,-0.29606593772769,0.386146629256473,-0.299373658548575,0.369463442941196,3.21972023416165e-11,0.374981697721356,7.299101840375e-09,0.499820794193699,0.00778331589489213,0.0155492735043949
"70",3451,-0.425909723708173,0.0706335123868485,-0.178747271162138,0.255238207580987,-0.209937164880103,0.205387820547912,-0.253728525887709,0.193292367039248,1.63335230397755e-10,0.255909551326295,1.05243942170921e-09,0.272722827773201,0.00560906274225706,0.0110793889262448
"71",3501,-0.242692909057951,0.345064767127042,-0.279888547029259,0.327393346407916,-0.413360952603398,0.177500401070574,-0.24843883018184,0.375724754649127,6.77528685098316e-11,0.672761854730875,1.54125406775323e-09,0.496255187795012,0.000530937767630852,0.00105745622404711
"72",3551,-0.403962085860258,0.512508818123024,-0.557456429029116,0.399774733341474,-0.419131078320788,0.509932100074366,-0.428743394491903,0.567537000228185,4.69005176553433e-10,0.693526248579361,1.11189751203228e-09,1.39687824442291,0.00647144543673229,0.0128956721726019
"73",3601,-0.121672894274525,0.388102874247124,-0.187595799725386,0.265028744368465,-0.136788976109528,0.333585689542815,-0.193807541014394,0.271569355776137,1.65482495097413e-11,0.229439757615412,3.16190643299261e-14,0.257891408913001,0.00388225703651862,0.00765554492967025
"74",3651,-0.22782049466332,0.254951381095452,-0.235055787728925,0.203448184416629,-0.175344533228781,0.225162444156012,-0.21630708820885,0.248609208851121,2.33180439805539e-09,0.162362133623105,3.24418911595139e-09,0.274247846049659,0.00742058430424356,0.0147913353864238
"75",3701,-0.110328180860961,0.461524195794482,-0.241799146555422,0.267275050093303,-0.256440504512284,0.233146231719729,-0.274600538250525,0.245668981799099,1.27919896847633e-10,0.296294103455111,3.21404335450991e-09,0.348476685169492,0.00646735859752434,0.0128522459412883
"76",3751,-0.248211033409461,0.354560944950208,-0.283022136100044,0.28181483829394,-0.341645239575882,0.247610802116469,-0.40447897757258,0.237395995442057,1.95288937398839e-10,0.555284674277715,1.78700297207308e-09,0.371954861706229,0.00304435372343985,0.00603038538961796
