"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.AbSpec","Pvalue.AbSpec","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.AbSpec","Ratio.AbSpec","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.713382651608955,1,0.515237606994845,1,0.427147819848681,0,0.372691356621292,0,0.46158965793368,1,0.00789724746839052
"2",51,1,0.211741891410934,1,0.125725250185518,1,0.433295564622361,0,0.967081833994957,0,0.797676154254489,1,0.00789009064987887
"3",101,1,0.591782056693782,1,0.547126174291318,1,0.407562401426685,0,0.494693959559867,0,0.401307879998422,1,0.00789820349670754
"4",151,1,0.938529071063672,1,0.416613228007078,1,0.420040980619477,0,0.440877873125553,0,0.44279608706775,1,0.00789134977465066
"5",201,1,0.0562539080151174,1,0.247780668064435,1,0.423174268888967,0,0.546425090106354,0,0.784104990269907,1,0.00789283139894189
"6",251,1,0.411687055907143,1,0.832391723173508,1,0.399137254131284,0,0.419362024883233,0,0.269048121968886,1,0.00789348706525742
"7",301,1,0.821977778812643,1,0.382441730837852,1,0.42543856752431,0,0.402715025654778,0,0.415001191425488,1,0.00789036151275717
"8",351,1,0.52581082299978,1,0.95239854616588,1,0.417701110878204,0,0.346131431308735,0,0.382609109878072,1,0.00788623021009983
"9",401,1,0.383604419320462,1,0.523328677057422,1,0.444149599804049,0,0.388597019520868,0,0.355728457180199,1,0.00789420902646324
"10",451,1,0.108445291086541,1,0.196611098998184,1,0.434931783672973,0,0.382958217485163,0,0.364970926985647,1,0.00790003738082259
"11",501,0,5.31472441056557e-07,1,0.169328000553708,1,0.430883254204191,NA,NA,0,0.404414056267277,1,0.00789007663266636
"12",551,1,0.537413855068503,1,0.490159377341229,1,0.437295730370374,0,0.433379849626698,0,0.418118020792263,1,0.0078878353258404
"13",601,1,0.0500847482915296,1,0.114777748576007,1,0.435554379552945,0,0.5127367839107,0,0.276733180142995,1,0.00789150362633337
"14",651,1,0.766331324949799,1,0.466220606883029,1,0.442244639683825,0,0.368292909782391,0,0.369276238115871,1,0.0078930007378972
"15",701,0,0.000277460920653283,1,0.211682776804762,1,0.460748621124411,NA,NA,0,0.45627582514791,1,0.00789372918114651
"16",751,1,0.292029605889453,1,0.306416140682594,1,0.420317333872148,0,0.430015202665836,0,0.703258285737791,1,0.00789153570173376
"17",801,1,0.84737733185418,1,0.618321547413811,1,0.404570175557405,0,0.359743793068417,0,0.402306809363409,1,0.00789640849660626
"18",851,1,0.705805552888917,1,0.984739904131381,1,0.438091693307731,0,0.464509500422169,0,0.394055160778055,1,0.00789850089927856
"19",901,1,0.351712594411955,1,0.551163542267063,1,0.427580103252987,0,0.453221640185896,0,0.43609640376004,1,0.00789134892708693
