"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",0.048044434765731,-0.823515342221071,0.880391260798206,0.0339471693729436,0.79188
"PreClim",0.0254722283558889,-0.887359704065602,0.919027532960172,0.010243162778151,0.9094
"InvClim",-0.0129547627365312,-0.844898454030044,0.816294276177359,-0.0300816118978524,0.90768
"InvTime",0.0166170673238673,-0.898216516754474,0.903171102771012,0.0502650357089482,0.88082
"Phylo",0.590332204308696,1.36812719406077e-11,2.51064087424865,-0.00561808880439373,5e-06
"Spp",0.589906857637618,5.15194190627662e-12,2.24389673155492,-0.00501930151712043,5e-06
"units",0.0136806946117295,2.74802573084691e-05,0.0446562235403274,0.000253332259235003,5e-06
"h2phylo",0.474005100549475,1.02989817634542e-10,0.976220273609158,0.0019023483561592,5e-06
"s2",0.445006275238092,2.4797298318679e-11,0.969730331210068,0.0019930554374418,5e-06
"CVphylo",-3.33042618857868,-23.45127735267,23.1840615953332,-281.290514110588,0.79188
"CVspp",-1.46704242916512,-23.364463293811,22.4957790140679,677.272620239877,0.79188
"CVresid",-0.753697434015698,-8.09648608759974,8.61927369898016,-34.335088763386,0.79188
