"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",0.0868710929607878,-0.373243984013243,0.53015447602229,0.133381779737142,0.58133
"PreClim",0.00391627950586271,-0.334511216625287,0.338176728560938,0.0121819268597614,0.92256
"InvClim",-0.0029762717519052,-0.343182171120134,0.310263903607847,-0.0100805393223293,0.95002
"InvTime",0.00416955828159491,-0.330933161822031,0.363927522507765,-0.00249242320786269,0.93078
"Phylo",0.190459578093096,1.3044475318609e-15,0.443418467011031,-0.000262757810633196,5e-06
"Spp",0.193220656518068,3.16190643299261e-14,0.505951536131972,-0.000276093058386005,5e-06
"units",0.0151705267530574,2.26265435499626e-05,0.0493897192656685,0.000335596870095359,5e-06
"h2phylo",0.231388431075109,1.59744750155381e-12,0.800014026583603,0.00195924637321259,5e-06
"s2",0.242460697974422,3.73400649075058e-12,0.837239615797519,0.00171540923967391,5e-06
"CVphylo",0.541005126180759,-7.16842991153243,7.07626135872519,28.3447094336479,0.58133
"CVspp",0.541153835295643,-7.31857275417089,7.9782694247598,-25.7145344222445,0.58133
"CVresid",0.585549137706774,-7.84351966784176,8.99884151151477,-50.3990168260643,0.58133
