"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.AbSpec","Pvalue.AbSpec","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.AbSpec","Ratio.AbSpec","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,0,0.00404588364449265,1,0.781822585607518,1,0.402569461367474,NA,NA,0,0.599482641715092,1,0.0078926871577672
"2",51,1,0.961245672948557,1,0.907426109612398,1,0.0691657799749301,0,1.87366894238989,0,1.46531444515716,1,0.00851967918661649
"3",101,1,0.0501750793693905,1,0.372001524582996,1,0.431577461537758,0,1.47235676285773,0,0.67747087481461,1,0.00786576503045253
"4",151,1,0.114331499003357,1,0.774247857037065,1,0.477934543435486,0,1.45926022639137,0,0.740796081841669,1,0.00787824506253459
"5",201,0,0.00746033918155464,1,0.792024064910319,1,0.445692965728032,NA,NA,0,0.935316873781456,1,0.00784418392186849
"6",251,1,0.113203497280134,1,0.322181625733049,1,0.460420186039933,0,0.371889019603378,0,0.472149192681587,1,0.00787535585056176
"7",301,1,0.386542574474137,0,0.00785334720810082,1,0.463095500445078,0,1.11228511215599,NA,NA,1,0.00785919128901189
"8",351,1,0.0522029227743306,1,0.839949311844096,1,0.375565729007957,0,1.69501718048089,0,0.807339627686315,1,0.00784573268903847
"9",401,0,0.0150270290809802,1,0.719107975762173,1,0.612742965569443,NA,NA,0,0.475666123020008,1,0.00786285477881196
"10",451,1,0.0567452538205693,1,0.817246050325108,1,0.535477828988692,0,1.10007386981918,0,0.597398587633361,1,0.00785210676032673
"11",501,1,0.735971138111064,1,0.0919873240308331,1,0.590675849862722,0,1.03312272290068,0,1.01534379485615,1,0.00787213135128853
"12",551,0,0.000568695277951559,1,0.774348602655843,1,0.621818008361795,NA,NA,0,0.818421573955713,1,0.00785855398625164
"13",601,1,0.603402372788118,1,0.505167927355484,1,0.381013368351442,0,0.231802547344049,0,0.331977554322453,1,0.00789506326645614
"14",651,1,0.139591404654005,1,0.334463957939842,1,0.502633298526646,0,1.26196329820347,0,1.02597130301545,1,0.00786040597525093
"15",701,1,0.0510657752602046,1,0.163641296678959,1,0.496921632733458,0,1.21808936734624,0,0.905619192155225,1,0.00788249842313205
"16",751,0,0.000373075787070132,1,0.818546527317137,1,0.479860402981981,NA,NA,0,0.994489339744977,1,0.00784482190042533
"17",801,1,0.072909921778669,1,0.313854521360749,1,0.392402392162392,0,1.06300332026774,0,0.751976651902013,1,0.0078587580536655
"18",851,1,0.0607954194160079,1,0.381707782547948,1,0.500084664436718,0,1.45565329903311,0,0.58721350783066,1,0.00786907658145697
"19",901,1,0.247883682960471,1,0.062643303968726,1,0.397349244796969,0,0.990580237229523,0,1.09549935146062,1,0.00784217761858559
"20",951,1,0.915172141136455,1,0.710205883884377,1,0.546508045808926,0,0.274584871491989,0,0.414286577578587,1,0.00787314839367599
"21",1001,1,0.811942650528796,1,0.052485118679728,1,0.356864298635129,0,0.451810541596417,0,0.638835573802305,1,0.00785781608791668
"22",1051,1,0.459631445286258,1,0.683569113026147,1,0.421761349197966,0,0.280258541650559,0,0.372430329165939,1,0.00782026407335626
"23",1101,1,0.168565434799246,1,0.0577537206284282,1,0.382153866149802,0,0.790038838328825,0,0.55614340342629,1,0.00788690757172541
"24",1151,1,0.479443314056175,1,0.104914259545085,1,0.405892724503122,0,0.469885298632112,0,0.669990179993143,1,0.0078589482772715
