"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,-0.0418328716620753,-0.0897477517719381,0.0117577383352909,1800,0.0711111111111111
"2",51,9.50084797353017e-05,-0.00244958656548988,0.00328160111530451,1800,0.922222222222222
"3",101,0.0290374104702067,-0.0401626662933268,0.0852177339984337,1800,0.234444444444444
"4",151,-0.00129502301180195,-0.0383920464955736,0.0360278354201,1800,0.915555555555556
"5",201,0.00382798372219152,-0.0133148071938649,0.0170357429124124,1800,0.47
"6",251,0.0022372047866181,-0.083668004735955,0.105535483231506,1800,0.976666666666667
"7",301,-0.00707969807210235,-0.0473455814280896,0.0301979129753818,1800,0.621111111111111
"8",351,-0.00720730260216538,-0.0309173358255066,0.0211908243363723,1800,0.45
"9",401,-0.0320190823378035,-0.139978562903707,0.0520530279463856,1800,0.317777777777778
"10",451,-0.0180588977622615,-0.109745517878764,0.0699085027154069,1800,0.535555555555556
"11",501,0.00144014373186791,-0.0168745068949647,0.0202304598060437,1800,0.748888888888889
"12",551,-0.00261781686459475,-0.0383664116088767,0.0311368764232611,1800,0.862222222222222
"13",601,0.00292929875808834,-0.170931286785162,0.183945488664904,1800,0.981111111111111
"14",651,0.00608163117377118,-0.0180556721534231,0.0315005050651962,1800,0.46
"15",701,0.0228275335759232,-0.0287061422422994,0.0657036166958278,1800,0.18
"16",751,-0.000290988079166239,-0.017532809972181,0.0182791402912699,1800,0.982222222222222
"17",801,0.0187126799922792,-0.0409673434041906,0.0607316257664934,1649.7357175496,0.325555555555556
"18",851,0.0111646541294993,-0.0417186852864688,0.0728201350575546,1800.00000000001,0.584444444444445
"19",901,-0.000659681525684669,-0.0276914991627564,0.0246310587535845,1800,0.95
"20",951,-0.0421061084881842,-0.168330376327503,0.0625852314115036,1654.94618660544,0.305555555555556
"21",1001,0.00381723876679693,-0.084040760739299,0.0965601425887144,1800,0.912222222222222
"22",1051,0.0463386299645216,-0.112889628500852,0.189435707827215,1800,0.418888888888889
"23",1101,0.0133016531098993,-0.0600255213212222,0.0827752760378644,1800,0.56
"24",1151,0.0045351569455619,-0.0483426959654025,0.0723060404452553,1800,0.823333333333333
"25",1201,0.000293726881771058,-0.0412194936652668,0.0474297909240704,1800,0.981111111111111
"26",1251,0.000961970093708323,-0.061996784133953,0.0622800207929686,1800,0.948888888888889
"27",1301,-0.00278642757513895,-0.0344961413720739,0.0343127909436589,1645.14496528751,0.795555555555556
"28",1351,-0.0166684335689396,-0.0520819691228098,0.026146956224693,1800,0.245555555555556
"29",1401,-0.0302577202193587,-0.0999766561703836,0.0426147040343494,1800,0.237777777777778
"30",1451,-0.023897917293169,-0.162138209947443,0.125906142799067,1681.24142538235,0.587777777777778
"31",1501,-0.0363501486191833,-0.196340451424476,0.0842622507771011,1800,0.456666666666667
"32",1551,-0.0148532093506991,-0.0643203618819825,0.0437156772677554,1800,0.43
"33",1601,-0.00910945132100251,-0.074003942843774,0.0664198273152579,1800,0.664444444444444
"34",1651,-0.00534781259243946,-0.0321445468589445,0.0191346606588922,1800,0.504444444444444
"35",1701,0.00108138057019355,-0.0108621600884362,0.0133269888319774,1800,0.767777777777778
"36",1751,0.0186747276913784,-0.0371221207897179,0.0859522498358274,1800,0.366666666666667
"37",1801,-0.00985740710554735,-0.0598810080264229,0.0263545296766097,1800.00000000001,0.527777777777778
"38",1851,-0.0261507887528327,-0.100477960833814,0.0724747609638143,1800,0.396666666666667
"39",1901,0.00276643904423301,-0.0249024476579507,0.031870050530415,1800,0.786666666666667
"40",1951,-0.0246199556493676,-0.087607757488513,0.0204443625698332,1800,0.255555555555556
"41",2001,-0.0412615374248289,-0.142156015717774,0.0567088325333316,1608.95878108343,0.211111111111111
"42",2051,0.000848256381217993,-0.0023289079326787,0.0044047832780052,1800,0.506666666666667
"43",2101,0.0193148023659266,-0.0921219175943406,0.138393609253399,1676.49361229074,0.627777777777778
"44",2151,-0.0019199072785467,-0.0300453205800295,0.0221944330733095,1800,0.852222222222222
"45",2201,0.0178799998477365,-0.133919188345317,0.177474963329587,1800,0.727777777777778
"46",2251,0.00639575329935416,-0.0491905188100645,0.052063157201701,1800,0.724444444444444
"47",2301,0.000855579137647437,-0.0385896680527367,0.0434746776445536,1800,0.947777777777778
"48",2351,-0.0323229137129709,-0.139103318797424,0.110054937431414,1800,0.438888888888889
"49",2401,-0.00127546737901427,-0.00554758802172728,0.00268559381947853,1800,0.393333333333333
"50",2451,-0.00574946681244189,-0.028296368818701,0.0160842739605869,1800,0.453333333333333
"51",2501,0.025124379681419,-0.0915777982881991,0.140915583542665,1800,0.507777777777778
"52",2551,0.0115264205612554,-0.0875874426710652,0.130792673007818,1800,0.755555555555556
"53",2601,-0.0079724203511666,-0.0937555436685216,0.0735430232598446,1800,0.765555555555556
"54",2651,-0.0180969504131725,-0.116814840261213,0.070361159312597,1800,0.613333333333333
"55",2701,-0.0017136653887026,-0.0434364589164034,0.0500083686129074,1800,0.906666666666667
"56",2751,-8.587716060465e-05,-0.111245535335911,0.114643112829071,1800,0.986666666666667
"57",2801,0.0148940736966422,-0.0269762450152484,0.0579328025633004,1800,0.338888888888889
"58",2851,0.06094718726896,-0.0768161682717619,0.191934637463419,1800,0.228888888888889
"59",2901,-0.0108197092373165,-0.160870822412107,0.147148907592054,1643.33618412067,0.803333333333333
"60",2951,-0.016510424502082,-0.154446707376337,0.0970698476303369,1800,0.686666666666667
"61",3001,0.0108712844506725,-0.0481522527297784,0.060404100229789,1800,0.544444444444445
"62",3051,-0.0181857356478715,-0.130667676358826,0.0946585432538996,1800,0.634444444444444
"63",3101,0.00407892984686318,-0.0815107107482618,0.0772227897250559,1800,0.892222222222222
"64",3151,-0.00185174805234186,-0.0131039322805009,0.0117552358278772,1800,0.632222222222222
"65",3201,0.000205387592331334,-0.00317141090636142,0.00267126580001786,1800,0.847777777777778
"66",3251,-0.0110150825301989,-0.0587428110084147,0.0406358374166302,1800,0.496666666666667
"67",3301,-0.00877035155242572,-0.086995595600456,0.0674387382023269,1800,0.741111111111111
"68",3351,0.0042176408539166,-0.0209383008914301,0.0352293277828721,1800,0.648888888888889
"69",3401,-0.0129550540907268,-0.0860111920337658,0.0760341334680561,1800,0.628888888888889
"70",3451,-0.0117673050451185,-0.061034856873448,0.0293838662910275,1800,0.472222222222222
"71",3501,-0.00571438552028063,-0.023924095723487,0.0119621566554997,1800,0.344444444444444
"72",3551,0.00716234309711586,-0.0863171939672611,0.101480324345175,1619.04377488779,0.823333333333333
"73",3601,0.0186202561278444,-0.021060168313852,0.0473706807824783,1800,0.178888888888889
"74",3651,0.0204848988292491,-0.0374364571180195,0.076827432931168,1800,0.308888888888889
"75",3701,0.00929316455450124,-0.0381943484244402,0.0580568126151775,1800,0.586666666666667
"76",3751,0.0055888096803361,-0.0337529943099071,0.0351706181972986,1800,0.642222222222222
"77",3801,0.00457927233509807,-0.104901112281368,0.124496983424251,1800,0.921111111111111
"78",3851,0.000352755244865308,-0.00616802045260556,0.00775281609094236,1800,0.885555555555556
"79",3901,0.00133002764847025,-0.0189727730830782,0.0241812105668942,1800,0.86
"80",3951,0.0335016803029792,-0.0868801973992959,0.146838008135092,1800,0.396666666666667
"81",4001,0.0228068352421908,-0.0217251958092675,0.0586473018629476,1800,0.154444444444444
"82",4051,-0.00572751885847311,-0.0465659657047581,0.0341632323834347,1800,0.65
"83",4101,-0.00876366637098826,-0.0915492172425729,0.0575943116855342,1800,0.745555555555556
"84",4151,-0.0113605797761271,-0.0466001582390163,0.0228175571828615,1800,0.337777777777778
"85",4201,-0.0163927548392974,-0.0552544216625392,0.0296682114276337,1800,0.288888888888889
"86",4251,0.0222505212668684,-0.0650596202322049,0.0918686771619832,1800,0.401111111111111
"87",4301,-0.00643828539487827,-0.136576835095184,0.10831454853178,1800,0.846666666666667
"88",4351,-0.0192739261526834,-0.120593493775232,0.0916845320643915,1800,0.595555555555556
