"","V1"
"1",0.509900790337464
"2",0.40326173535486
"3",0.360295310785913
"4",0.414545877114817
"5",0.243421113527236
"6",0.651562201467484
"7",0.435808908281302
"8",0.347877700317913
"9",0.300097659554339
"10",0.418329769388473
"11",0.435457719246033
"12",0.200819128356459
"13",0.610563465270396
"14",0.41874204766553
"15",0.423313411704483
"16",0.247393195614203
"17",0.409720656295425
"18",0.365305493046294
"19",0.407830562709815
"20",0.320947781286303
"21",0.751913526053612
"22",0.365513418895042
"23",0.500346397020845
"24",0.68123040599918
"25",0.376462663548837
"26",0.605953516400529
"27",0.539367092621747
"28",0.406235638851674
"29",0.516523219505134
"30",0.30978123951051
"31",0.40170936078464
"32",0.408053702292979
"33",0.427952493090115
"34",0.322309359653487
"35",0.498937401367386
"36",0.49482667145653
"37",0.266046427658114
"38",0.404126008986729
"39",0.416040264974959
"40",0.399694309386076
"41",0.333190318681523
"42",0.392209042801201
"43",0.57025751802842
"44",0.291160124609833
"45",0.366534585335163
"46",0.361944303585635
"47",0.50940242870747
"48",0.463094705728187
"49",0.394454027978138
"50",0.385553579250654
"51",0.345908387960748
"52",0.460446212491235
"53",0.522457292784478
"54",0.371705296612897
"55",0.655412885283769
"56",0.416783990157692
"57",0.368706712768207
"58",0.325387932251551
"59",0.449134790981744
"60",0.375990377333708
"61",0.411130523448003
"62",0.486068033686979
"63",0.501545450856459
"64",0.49098780898407
"65",0.403078815838379
"66",0.293676944405006
"67",0.380814091758391
"68",0.312267035974864
"69",0.696177857181974
"70",0.359060900777685
"71",0.443936131409782
"72",0.31981386391709
"73",0.394186282709614
"74",0.368200799868995
"75",0.396049235267372
"76",0.354131777195531
"77",0.471618797597092
"78",0.39469217894903
"79",0.342992361666522
"80",0.495393458652532
"81",0.592172045241068
"82",0.332912622042304
"83",0.374112817781754
"84",0.268262920769961
"85",0.390450722033668
"86",0.36618031079114
"87",0.477595464235954
"88",0.412461641921489
"89",0.417351965640763
"90",0.370458671850272
"91",0.456339861238227
"92",0.315214326488603
"93",0.411677935217967
"94",0.404236003392432
"95",0.36278679470133
"96",0.469876980343852
"97",0.322219224665005
"98",0.367552001384477
"99",0.448583552576911
"100",0.367705918733331
