"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,-0.434255806062317,-0.469907692197012,-0.391691311044269,2823.29642339727,0.000555555555555556
"2",51,-0.42222375879972,-0.44053184587392,-0.405553129792679,1180.48853812574,0.000555555555555556
"3",101,-0.429291276082609,-0.462116171143862,-0.400052250442968,2587.98173303061,0.000555555555555556
"4",151,-0.430398178490703,-0.469066710327752,-0.389765645115403,1430.23837542924,0.000555555555555556
"5",201,-0.447983865617902,-0.482743652373756,-0.410591355997894,1838.12296110003,0.00111111111111111
"6",251,-0.433227574890661,-0.471159958822682,-0.395103321308852,1349.99905563269,0.000555555555555556
"7",301,-0.425560445194265,-0.4536924653803,-0.399705823248951,2629.25901113388,0.000555555555555556
"8",351,-0.426812906616334,-0.456647708524542,-0.394395405190153,896.446289039308,0.000555555555555556
"9",401,-0.442621332568565,-0.490951470485015,-0.396515968473977,2797.89504460452,0.000555555555555556
"10",451,-0.434657740508092,-0.477391932392493,-0.381391649658326,2277.67522623689,0.00111111111111111
"11",501,-0.440942997674036,-0.470012754172785,-0.409637041419046,1044.8077215545,0.000555555555555556
"12",551,-0.433323172667522,-0.463207677254104,-0.409438555310771,1651.92859495982,0.000555555555555556
"13",601,-0.426640312232834,-0.448474755696225,-0.40283172193449,1603.12620561726,0.000555555555555556
"14",651,-0.440719231103757,-0.503664946591016,-0.402168453452759,2463.22221128576,0.00111111111111111
"15",701,-0.424154937878486,-0.449843633265118,-0.403574010248121,1106.2412468322,0.000555555555555556
"16",751,-0.433017171211658,-0.46699642483145,-0.401664150180295,2841.98314223127,0.000555555555555556
"17",801,-0.433639475277725,-0.474288759985939,-0.394053593503486,1462.4238677018,0.000555555555555556
"18",851,-0.422999089343581,-0.482806200103369,-0.379589582011249,2211.13551578386,0.00444444444444444
"19",901,-0.420318105542709,-0.441327093420114,-0.394242310823756,1460.37025151504,0.000555555555555556
"20",951,-0.420840326869612,-0.446427684029914,-0.388413674754702,1905.44227263805,0.00111111111111111
"21",1001,-0.424458908114304,-0.443937164149247,-0.401412752864417,2483.40209270684,0.00111111111111111
"22",1051,-0.436725929420642,-0.477026789802039,-0.402644861096633,2281.17596014759,0.000555555555555556
"23",1101,-0.43498464007478,-0.476974065968534,-0.377585266542155,3093.46471785058,0.00333333333333333
"24",1151,-0.431909145178574,-0.452206027315697,-0.405419534021348,2578.5421288413,0.00111111111111111
"25",1201,-0.443168105400618,-0.486430470045889,-0.399043319339398,2599.75746203978,0.000555555555555556
"26",1251,-0.438601410774362,-0.528940975687874,-0.381422658480005,2411.81380599815,0.00666666666666667
"27",1301,-0.433084016719355,-0.481491878425004,-0.389819628529949,2578.06775759203,0.000555555555555556
"28",1351,-0.439940238667314,-0.470492421656672,-0.401856212090934,1648.05652262753,0.000555555555555556
"29",1401,-0.437215094835897,-0.475032295493293,-0.398969148212927,2300.39482675629,0.00222222222222222
"30",1451,-0.44220169413872,-0.494408806276624,-0.368277006564313,2377.86174022065,0.00111111111111111
"31",1501,-0.425084938953989,-0.453655519231688,-0.384516074922431,1483.60841673173,0.000555555555555556
"32",1551,-0.427912649061499,-0.468347234513203,-0.390643226826796,2030.57221977285,0.000555555555555556
