"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,-0.00264569917316625,-0.0158890118036652,0.00669904364622198,2603.52997374808,0.366666666666667
"2",51,-0.00044843562698689,-0.00507682150782784,0.00363605502934661,1800,0.757777777777778
"3",101,-0.0016144776543273,-0.012674849233008,0.00732351592523628,2337.24091876984,0.463333333333333
"4",151,-0.0015153491451935,-0.0123464609441726,0.00727923793601803,2672.03901365928,0.528888888888889
"5",201,-0.00157882144499976,-0.0143555775794084,0.00857252253626939,2359.27461539955,0.578888888888889
"6",251,-0.00292900567035956,-0.0125843382193125,0.00872195162810385,1800,0.328888888888889
"7",301,-0.00150103129064746,-0.010683593689464,0.00536161704803817,2799.21685638177,0.457777777777778
"8",351,-0.000197760367878143,-0.00805545916955452,0.0101449082430918,1800,0.935555555555556
"9",401,-0.00294570117658814,-0.0163372169336071,0.00845813952037133,2673.98713051249,0.363333333333333
"10",451,-0.00318888710782753,-0.0146737341201515,0.00848740844230633,1658.90490188821,0.357777777777778
"11",501,-0.0020112984032675,-0.00913742264583561,0.00790192867862061,1800,0.397777777777778
"12",551,-0.00163343270435804,-0.00854722198710078,0.00386543548665941,1655.55660419872,0.362222222222222
"13",601,-0.00104485010906947,-0.00790045688336249,0.00516936052008532,1800,0.593333333333333
"14",651,-0.00196921750967833,-0.0159688532003202,0.0108246527670417,2467.72751838751,0.503333333333333
"15",701,-0.0012672333417103,-0.00876583145873155,0.00456909199419897,1617.68494216178,0.484444444444444
"16",751,-0.00171046971298931,-0.0128601424512453,0.00705148413544521,2345.69356873986,0.448888888888889
"17",801,0.00229282994392587,-0.00762448628665879,0.012991672762837,1621.57319175511,0.475555555555556
"18",851,-0.0017247660148484,-0.0099878538530902,0.00501073645136785,2321.64827666683,0.356666666666667
"19",901,-0.00119654414045697,-0.00791237076191464,0.00400645235640695,1618.18565774783,0.474444444444444
"20",951,-0.00139310025098974,-0.00774965475284262,0.00445807803771459,1640.96136619373,0.452222222222222
"21",1001,0.00049846543922351,-0.00541878196236212,0.00589915858199674,1800,0.836666666666667
"22",1051,-0.00201649580852728,-0.0154385752830422,0.00883210472238716,2249.26745963867,0.447777777777778
"23",1101,6.52856409368141e-05,-0.00642450169834774,0.00820148513594177,1800,0.982222222222222
"24",1151,-0.00513640338009979,-0.0116679830825888,0.000792342936620116,1800,0.0822222222222222
"25",1201,-0.00245669865716542,-0.0167452781752218,0.0104772691702237,2361.97891558669,0.438888888888889
"26",1251,-0.00231183750841839,-0.0166096188186202,0.0115267551882425,2203.50036404507,0.454444444444444
"27",1301,-0.00261973204182288,-0.0163837974541821,0.0108968062850181,2232.61949238669,0.418888888888889
"28",1351,-0.00331413653962166,-0.0130490099836607,0.00491867884556996,1621.84991898584,0.245555555555556
"29",1401,-0.00112719326411744,-0.0118973824610293,0.00961906909651589,2329.4444683676,0.617777777777778
"30",1451,-0.00281510324455578,-0.0189553278687526,0.0123995747271692,2787.23010662907,0.44
"31",1501,-0.00327049838843537,-0.013406517522526,0.00495494000642793,1800,0.274444444444444
"32",1551,-0.00167135680851326,-0.0137646493385546,0.00900497825477942,2358.88342407207,0.513333333333333
"33",1601,-0.0024224996612791,-0.0184554916449997,0.00967519438927411,2181.73718961147,0.443333333333333
"34",1651,-0.00237212524348667,-0.0183534950920148,0.0134147061180556,1260.01637048219,0.496666666666667
"35",1701,-0.00177165406870865,-0.00772515033895615,0.00302568842016626,1621.57968660924,0.311111111111111
"36",1751,-0.00158237525042755,-0.0111873560090316,0.00547231500968337,2789.53231741754,0.456666666666667
"37",1801,-0.00359708386576865,-0.0234717475086654,0.0123164759943393,2445.74858011557,0.382222222222222
"38",1851,-0.00282143396692407,-0.0258562297822209,0.0238715035775385,3418.32137675738,0.6
"39",1901,-0.00192938916013131,-0.0204596008479712,0.0119095475442919,2315.61651369863,0.584444444444444
"40",1951,-0.00154417860181291,-0.0146524197389226,0.00838531530462205,2243.16458034573,0.52
"41",2001,-0.00191980308732532,-0.0144724445854081,0.00763240093510831,2381.01005670589,0.448888888888889
"42",2051,-4.40853027168112e-05,-0.00705267843295587,0.00576459358853754,1800,0.954444444444444
"43",2101,-0.00144547192679825,-0.00913837926054839,0.0052723054177477,1800,0.514444444444444
"44",2151,-0.00211603770649629,-0.0133830563136144,0.00595122866798192,2809.61152441237,0.392222222222222
"45",2201,0.00197691841950805,-0.0179781983752036,0.0162798186756845,2144.12453208827,0.755555555555556
"46",2251,-0.00148363767503086,-0.0104831721037044,0.00530513719422743,2350.05656122561,0.467777777777778
"47",2301,-0.00198335039939346,-0.0396700062701711,0.0345356064590305,1697.1037722647,0.753333333333333
"48",2351,-0.00206346726583975,-0.012662892233493,0.00748346446198411,1644.80456121197,0.476666666666667
"49",2401,-0.00175334790629937,-0.0134929160703905,0.00665857846615836,2499.73277620991,0.462222222222222
"50",2451,-0.000434002487798316,-0.0169133196795883,0.0107520668534562,2578.78577772081,0.825555555555556
