"","Iteration","PhyloDIC","PolyDIC","Diff"
"1",1,-430.488264426843,-430.339983349854,-0.148281076989235
"2",51,-478.425887901242,-480.349533338951,1.92364543770844
"3",101,-468.610880498145,-468.337808133717,-0.273072364428401
"4",151,-432.464945266543,-432.509452110583,0.0445068440394607
"5",201,-407.820698721647,-407.95559354815,0.134894826503398
"6",251,-412.430081672777,-412.697605425332,0.267523752555292
"7",301,-478.660930941624,-478.59287006128,-0.0680608803439213
"8",351,-406.414053848054,-407.384213830006,0.970159981952122
"9",401,-423.394673349507,-423.126942238751,-0.267731110755619
"10",451,-375.941894625841,-376.434781928655,0.492887302813472
"11",501,-434.699126024416,-435.314566488136,0.61544046372029
"12",551,-479.345964446256,-480.141984116229,0.796019669972736
"13",601,-453.417230482444,-454.515285464752,1.09805498230776
"14",651,-434.72050060481,-434.334523851594,-0.385976753215289
"15",701,-496.110876223921,-496.285141191009,0.174264967087595
"16",751,-464.811316606553,-464.523017128995,-0.288299477558269
"17",801,-411.332727083352,-411.54473907499,0.212011991637894
"18",851,-480.954052661592,-481.075548261538,0.121495599945774
"19",901,-509.826655834271,-510.134396746847,0.307740912575582
"20",951,-476.375073522893,-477.189479065761,0.814405542867064
"21",1001,-423.757772500454,-425.753392086266,1.99561958581216
"22",1051,-434.399861403677,-434.144828876208,-0.2550325274687
"23",1101,-463.559504690425,-463.904927875114,0.345423184689196
"24",1151,-410.049515041544,-411.915957709398,1.86644266785413
"25",1201,-426.047909325505,-425.704330523282,-0.343578802223419
"26",1251,-411.702634730214,-411.503420077663,-0.199214652551461
"27",1301,-429.768535760916,-429.374883449536,-0.39365231137981
"28",1351,-423.315300459931,-423.792912780978,0.477612321046763
"29",1401,-454.243567749242,-453.935743005715,-0.307824743527192
"30",1451,-405.475976819014,-405.124359744732,-0.35161707428199
"31",1501,-400.474233243695,-401.390349664496,0.916116420800222
"32",1551,-456.023053450717,-455.665225794975,-0.357827655742256
"33",1601,-412.500303993533,-412.195817218582,-0.304486774951272
"34",1651,-437.059486011732,-436.668569033603,-0.390916978128757
"35",1701,-508.933116933489,-509.638432288806,0.70531535531677
"36",1751,-472.853513734056,-472.816384739009,-0.0371289950469986
"37",1801,-368.759150832311,-368.621376904332,-0.137773927978969
"38",1851,-380.225976165652,-379.894494678198,-0.331481487453686
"39",1901,-404.096179637434,-403.749569281226,-0.346610356207691
"40",1951,-446.275880340711,-445.973688672338,-0.302191668373268
"41",2001,-444.253417229574,-444.024167664387,-0.229249565186876
"42",2051,-415.638181137978,-417.194894774021,1.55671363604301
"43",2101,-433.301784294476,-434.48752211784,1.18573782336387
"44",2151,-450.419350209028,-450.355275844316,-0.064074364712269
"45",2201,-361.493793258701,-361.348335536316,-0.145457722385004
"46",2251,-470.55106723957,-470.658630641002,0.107563401432571
"47",2301,-349.448457619546,-349.356033211856,-0.0924244076900891
"48",2351,-391.047233180021,-391.93027941101,0.883046230988384
"49",2401,-445.580945559111,-445.51242495194,-0.0685206071711946
"50",2451,-395.408579598757,-395.346395870204,-0.0621837285536344
"51",2501,-419.978137407399,-419.713390862746,-0.264746544653178
"52",2551,-453.381845076257,-454.586599994487,1.20475491823049
"53",2601,-420.325955005133,-420.333270521209,0.0073155160762326
"54",2651,-409.921745410689,-410.503528789249,0.581783378559805
"55",2701,-415.778030622871,-415.777984280022,-4.63428494867912e-05
"56",2751,-364.493452389805,-364.261574946712,-0.231877443093424
"57",2801,-405.579945845975,-405.549885142403,-0.0300607035721896
"58",2851,-443.461502628621,-443.119064566132,-0.342438062488725
"59",2901,-404.254656924389,-404.015719458939,-0.238937465449339
"60",2951,-427.29339615039,-428.154872912884,0.861476762494306
"61",3001,-449.571410264598,-449.354470944782,-0.216939319816674
"62",3051,-408.813778655277,-408.484108496335,-0.329670158941212
"63",3101,-415.135711133783,-416.051170511587,0.91545937780478
"64",3151,-462.92548369113,-463.342513244916,0.417029553786847
"65",3201,-447.089378936665,-447.569256915382,0.479877978716843
"66",3251,-424.742923167413,-424.524493759482,-0.218429407931467
"67",3301,-447.229969335135,-446.919045982459,-0.310923352675275
"68",3351,-445.054907914199,-444.787179026693,-0.267728887505655
"69",3401,-386.133157304676,-387.442158122605,1.30900081792907
"70",3451,-452.706973220519,-452.3596677276,-0.347305492918736
"71",3501,-411.544348362105,-411.174970089117,-0.369378272987831
"72",3551,-417.477277368271,-417.256196467864,-0.221080900406491
"73",3601,-417.677907901663,-418.454539590841,0.776631689177975
"74",3651,-499.561502300101,-500.622834755176,1.06133245507516
"75",3701,-474.530454792051,-474.582823367999,0.052368575948492
"76",3751,-367.700845600833,-367.368982371487,-0.331863229346538
"77",3801,-385.564258183865,-386.390050877009,0.825792693144479
"78",3851,-381.32270330388,-381.560801653274,0.238098349393908
"79",3901,-455.889118956203,-455.693591629672,-0.195527326531248
"80",3951,-378.084380152195,-378.956885752081,0.872505599886438
"81",4001,-440.175612363415,-439.849341677125,-0.326270686290059
"82",4051,-384.820159156279,-385.720619238396,0.900460082116922
"83",4101,-464.638060646391,-464.559532222704,-0.0785284236870893
"84",4151,-354.347953353511,-354.592641975239,0.24468862172813
"85",4201,-355.222737320883,-355.990955899266,0.768218578383085
"86",4251,-497.108733526851,-497.11833309657,0.00959956971894371
"87",4301,-425.420364003989,-425.354872895657,-0.0654911083319689
"88",4351,-450.485545786509,-450.098182951314,-0.387362835194381
"89",4401,-437.142171481764,-436.761315982388,-0.38085549937648
"90",4451,-443.810700503047,-443.985340884405,0.17464038135779
"91",4501,-431.737017706922,-433.486362245173,1.74934453825119
"92",4551,-459.038065901075,-458.840647695519,-0.197418205556176
"93",4601,-464.03620349135,-463.771520997162,-0.26468249418798
"94",4651,-463.052093332106,-463.041403017462,-0.0106903146438526
"95",4701,-438.491726659304,-438.388944603953,-0.102782055350531
"96",4751,-416.595030393745,-417.563393250927,0.968362857181432
"97",4801,-435.223799363,-435.220282766939,-0.0035165960609902
"98",4851,-422.034598849744,-422.652775247579,0.6181763978351
"99",4901,-453.056255294875,-452.862005681918,-0.194249612957037
"100",4951,-422.652085529557,-422.3045129464,-0.347572583157785
