"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,-0.00493433197874305,-0.0372843395161908,0.0366356039085076,2524.07965138537,0.404444444444444
"2",51,-0.000715128172878272,-0.0537627040175721,0.0380203293607337,885.716646524281,0.733333333333333
"3",101,-0.00123694074091739,-0.0367442784040577,0.0436172598310804,1695.80873092021,0.821111111111111
"4",151,-0.000538248500389279,-0.0508389188762521,0.0551366348008742,2146.94146346341,0.898888888888889
"5",201,-0.0012654689010629,-0.0366979588397953,0.0295787498471327,1518.39807422273,0.735555555555556
"6",251,-0.00653983356005483,-0.0816911144938786,0.0478299969108775,1654.62348174011,0.382222222222222
"7",301,-0.00329009654307508,-0.0308732877238072,0.0388507893221686,1893.96427496856,0.434444444444444
"8",351,-0.00394562527693276,-0.0561085500594345,0.0379741109063616,1915.14083196918,0.605555555555556
"9",401,0.000550661355674337,-0.042798627357115,0.0379193837725325,1994.70580742278,0.998888888888889
"10",451,-0.0031672424835806,-0.0630559286219068,0.0578715745941736,1740.10972948244,0.702222222222222
"11",501,-0.00226660729149735,-0.0605640186513483,0.0429860567091964,1647.50925134832,0.717777777777778
"12",551,-0.00129106713227585,-0.0548163316198043,0.0344212281343061,1733.58578680156,0.738888888888889
"13",601,-0.000919459227335923,-0.0424914043396711,0.0246889406116679,1485.13400448427,0.795555555555556
"14",651,-0.00157630919926165,-0.0328902321489295,0.026986737473635,1675.04351429525,0.614444444444444
"15",701,-0.00270370002594465,-0.0591034096651128,0.0471932944119544,1641.05707247477,0.693333333333333
"16",751,-0.00207191826064507,-0.0552441921972786,0.0470948385482188,2965.06456649837,0.861111111111111
"17",801,-0.00214501351133986,-0.0468171602260554,0.0412620279239491,1641.92142967766,0.703333333333333
"18",851,-0.00223811400198124,-0.0409472991887014,0.0333865656575654,1683.42756375134,0.678888888888889
"19",901,-0.000869067365299772,-0.0234218595069251,0.0367384562559891,1424.81695579863,0.765555555555556
"20",951,-0.0021766795970582,-0.0481498322333209,0.036635443160776,1471.5999407613,0.642222222222222
"21",1001,-0.00187512743753707,-0.0430898276317748,0.0598566354892682,1430.14924739067,0.757777777777778
"22",1051,-0.00301841339874648,-0.0349720391823212,0.0312376587244216,1683.21482675948,0.466666666666667
"23",1101,2.72608405078027e-05,-0.0772417231710278,0.094139755512515,379.453757281643,0.876666666666667
"24",1151,-0.000449622686080286,-0.0504443215322681,0.0411254124483094,1458.04430834335,0.903333333333333
"25",1201,-0.0016279143143413,-0.0501309347309871,0.0414974432787858,1494.53228277607,0.823333333333333
"26",1251,0.000448692362519828,-0.0391725632798625,0.0454833363437501,1691.1752886673,0.991111111111111
"27",1301,-0.00147640065913755,-0.0360762112541124,0.052049207908567,1545.52303248479,0.743333333333333
"28",1351,-0.0021463305738386,-0.0652082167507615,0.0509577148186509,1602.20143690781,0.732222222222222
"29",1401,-0.00223483531169535,-0.0582907951247762,0.0417782416589034,1665.41416979855,0.705555555555556
"30",1451,-0.00157163867153949,-0.043736711202655,0.0333935779781314,1582.8323515069,0.737777777777778
"31",1501,-0.00161964855415634,-0.0577696598484181,0.0336488568063942,1783.98412364086,0.696666666666667
"32",1551,-0.00164071917055482,-0.0397193726275873,0.0402504675585078,1628.12026578516,0.728888888888889
"33",1601,-0.0029341662532156,-0.0530739551904844,0.0409380038945528,1539.2879871887,0.603333333333333
"34",1651,-0.00105793483491665,-0.0550331183767412,0.0451961463004409,1720.75486124339,0.842222222222222
"35",1701,-0.00189770495023442,-0.0553294005658245,0.0384745124364372,1502.56485230377,0.736666666666667
"36",1751,-0.000155923175813442,-0.0620441192149883,0.0750194137344806,449.56134102524,0.731111111111111
"37",1801,-0.00209364506341953,-0.0504513962951023,0.0369878000419703,1763.30709338423,0.692222222222222
