"","Iteration","Species","AbSpec","Units"
"1",1,-1.30230320943812e-05,-1.34013431892494e-05,0.000326248082704188
"2",51,-1.17246899840562e-05,-8.72825562907432e-06,9.62629508835724e-05
"3",101,-1.47429041384656e-05,-1.18233090354287e-05,0.000118817749730966
"4",151,-2.14344255058032e-05,-1.80184291009192e-05,0.000108192651819174
"5",201,-8.37830057558734e-06,-6.13828375761893e-06,7.2885661531608e-05
"6",251,-2.68641626430932e-05,-2.18680029315962e-05,0.000301107785368492
"7",301,-8.7021844977285e-06,-7.76660132954631e-06,0.000247348254800426
"8",351,-2.26656345384481e-05,-2.05375336572288e-05,0.000148483946217657
"9",401,-1.2719157580552e-05,-1.00760368990882e-05,0.000183058797899566
"10",451,-3.21553427638783e-05,-2.8030815952608e-05,0.000180239194561399
"11",501,-2.33322763246992e-05,-1.92972100590083e-05,0.000173369780732309
"12",551,-1.38932646332785e-05,-1.08298450930106e-05,0.000115158138425771
"13",601,-6.89087432729853e-06,-5.35339446667517e-06,7.34592623266222e-05
"14",651,-6.32045032452073e-06,-5.02219173440584e-06,9.94282320753897e-05
"15",701,-2.29224577625331e-05,-1.94070582268646e-05,0.000192115814737368
"16",751,-2.54103248626173e-05,-2.40804645898732e-05,0.000268500106623006
"17",801,-1.63387501595185e-05,-1.50542833131556e-05,0.000104117637125586
"18",851,-1.36450519510863e-05,-1.11715953831743e-05,9.45523422800043e-05
"19",901,-6.02737315699005e-06,-4.85417326718554e-06,7.72020781821505e-05
"20",951,-1.24589126672027e-05,-9.69958149936916e-06,0.000140421901116643
"21",1001,-1.97439623857118e-05,-1.45427046130023e-05,0.000163904872832841
"22",1051,-8.98990857240478e-06,-7.29942881203913e-06,0.000104335953641748
"23",1101,-4.57122056359862e-05,-5.16228900750625e-05,0.000212694087385335
"24",1151,-1.3012551021029e-05,-1.11816741990861e-05,0.000160592967138651
"25",1201,-2.06117882080583e-05,-1.47802985597865e-05,0.000146604791634892
"26",1251,-1.50064950465619e-05,-1.33567933287648e-05,0.000205143489270747
"27",1301,-1.23486810876327e-05,-9.96469009803895e-06,0.000122523800341853
"28",1351,-2.15269838655915e-05,-1.65372440196034e-05,0.000272648581385446
"29",1401,-2.01112559802301e-05,-1.70761825945831e-05,0.00015891552436143
"30",1451,-1.24481929682353e-05,-9.13945897640258e-06,0.000102594086741118
"31",1501,-1.15953922699467e-05,-9.32866123235045e-06,0.000133978727999682
"32",1551,-1.25802595268279e-05,-9.90675925262752e-06,9.94087320929077e-05
"33",1601,-1.48100711288903e-05,-1.31300473479872e-05,0.000148436279783688
"34",1651,-2.17558268826271e-05,-1.69050224809055e-05,0.000163163604574867
"35",1701,-1.62132975083362e-05,-1.32457680110532e-05,0.000174441258701601
"36",1751,-2.07020423598652e-05,-1.65841163084033e-05,0.000127425584125068
"37",1801,-1.57748910084336e-05,-1.35253504169258e-05,0.000132662923095633
"38",1851,-7.73313653129271e-06,-6.8321035016418e-06,0.000223899155089158
"39",1901,-2.23628271265928e-05,-1.89636558513034e-05,0.000198790022917396
"40",1951,-2.28519620489323e-05,-1.89152235885471e-05,0.000198831643468019
"41",2001,-3.12420390434269e-05,-2.50051835703183e-05,0.000187238433692573
"42",2051,-2.59331880854023e-05,-2.04067206906481e-05,0.000206191775796
"43",2101,-2.38905589732184e-05,-2.16012733019204e-05,0.000290761548654637
"44",2151,-1.56777330249743e-05,-1.25018336863035e-05,9.52928143912732e-05
"45",2201,-9.55548024025796e-06,-7.32508532330579e-06,8.09152273944647e-05
"46",2251,-1.58171595142159e-05,-1.59436137614365e-05,0.000134287535178299
"47",2301,-2.27043186544184e-05,-1.74104051316506e-05,0.000137831966196649
"48",2351,-1.61770766444926e-05,-1.24129977155977e-05,0.000151429122060279
"49",2401,-2.17796792410259e-05,-1.66757680804717e-05,0.000230356045863285
"50",2451,-9.78355620941034e-06,-8.33308945557776e-06,0.000174968195847347
"51",2501,-1.56133527296371e-05,-1.25992195132456e-05,0.000211670190319491
"52",2551,-6.33464112625548e-06,-6.40696976935989e-06,0.000147607249052614
"53",2601,-1.96673033960526e-05,-1.43001490269042e-05,0.000170602882149115
"54",2651,-7.64308028660149e-06,-6.99472448613247e-06,0.00010649191767395
"55",2701,-2.0007584006019e-05,-1.45286699116123e-05,0.000125409587756175
"56",2751,-3.46451861755716e-05,-3.79591893673339e-05,0.000125430921406845
"57",2801,-8.50229043008159e-06,-6.90318360710626e-06,0.000101547013568844
"58",2851,-1.17273086765687e-05,-8.79033768191471e-06,8.56687179181212e-05
"59",2901,-1.73740454587057e-05,-1.42695821566437e-05,0.000176020483177011
"60",2951,-5.93098935367537e-06,-4.74812796778077e-06,7.2436739536799e-05
"61",3001,-8.25840866872583e-06,-6.81984242192836e-06,0.000110123979951239
"62",3051,-5.75055089594105e-06,-4.70007983942691e-06,0.000103894573192836
"63",3101,-2.30976060117978e-05,-1.94681045232021e-05,0.000148238824659743
"64",3151,-1.29280657234805e-05,-1.04117551595841e-05,0.000123565575465419
"65",3201,-1.48641734960705e-05,-1.18697742534798e-05,0.000184014952316997
"66",3251,-7.91508551604e-06,-6.37058931076495e-06,7.351915106607e-05
"67",3301,-2.15096411155722e-05,-1.83759777272834e-05,0.000146172154479737
"68",3351,-1.14756135549022e-05,-1.11769487892946e-05,0.000339364967611346
"69",3401,-1.12374715592676e-05,-7.99651092924754e-06,0.000102502037791455
"70",3451,-1.22003502017953e-05,-1.08399186227138e-05,0.000277201559593814
"71",3501,-1.72023345965385e-05,-1.41561672947422e-05,0.00012693454967741
"72",3551,-1.23737967605095e-05,-8.82977387032007e-06,9.79931353055507e-05
"73",3601,-1.15533084901613e-05,-8.72026334870303e-06,9.43543435728765e-05
"74",3651,-2.17845853221489e-05,-1.65519134197389e-05,0.000147253731672953
