"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,0.000279570988953055,4.68073770894808e-10,0.000525811701755504,1800
"2",51,0.000175672107210457,8.71976462739821e-11,0.000410048262804957,1430.2086720223
"3",101,0.000245211583013657,2.66863941473755e-11,0.000671566258489355,1401.12589818924
"4",151,0.000429178691282211,2.0482013953598e-10,0.000971796153424514,1624.48684595792
"5",201,0.000147539418091791,6.42742949138942e-13,0.000350873284833026,1390.77723868306
"6",251,0.000303200964991862,8.23624732544131e-14,0.000870193400563267,1800
"7",301,8.79851791081213e-05,1.66962586729064e-12,0.000275192152217287,1800
"8",351,0.000420872208783069,2.36379643048719e-09,0.00109948903967259,1427.90700164515
"9",401,0.000208802497005937,3.47404149513504e-12,0.000436091925032166,1800
"10",451,0.000705166764869112,8.66639186577903e-12,0.00157580449332454,1550.38588965578
"11",501,0.00036509234380464,2.74104548135303e-10,0.000926351706500868,1459.16697971427
"12",551,0.000220734404711958,2.65257641007997e-11,0.000515665059918781,1460.51596457707
"13",601,0.000111043786258492,2.59088235377797e-11,0.000262211187949466,1552.37640726832
"14",651,7.96004363264436e-05,3.98854036324824e-12,0.000230005028690877,1800
"15",701,0.000360943493861267,2.73952645242469e-11,0.000965348983452615,1439.50323248662
"16",751,0.000410761047288115,1.71486830252278e-13,0.00100846007271657,1800
"17",801,0.000271846708417245,2.91308068583094e-10,0.000694531678861056,1454.51037748157
"18",851,0.000233018860548396,6.29404495562415e-13,0.000581696210288283,1426.86275805509
"19",901,8.28256467641817e-05,5.06794940360043e-12,0.000229619477589309,1800
"20",951,0.00020038784623507,1.40774158989092e-12,0.000429051037953789,1551.37970761382
"21",1001,0.000325560667919876,4.5256698281505e-13,0.000775904514320822,1458.33767559891
"22",1051,0.000137120721249003,5.85720721059038e-11,0.000401246218724594,1800
"23",1101,0.00113169335853962,1.49692605865392e-09,0.00289437538441685,1800
"24",1151,0.000179928687693563,1.18132076664335e-13,0.000504775296120769,1800
"25",1201,0.000318358423890502,2.41165679822612e-11,0.000817615308796683,1387.29674607054
"26",1251,0.000278641384168887,1.04681662664553e-11,0.000592301522508599,1579.15766911648
"27",1301,0.00020647389220862,2.17760931730782e-12,0.000488343624676022,1485.82404510522
"28",1351,0.000375328991435146,1.39281502628807e-11,0.000793019658120593,1607.55630592543
"29",1401,0.000331209223189887,8.93485364515648e-10,0.000862210383321552,1455.6757177085
"30",1451,0.000206130020364173,3.67322914634643e-11,0.000509430506376813,1435.16301193093
"31",1501,0.000178458990998245,8.71456239595156e-11,0.000383660743183732,1800
"32",1551,0.000217142370874093,2.38336663954344e-12,0.000543501423687616,1441.09642801937
"33",1601,0.000283344629814252,7.46654014692316e-13,0.000606521195649796,1333.30884366204
"34",1651,0.000328693620655012,1.67518635425259e-10,0.000840373828497696,1445.6411597593
"35",1701,0.000295763216381064,1.72031997787287e-10,0.000610866096267783,1434.55309328976
"36",1751,0.000290730506542759,2.56811953192887e-12,0.000739546086799831,1449.96842309602
"37",1801,0.000263084350201219,2.91376136816852e-12,0.000654616654433205,1450.30922343174
"38",1851,0.000108576667284824,5.21363084081882e-14,0.00027176104304119,1800
"39",1901,0.000356611855727972,7.10110579263629e-13,0.000785264012873925,1298.01223358925
"40",1951,0.000396134942495676,2.42652018089869e-11,0.000965203473257219,1514.47642097905
"41",2001,0.000500500965350685,7.12818096264083e-10,0.00118334653869102,1395.96151466585
"42",2051,0.000418606056590941,1.26200782312844e-13,0.000947093464023865,1482.26302334222
"43",2101,0.00043589703731115,6.34674933967491e-14,0.00101457624181448,1555.19673197046
"44",2151,0.000251265786626978,2.05939310182447e-10,0.000708456590301409,1377.47584454753
"45",2201,0.00016710968925636,1.8440922826329e-12,0.000387641391295513,1420.82558976766
"46",2251,0.000308172590029294,1.92259298503702e-14,0.000785620746117074,1566.44774002051
"47",2301,0.000302642762047696,7.40630393626639e-11,0.00075263060551717,1443.48371977804
"48",2351,0.000290490145525135,1.62522340992809e-10,0.000671913522204015,1367.69949765496
"49",2401,0.00035312080662632,6.32340236366878e-11,0.000791074003040929,1439.64040379947
"50",2451,0.000111373678950864,3.55881262528422e-11,0.000357190190034075,1456.28971407275
"51",2501,0.000265978176109587,1.16657851264892e-11,0.00055941289193732,1615.48544850751
"52",2551,0.000108743870385882,2.27361777234625e-11,0.000244855591239656,1800
"53",2601,0.00033104332166738,6.52236616258546e-11,0.000803305379864173,1387.7202110407
"54",2651,0.00013173028040425,1.86173732860918e-13,0.000312989750714306,1800
"55",2701,0.000298406521348215,1.39585619425848e-11,0.000773738203834528,1455.67436958571
