"","Iteration","lowerInt","upperInt","lPreClim","uPreClim","lInvClim","uInvClim","lInvTime","uInvTime","lSpecies","uSpecies","lAbSpec","uAbSpec","lUnits","uUnits"
"1",1,-0.469907692197012,-0.391691311044269,-0.0541855497576762,0.0275179078016663,-0.0370085314716562,0.0341690114728408,-0.0464835937164025,0.0254530438542133,1.28813911239406e-12,0.00571280434935571,1.03799941109717e-10,0.00516814036566731,9.6679247613079e-05,0.0001923743842633
"2",51,-0.44053184587392,-0.405553129792679,-0.0234329848608468,0.0154934320889879,-0.0129931221890729,0.0228821005293867,-0.0205519924347755,0.015110781497242,4.69662276435216e-15,0.00134317670365935,7.44860700937672e-13,0.00125743871219959,5.63972026246155e-05,0.000112474800935454
"3",101,-0.462116171143862,-0.400052250442968,-0.0349516137648607,0.0289623113021662,-0.0312776569335256,0.0276438807777595,-0.0286638574762037,0.0287700103654061,2.27220732205542e-11,0.00403662983671621,1.79774568312533e-10,0.0033135052050644,6.35379482503492e-05,0.00012623900296777
"4",151,-0.469066710327752,-0.389765645115403,-0.051360257784836,0.0331362587749027,-0.0307734595662623,0.0410031984793022,-0.047475021739956,0.028394287062838,1.68940217995548e-10,0.00568001562752389,2.78158498526184e-11,0.0061631400006394,9.51317076724855e-05,0.000189264934390238
"5",201,-0.482743652373756,-0.410591355997894,-0.051825266549713,0.0331476454448421,-0.033249542080739,0.044960970262764,-0.0444968814699678,0.0312408938189037,5.62261415403426e-11,0.0062135416512438,1.05364215758933e-10,0.00573412002294704,0.000127169355173099,0.000253072628940565
"6",251,-0.471159958822682,-0.395103321308852,-0.0474029122851789,0.0293687934263289,-0.0304606568533927,0.0450092178652994,-0.0410250855784398,0.0332394028373528,7.64449854453833e-14,0.00505376973694657,4.29831400463218e-12,0.00537653874830838,0.000120942076499562,0.000240607210333315
"7",301,-0.4536924653803,-0.399705823248951,-0.0317651291843504,0.0222383418076788,-0.0293593575624982,0.0243485039827647,-0.0266834169524373,0.0282823221059516,1.36227007454082e-11,0.00304090666896346,1.0565199544216e-12,0.00288074585435072,5.66387220907296e-05,0.000112598890121789
"8",351,-0.456647708524542,-0.394395405190153,-0.045799921877915,0.0313203476398485,-0.0299896739525138,0.039573456189828,-0.0411863239769445,0.026200271997368,9.41053857883452e-16,0.00483071755484174,6.96971740688882e-15,0.00578554736399288,0.000129495104281377,0.00025811576352592
"9",401,-0.490951470485015,-0.396515968473977,-0.035828986307024,0.0647986537587713,-0.0393602203594128,0.0445561689684837,-0.050563574219268,0.0412828450353118,2.84194310386703e-11,0.00887954551395973,3.4172926866276e-13,0.00816246428818101,0.000104001302695096,0.000208114547904312
"10",451,-0.477391932392493,-0.381391649658326,-0.0546887220261851,0.0489723312703063,-0.0356437845766777,0.0545416176319122,-0.0372174765507225,0.0574663006409537,1.46649580379694e-11,0.0105786491344107,2.70393745924279e-09,0.0104524892914029,0.000190318908648992,0.00037691385164786
"11",501,-0.470012754172785,-0.409637041419046,-0.0367160716705257,0.028055519258487,-0.0296721182967303,0.0336523157748161,-0.0373548810894135,0.0232685636001406,1.69941018444604e-10,0.0036565967058847,7.03848931027346e-11,0.00487732565953429,9.32282606001855e-05,0.00018529156657565
"12",551,-0.463207677254104,-0.409438555310771,-0.0227191940211924,0.0320921197053394,-0.0249550338166955,0.0241408957335807,-0.0261616031784797,0.0219865758572269,2.4108102280618e-11,0.00255709657165225,2.92778029870913e-11,0.00269919086560937,5.4475778727036e-05,0.000109990300470108
"13",601,-0.448474755696225,-0.40283172193449,-0.0259637365816161,0.0228423254557129,-0.0219772290638502,0.0253976001549745,-0.0233864082838409,0.020335115477792,4.84948882251916e-11,0.00192356473969603,4.43539303753457e-11,0.00205022451781708,7.11675770950735e-05,0.000144678652628407
"14",651,-0.503664946591016,-0.402168453452759,-0.0506847091310192,0.0464227202646725,-0.0425480691483244,0.0442114796896931,-0.050828967065172,0.0403704997333989,1.27228588086805e-10,0.0108849416273542,3.70421706725949e-10,0.0076255762109314,9.16331734090818e-05,0.000182739048179633
"15",701,-0.449843633265118,-0.403574010248121,-0.0287698722386267,0.0227306114975363,-0.0284922650680528,0.0196633749874309,-0.0250709997344529,0.0224061146873282,1.19085969111628e-12,0.00237727177169163,1.56876118304831e-11,0.00239305798764548,4.74997887197786e-05,9.42180082066202e-05
"16",751,-0.46699642483145,-0.401664150180295,-0.0295006896631094,0.0342513464493095,-0.0322129855849198,0.0281365945120342,-0.0281590197992045,0.0309654057782609,6.99351401779629e-12,0.00419582369023526,1.55919918508609e-12,0.00349477451890547,6.57468387977095e-05,0.000131026910380177
"17",801,-0.474288759985939,-0.394053593503486,-0.0436248491168953,0.0439421504124766,-0.0376870047011835,0.0348288962995866,-0.040244271796837,0.0331244921544567,6.04577106766395e-11,0.00639939733355079,3.23501571444993e-10,0.0059217086470963,0.000120118877841839,0.000240423613977342
"18",851,-0.482806200103369,-0.379589582011249,-0.0496246741677169,0.0683908689097734,-0.0341279193016817,0.0583998935908312,-0.0582750320609193,0.042268212462659,7.08495051883106e-12,0.0140417072707719,5.61448963935886e-11,0.00974507514687026,5.53433251066006e-05,0.000110091233076828
"19",901,-0.441327093420114,-0.394242310823756,-0.0252724406745983,0.0272989878430963,-0.0266272281151032,0.0219206812325865,-0.0255286025203532,0.0234359090627549,9.75302828946735e-11,0.00235467527380097,3.17047462100709e-10,0.0023568337231311,4.15532592126832e-05,8.25634163591456e-05
"20",951,-0.446427684029914,-0.388413674754702,-0.0321012376225553,0.0325240075108013,-0.0251474746182794,0.0289217886456754,-0.0294926594942808,0.0296644516929518,1.0487394348076e-10,0.0034451995752795,1.49531766902236e-11,0.00363884175247151,5.72809406069675e-05,0.000114788945345999
"21",1001,-0.443937164149247,-0.401412752864417,-0.026020787699963,0.0217693750937542,-0.0166659390743007,0.0250020479725208,-0.0267021886393195,0.0141264674457489,1.83769675068488e-11,0.00202813500572917,3.06384634302047e-12,0.0020115033780247,0.000105272153837099,0.000208293576922912
"22",1051,-0.477026789802039,-0.402644861096633,-0.0476349664313602,0.0302215381962014,-0.0294694593503664,0.0418487976075994,-0.0381437128526159,0.0293415757623734,1.13617649573973e-12,0.00588693437176944,2.22756464911128e-11,0.00438151483738853,9.3203088165108e-05,0.000185186870593003
"23",1101,-0.476974065968534,-0.377585266542155,-0.0410579301678808,0.0645852593843301,-0.0473289563269645,0.0395392240970978,-0.0458842957013985,0.042270197373,1.35762364060882e-10,0.0111583370293174,6.87356937177081e-12,0.00771915777539067,6.66627310269742e-05,0.000132618352328102
"24",1151,-0.452206027315697,-0.405419534021348,-0.033320591726806,0.0203700506535824,-0.0184072494448628,0.0275077161131776,-0.0262207435262098,0.0208691662846832,1.20882048616395e-13,0.00259897399891916,2.49261155548765e-11,0.00249722081646109,0.000123566303410807,0.000245121755221736
"25",1201,-0.486430470045889,-0.399043319339398,-0.0511854408541694,0.0387201073026517,-0.0470002636884601,0.0362894506106386,-0.0537125455739442,0.0293721216439735,5.27126371306813e-12,0.00805774895041946,1.59681766552714e-10,0.00594737989322872,0.000101602579262984,0.000202350892222836
"26",1251,-0.528940975687874,-0.381422658480005,-0.0845672579307575,0.0841190329374513,-0.0711902658367762,0.0620064555841964,-0.0677580744377337,0.0735643825973966,5.12660980889666e-10,0.0342566586964255,2.44348441330981e-09,0.0169186964979682,0.00012198235227891,0.000242646200831137
"27",1301,-0.481491878425004,-0.389819628529949,-0.0417554245941574,0.0494220326945651,-0.0447953048351337,0.0407706299665733,-0.0493560630566208,0.0354141894495115,5.39165292312814e-11,0.00796960415266006,5.36146501414853e-11,0.00728546497022432,9.57696426781892e-05,0.000192585503888163
"28",1351,-0.470492421656672,-0.401856212090934,-0.040146347717382,0.0377613499149447,-0.0317629957862664,0.0368739351688419,-0.0345366092678887,0.0354973726643948,1.3508948313578e-12,0.00491718772435204,9.13812914751209e-13,0.00487108980784698,0.000105416795204242,0.00021017581049849
"29",1401,-0.475032295493293,-0.398969148212927,-0.0431094222585671,0.0354053945629857,-0.0369106880752952,0.0381093311298173,-0.0380557790995226,0.0337473778781714,1.58368484264808e-12,0.00694590195108894,5.74974791685392e-13,0.00520816508756007,7.25527148861864e-05,0.000145949983151023
"30",1451,-0.494408806276624,-0.368277006564313,-0.0598751569050364,0.0640893622185104,-0.0424675749600283,0.0647979748609941,-0.0562790138465061,0.0570026610403147,5.76561883408141e-11,0.0147061841420262,9.16853986321934e-11,0.010755737989252,0.000128701112100178,0.000258732046665072
"31",1501,-0.453655519231688,-0.384516074922431,-0.0434649944145349,0.0279522366790843,-0.0314008258137619,0.0342668054363457,-0.0315896130850888,0.0340309430466732,3.01146441996035e-10,0.00421723652057742,5.9596358767495e-11,0.0047628190098846,0.000135560415565117,0.000272012467533626
"32",1551,-0.468347234513203,-0.390643226826796,-0.0409038768084429,0.0383367517133593,-0.0343433682355681,0.0382676144890866,-0.0379672930430388,0.0281747345579788,9.0684242952872e-11,0.00594990133249187,2.95583725303377e-10,0.00482989285829735,7.16819743439183e-05,0.000143499156154689
"33",1601,-0.491100801082212,-0.394709846761543,-0.0440400782899815,0.0495545142475748,-0.0428244828799507,0.0467567482555751,-0.055711697525112,0.0323684508766746,1.52334636339146e-10,0.00889885378846119,1.35118342933263e-10,0.00748550460212172,0.000119729629914932,0.000237924255152368
"34",1651,-0.516887410696654,-0.362670799529951,-0.0824994370541958,0.082064800983062,-0.0625621296312602,0.0790821288755978,-0.0791040517833608,0.0693900909673175,2.26389494494206e-10,0.0333464272229483,1.02211676420006e-09,0.0151098979806888,8.99031192323156e-05,0.000179415093547536
"35",1701,-0.476239536819776,-0.388118656133884,-0.046566218501539,0.0467800079204608,-0.0420723592396826,0.0364479068957735,-0.0363088652666193,0.0487199671806593,5.01075362367256e-12,0.00901534006597916,1.13556009960079e-11,0.00733034579939234,4.26282427241093e-05,8.42709688371867e-05
"36",1751,-0.462069285684265,-0.405201307679818,-0.0349431899376214,0.0230108283431036,-0.0315975255070953,0.0238172114331974,-0.0314229362847982,0.0244188894539548,7.97369984588961e-11,0.00318849900082927,2.7363610078218e-10,0.00303223679002098,6.02205081049636e-05,0.000119781769267053
"37",1801,-0.514625153417001,-0.392667857158813,-0.0652141954342369,0.0526112885345356,-0.0523769352294039,0.0589892630378017,-0.0676057579112239,0.0523987902197405,2.70074602649258e-10,0.016068295434096,7.41631014933441e-14,0.0125620487262557,0.000209947237363386,0.000416761137303262
"38",1851,-0.515571006166283,-0.362967632201617,-0.0904605968971737,0.0555610233241168,-0.0624038369260234,0.0732395206168803,-0.0998735247740115,0.0591006769391242,3.20219315679962e-11,0.0258240124389556,2.34163513975836e-11,0.0192435786811051,0.000176490585562217,0.000355726979070238
"39",1901,-0.527000052163203,-0.381613992525672,-0.0748096619499847,0.0880164453119505,-0.0759325722174253,0.0671356506936718,-0.065413216361776,0.0702503358697868,2.16564695806377e-12,0.0292850339973911,5.47261158173959e-14,0.0149472882829846,0.000130886186061971,0.000263536667056216
"40",1951,-0.487513649655739,-0.406161845508905,-0.0439452785503818,0.0362623914988944,-0.0357794084848138,0.0398246425611433,-0.0442988122667884,0.0289622743439395,9.6316260246486e-11,0.00637243920532934,6.15261963054375e-11,0.00576045931432819,8.10593088244034e-05,0.000161452673070821
"41",2001,-0.47567682780209,-0.404764411607175,-0.0355591234983876,0.0371027075962047,-0.0362842933755019,0.0317049652148853,-0.0311306387156947,0.035761430306593,1.33416331620747e-09,0.00540001335263115,3.4981777560183e-11,0.00411352645353544,8.31075118079054e-05,0.000165088437834699
"42",2051,-0.461318736721296,-0.407491564459633,-0.0312526951747714,0.0299447286806753,-0.0286327136982436,0.0258437015872914,-0.0366344444628339,0.0196813793954789,1.81880517967036e-13,0.00329967546112845,1.25099701457796e-11,0.00339383166858473,0.000116043126776162,0.000229055990904772
"43",2101,-0.448612042760942,-0.395767985799466,-0.0319928509852616,0.0260775172500871,-0.0244109602426761,0.0292870979719737,-0.0269375580537599,0.0238807110727066,8.70672550694634e-11,0.003293048951568,4.61958734691259e-12,0.00308039389121487,9.04740054273162e-05,0.000182446776070773
"44",2151,-0.477297449673642,-0.412462047253939,-0.03850421262905,0.0254547965014353,-0.0332225250895135,0.0289135966304457,-0.0301501287613064,0.0330225064826664,2.8526056541103e-12,0.00436488961781671,3.32029545557261e-12,0.00404722490464061,7.69095001483327e-05,0.000153264062844603
"45",2201,-0.505431494748336,-0.349129958456615,-0.0834135334007442,0.0733959956050967,-0.0822652299830224,0.0650693679926917,-0.0818470938320388,0.0611780325270956,1.79594399014173e-13,0.0255549578656422,1.77457160688295e-09,0.0248432838739221,0.00022844524513038,0.000454987831309728
"46",2251,-0.454201047636161,-0.401703110474045,-0.035246893618023,0.0246841592888813,-0.0252210324106272,0.0319465665888856,-0.0286439491833335,0.0263944510006695,2.85290432526737e-10,0.00288354191359381,1.67229284243794e-13,0.0030695473866693,6.17586092017474e-05,0.00012273759496578
"47",2301,-0.599348152152743,-0.225972332269521,-0.173578457877738,0.200992633661372,-0.157283956919855,0.200395543317427,-0.147395014791982,0.196984512265772,1.44691695455174e-10,0.0918902957893833,1.85111468908643e-09,0.234283180468003,0.000265334523307373,0.000536440248712183
"48",2351,-0.467954526226094,-0.384377333786688,-0.0524271638714708,0.037631584888004,-0.0360906959308522,0.0390082252270076,-0.0422071351786144,0.0356919060141081,1.08964107178647e-11,0.0074268066354835,4.88561316041852e-12,0.00777384310976637,0.000156724973047627,0.000311530453707317
"49",2401,-0.480010275066888,-0.408424545472371,-0.0437779595740722,0.034045937083647,-0.0389785747393034,0.033709853378241,-0.0363728590200481,0.0351126238711004,5.36649507132027e-14,0.00591491435643373,6.54989622697685e-11,0.00506025967712902,8.19536825304864e-05,0.000162878519903966
"50",2451,-0.491835482462193,-0.402828367121401,-0.0496284444379853,0.0407887760156882,-0.0549888658260898,0.0330407417750394,-0.0479965938575333,0.0349394773584208,2.21913032333599e-10,0.00864150203713536,3.54343268493022e-10,0.0076351087540258,0.000148673689820694,0.000296415882263801
"51",2501,-0.482109394331928,-0.392246238072403,-0.0449332080315799,0.0458376327005681,-0.0410683163863723,0.0422239243471267,-0.0404990777606145,0.0418885446269996,6.13804227699668e-13,0.00820020030093374,1.76422893926998e-12,0.00606618163715289,0.000109618126339957,0.000217885150483794
"52",2551,-0.458563611595309,-0.407144219294423,-0.0339357887569349,0.0222342692777602,-0.0237456826016569,0.0281303821539041,-0.0255553947426961,0.0233447694809001,4.2411688659099e-12,0.00259495726136519,6.14955561169067e-12,0.00278082734413527,7.39709425453421e-05,0.000148013982629941
"53",2601,-0.485399886281812,-0.393134378042305,-0.0468693019938655,0.0448894168366678,-0.0341868703908403,0.0424655858651022,-0.0555830482771853,0.0297265759436414,1.15146195768819e-10,0.00740946282414903,1.8574488461702e-10,0.00692975663451966,0.000109265941496521,0.000217224021383038
"54",2651,-0.474770996079315,-0.399687603247003,-0.0460190713129123,0.032742833811426,-0.035177439909603,0.0357619285641704,-0.039085160009563,0.030816251412034,3.59650796514593e-13,0.00559793551677502,6.61611119953613e-12,0.00547389862724001,0.000124034139786968,0.000246659318150273
"55",2701,-0.478877346751688,-0.39941241008637,-0.0451221762923524,0.0335100663651247,-0.0415847044423572,0.033201916172402,-0.0369993206768413,0.0391005868223147,1.79501273611587e-10,0.00609046370049871,2.84695447197856e-10,0.00594654997816348,0.000116692979359148,0.000231453851063445
"56",2751,-0.515517695152084,-0.369930373955867,-0.0730910328857135,0.0794838005385827,-0.0590651222300949,0.0660137564118486,-0.0810434627346694,0.0589356366108404,2.29844054813971e-13,0.018579303415828,2.27165552550678e-10,0.0186583246391887,0.000217534434393631,0.000435617203981838
"57",2801,-0.486073990279692,-0.391139938445122,-0.0540455944446876,0.0408051601334591,-0.0374195521872025,0.0497668941534357,-0.0490767438022885,0.036102320162172,3.29198204986466e-10,0.00846495358016256,3.66570219396005e-11,0.00805857291076559,0.000130534495079592,0.00026013673999714
"58",2851,-0.48258318232547,-0.400053442222998,-0.0368655548372772,0.0448315746616572,-0.0361793984047836,0.0384887147884001,-0.0538082092534751,0.0259422888047993,1.76833161281925e-11,0.00659935136863929,2.05025776730532e-11,0.00516568250128343,8.24824170505734e-05,0.000164934490708713
