"","Iteration","Pass.Stat.Int","Pvalue.Int","Pass.Preclim","Pvalue.Preclim","Pass.InvClim","Pvalue.InvClim","Pass.InvTime","Pvalue.InvTime","Pass.Halfwidth.Int","Ratio.Int.","Pass.Halfwidth.Preclim","Ratio.Preclim","Pass.Halfwidth.InvClim","Ratio.InvClim","Pass.Halfwidth.InvTime","Ratio.InvTime"
"1",1,1,0.508640460799143,1,0.809208511186541,1,0.718078858347839,1,0.95542525029798,1,-0.000735907353185884,0,-0.149132732401815,1,0.0835773859064721,0,-0.297321996336628
"2",51,1,0.972593760992825,1,0.239345565826589,1,0.634824509088637,1,0.522415785621458,1,-0.000254540271306123,0,-0.240274294015089,1,0.0791000941550176,1,-0.0637635558224973
"3",101,1,0.913377424919824,1,0.645723568678656,1,0.784501069908333,1,0.839497947272024,1,-0.000656368018751338,0,-0.228163706377648,0,0.139538331535203,0,-0.459099858444455
"4",151,1,0.870738020301612,1,0.813991664914154,1,0.877831492345527,1,0.887683166916256,1,-0.000532556250271552,0,-0.226553236347397,0,0.113147316058604,0,-0.208656264240228
"5",201,1,0.455339872105248,1,0.763880414185521,1,0.81967823917865,1,0.568275409731032,1,-0.000538675006316251,0,-0.216052788052698,0,0.13260263023632,0,-0.398658004978794
"6",251,1,0.818147351944456,1,0.264823395576464,1,0.77910248915891,1,0.755331179204377,1,-0.000540339603598914,1,-0.0902428935826998,0,0.128349702490771,0,-0.304175903402389
"7",301,1,0.890563909351489,1,0.842764718984565,1,0.846157545233066,1,0.752264902777093,1,-0.000452360452653455,0,-0.176044696576415,0,0.11542778695568,0,-0.352139646023819
"8",351,1,0.90745768227451,1,0.537925147347087,1,0.65664733097022,1,0.629852084902581,1,-0.000507309409351889,0,-1.25624593318455,0,0.233242445295654,1,-0.0697975505352083
"9",401,1,0.997516253471935,1,0.862305888763356,1,0.575631521337296,1,0.865490220389448,1,-0.000677893334586602,0,-0.135726194711641,0,0.140982213487736,0,-0.566577831729049
"10",451,1,0.791274039962406,1,0.120453527280052,1,0.258742227078329,1,0.661445871021453,1,-0.000585193374775805,1,-0.0974340937032146,0,0.105197032137073,0,-0.375733352934657
"11",501,1,0.721146724356199,1,0.410135983538333,1,0.871234936806884,1,0.834009420740079,1,-0.000459943720387222,0,-0.114511655143655,0,0.129662238609889,0,-0.133604995235413
"12",551,1,0.456263320097096,1,0.546963141512225,1,0.788960054197674,1,0.749276105151503,1,-0.000294200899940247,0,-0.107005244745035,0,0.143093057555559,0,-0.274510023326896
"13",601,1,0.760741524529635,1,0.0807393926705939,1,0.566294437819781,1,0.848373108755009,1,-0.000321418060750191,0,-0.154372919753513,1,0.0720913295007912,0,-0.106467430860012
"14",651,1,0.145796737055845,1,0.190225063321427,1,0.57775245968728,1,0.754541645126438,1,-0.00113454211465415,0,-0.233949292986221,1,0.0970394683454514,0,-0.563629463253899
"15",701,1,0.578214733114509,1,0.59337375698747,1,0.800256955209913,1,0.729145523309747,1,-0.000351234158283303,0,-0.138351078117786,0,0.110923834077983,0,-0.189518482393278
"16",751,1,0.0594251233540078,1,0.670331864162436,1,0.801087542303899,1,0.871028085103359,1,-0.000991024745783206,0,-0.218382590437269,0,0.10898311675006,0,-0.413015202706346
"17",801,1,0.958500157547977,1,0.54721338163754,1,0.581371868831086,1,0.932184507757561,1,-0.000536339901717117,0,0.129952398326854,0,0.188764904661944,0,-0.106626832933652
"18",851,1,0.822755795615112,1,0.313987466388497,1,0.118622275054694,1,0.904851851070722,1,-0.000510720555586508,0,-0.192564436788208,0,0.131734754401845,0,-0.261938558010673
"19",901,1,0.59002629870712,1,0.452099510856725,1,0.736657673568749,1,0.61219615229023,1,-0.00032149812519888,0,-0.133251482682133,0,0.111798277645545,0,-0.191297585077372
"20",951,1,0.652593613289155,1,0.0908088155127573,1,0.709441487301252,1,0.781094708107149,1,-0.000327741868675442,0,-0.111393626561392,1,0.0640283644126955,0,-0.110507464040518
"21",1001,1,0.851758471676202,1,0.301470555945675,1,0.562643907296546,1,0.994259525113557,1,-0.000297219501947017,0,0.348354519086092,1,0.0751137267486718,1,-0.0548902091218361
"22",1051,1,0.822227494409227,1,0.588465368710739,1,0.801337157961061,1,0.774816377375703,1,-0.000774430462638628,0,-0.230752828286072,0,0.122926058164449,0,-0.476364334709969
"23",1101,1,0.777550289410188,1,0.426327210103953,1,0.760842409506798,1,0.938941878790367,1,-0.000382979046867365,0,2.96072845009208,1,0.0872361032581132,1,-0.0894392388965379
"24",1151,1,0.94168645364446,1,0.253257521888363,1,0.567788365619769,1,0.942797333307283,1,-0.000346261960256795,1,-0.0359618073073215,1,0.0432182545767025,0,0.25996663523545
"25",1201,1,0.808999684308908,1,0.336760662119387,1,0.84785010866241,1,0.691057188474596,1,-0.000845782459344773,0,-0.209239743059083,0,0.122568917958533,0,-0.564016993424974
"26",1251,1,0.718639293826854,1,0.381255083220025,1,0.813687480143933,1,0.744617997234702,1,-0.000886711944720293,0,-0.243294936842192,0,0.298350187757169,0,-1.15381938201466
"27",1301,1,0.858198637825275,1,0.646127113515192,1,0.867786359716508,1,0.665765972507335,1,-0.000867284090580805,0,-0.192759038689786,0,0.152637650840787,0,-0.73214524434009
"28",1351,1,0.370445778332348,1,0.345370514892922,1,0.88869159213948,1,0.915062378307904,1,-0.000440202144796645,1,-0.0745779131963444,1,0.0826849495598756,0,-0.120624273502395
"29",1401,1,0.812378501909408,1,0.174402427431576,1,0.870025844189621,1,0.695143464634509,1,-0.000698883944863665,0,-0.387787904778386,0,0.178499498277636,0,-0.528528542589788
