"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.374184954372228,-0.594547454351414,-0.136433387109719,-0.372283807335313,0.01842
"PreClim",-0.00778496242440801,-0.242123425767204,0.22149227411137,-0.0026417278505555,0.88518
"InvClim",0.00434238568704464,-0.215870606010867,0.239072746786405,0.00324638633525831,0.91649
"InvTime",-0.0145900378408985,-0.250865490030264,0.225369862826483,-0.0171106554630307,0.71328
"Phylo",0.0311355251114311,2.03710661377566e-12,0.115369905021481,-0.000308481063377798,5e-06
"Spp",0.0521083347835093,8.37978390674306e-14,0.218311896149818,-0.000447131676648024,5e-06
"units",8.67204620248212e-05,2.1188323858273e-05,0.000251287284736801,3.32465995612584e-05,5e-06
"h2phylo",0.469841006117143,2.22631062166213e-10,0.982156389755564,0.00175909781484495,5e-06
"s2",0.517712550768846,2.07159686838788e-12,0.989455777826561,0.00174396146619911,5e-06
"CVphylo",-0.386909899797526,-1.11745720886617,-4.04444548155506e-06,11.3568377530901,0.01842
"CVspp",-0.398487519954525,-1.48498858498838,-8.35908275741232e-07,9.43283122895991,0.01842
"CVresid",-0.0253598262354399,-0.0520194173697564,-0.00868240582095922,-0.105223099522874,0.01842
