"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept)",1,1,0.601203840347619,1,3.67272522902543,0.000218384064410006
"EggMass",1,1,0.754538645570386,1,0.0120163581816364,0.000439051040756798
"nTreatment",1,1,0.19618317045661,1,-0.39578345874021,0.000219842845502102
"Specieschlorocyanus",1,1,0.668546209928821,1,0.0248322063311503,0.00027619400715124
"Speciescristatellus",1,1,0.628592211752265,1,-0.0746092861201726,0.000253373426389259
"Speciescybotes",1,1,0.982629237405962,1,-0.0367924422146898,0.000250289773672164
"Speciesdistichus",1,1,0.931048083957948,1,-0.0356013206950393,0.000279829955067119
"Speciesequestris",1,1,0.655712046608898,1,0.38559926840426,0.0010098092669824
"Speciessagrei",1,1,0.984349456153284,1,-0.196086850228999,0.000252081392264612
"nTreatment:Specieschlorocyanus",1,1,0.309604289316652,1,0.0277830278770689,0.00036775276497897
"nTreatment:Speciescristatellus",1,1,0.720370596615695,1,0.0152985374626061,0.000318551123683229
"nTreatment:Speciescybotes",1,1,0.111461288954009,1,0.035059893781333,0.0003070210382285
"nTreatment:Speciesdistichus",1,1,0.384563337009634,1,0.0289676765851948,0.000397007585136044
"nTreatment:Speciesequestris",1,1,0.31806454512246,1,0.0913888392405413,0.000393371672834659
"nTreatment:Speciessagrei",1,1,0.394374881300071,1,-0.0380610706280921,0.000300845483550195
"(Intercept).Cage.1",1,1,0.894344312178839,1,0.00433512260480523,0.00038119558319891
"(Intercept).Cage.10",1,1,0.461584973148872,1,0.00881338761666005,0.000287386137279394
"(Intercept).Cage.11",1,1,0.517214021201674,1,-0.00592265232769638,0.000305622833668252
"(Intercept).Cage.12",1,1,0.772440001359708,1,0.0104436589851501,0.000249776958461301
"(Intercept).Cage.13",1,1,0.475084875689695,1,-0.0090223264386585,0.000256562937953129
"(Intercept).Cage.14",1,1,0.893028113990205,1,-0.00775094822631513,0.000268199506763071
"(Intercept).Cage.15",1,1,0.35771966867259,1,0.0130635898950161,0.000266721966824354
"(Intercept).Cage.16",1,1,0.623060710135111,1,-0.020553150704141,0.000286050333347207
"(Intercept).Cage.17",1,501,0.0667315528418501,1,0.0162377566385448,0.000281506530961752
"(Intercept).Cage.18",1,1,0.290726778330015,1,-0.00942256149882555,0.000314190759428306
"(Intercept).Cage.19",1,1,0.803997696905587,1,-0.00545780154847811,0.000285819812985003
"(Intercept).Cage.2",1,1,0.759972997585616,1,-0.00507347628091665,0.00028618190646898
"(Intercept).Cage.20",1,1,0.504236445147538,1,0.0189751472099457,0.000266030754388413
"(Intercept).Cage.21",1,1,0.353420408351225,1,-0.00463619659574773,0.000385724937477296
"(Intercept).Cage.22",1,1,0.355048866973267,0,-0.00132228689139075,0.000263975771542519
"(Intercept).Cage.23",1,1,0.462100044397852,0,-0.00106715344429432,0.00027593260977161
"(Intercept).Cage.24",1,1,0.0658861694508948,1,0.0136850667431836,0.000278467577942228
"(Intercept).Cage.25",1,1,0.204368458036252,1,-0.00319991825239319,0.000310531282758903
"(Intercept).Cage.26",1,1,0.72979719641102,1,-0.0229043778848177,0.000305691893821992
"(Intercept).Cage.27",1,1,0.283868797390049,1,0.00288487955981652,0.000261703770571377
"(Intercept).Cage.28",1,1,0.458645641207451,1,0.00627452305820228,0.000270483252506182
"(Intercept).Cage.29",1,1,0.486788611362898,1,0.0147198778678031,0.000297826642157366
"(Intercept).Cage.3",1,1,0.610248505793195,1,0.0130537578690313,0.000291670216728103
"(Intercept).Cage.30",1,1,0.117682846800036,1,-0.00438748384788238,0.00029167645805663
"(Intercept).Cage.31",1,1,0.182676420606818,1,0.006126994451878,0.000346571675401191
"(Intercept).Cage.32",1,1,0.639892564007392,1,-0.0118634756131357,0.00034054755903627
"(Intercept).Cage.33",1,1,0.735157495049177,0,-0.00144780997531525,0.000320025584566207
"(Intercept).Cage.34",1,1,0.631019511502053,1,-0.0029977293819086,0.000286214666803026
"(Intercept).Cage.35",1,1,0.657052443770677,0,0.00127750764203233,0.000310444914601303
"(Intercept).Cage.36",1,1,0.312219520749729,1,0.00637820847622014,0.000381403256058512
"(Intercept).Cage.37",1,1,0.627073791120563,1,0.0045024022125101,0.0002954971496518
"(Intercept).Cage.38",1,1,0.0674764104323166,0,-0.00188114888153163,0.00029270474190305
"(Intercept).Cage.4",1,1,0.2192985928806,1,-0.025361722003871,0.000329443003935119
"(Intercept).Cage.40",1,1,0.224824745480399,0,0.00117474971099798,0.000439831742254976
"(Intercept).Cage.42",1,2001,0.182349057253587,1,0.0125592803413814,0.000403865480616311
"(Intercept).Cage.43",1,1,0.292951278925483,0,-0.00317341322960704,0.000342544425654592
"(Intercept).Cage.44",1,1,0.193101703273611,0,0.000769673656603251,0.000344934100619206
"(Intercept).Cage.45",1,1,0.615458026898363,1,0.00533627819130901,0.000322590865367561
"(Intercept).Cage.46",1,1,0.308305951339715,1,-0.00548612546292493,0.000344823171392437
"(Intercept).Cage.47",1,1,0.0637128423589454,0,0.000312589013571834,0.000373974646633449
"(Intercept).Cage.48",1,1,0.550676844611474,0,0.00274033062534611,0.000377042883824421
"(Intercept).Cage.49",1,1,0.650730617594918,1,-0.017369324280764,0.000341953853718187
"(Intercept).Cage.50",1,1,0.232704642353758,1,0.0125563219565626,0.000311854356303147
"(Intercept).Cage.51",1,1,0.591470182698219,0,0.00267244792757779,0.000349015375033456
"(Intercept).Cage.52",1,1,0.522102894621792,1,-0.0103555857361553,0.000405120630028156
"(Intercept).Cage.57",1,1,0.793678285952614,1,-0.0108448994542396,0.000310202079214723
"(Intercept).Cage.58",1,1,0.380806132122582,0,0.00238120896515213,0.000298815099611107
"(Intercept).Cage.59",1,1,0.880185282995977,1,0.020279889577419,0.000326050408743823
"(Intercept).Cage.6",1,1,0.619163144986503,1,0.0179346170961193,0.000322227109271437
"(Intercept).Cage.60",1,1,0.683471886060205,1,0.0036312364137051,0.000289093769503507
"(Intercept).Cage.61",1,1,0.864069547199132,1,0.0031145102544421,0.000308643016852194
"(Intercept).Cage.62",1,1,0.390388362966181,1,-0.0169343609994737,0.000265675486145796
"(Intercept).Cage.63",1,1,0.632345660211499,1,0.00313174047170179,0.000282545727232808
"(Intercept).Cage.64",1,1,0.0604936332154558,1,0.0219669313981108,0.000333187727379755
"(Intercept).Cage.65",1,1,0.78879297173804,1,-0.00878656522087057,0.000311108994262782
"(Intercept).Cage.66",1,1,0.689894909719163,1,0.00717542727097485,0.000298046276530446
"(Intercept).Cage.67",1,1,0.847502279279153,1,-0.0242831528025949,0.000334412489751079
"(Intercept).Cage.68",1,1,0.649119162952282,0,0.00207495666957827,0.00032608748248576
"(Intercept).Cage.69",1,1,0.163089316606979,0,0.00150206893172667,0.000311923519726108
"(Intercept).Cage.7",1,1,0.126896747889974,0,-0.00234061674215236,0.000296800102613258
"(Intercept).Cage.70",1,1,0.147697467461815,1,0.0109053134194143,0.000341949872543256
"(Intercept).Cage.71",1,1,0.458062174744173,1,-0.0117676898650272,0.00033156543573352
"(Intercept).Cage.72",1,1,0.095389395542183,1,0.00769425943276577,0.000358259501932396
"(Intercept).Cage.73",1,1,0.509903964076261,1,-0.00817478265688924,0.000362294507948225
"(Intercept).Cage.74",1,1,0.991864967352379,1,-0.0112679631302541,0.000357329514134798
"(Intercept).Cage.75",1,1,0.68869453522146,1,0.00569952825564795,0.000364059840462009
"(Intercept).Cage.76",1,1,0.497551244809411,0,0.00254643655220824,0.000392536523535394
"(Intercept).Cage.77",1,1,0.285349687717817,0,0.000868722045536287,0.000331062167417182
"(Intercept).Cage.8",1,1,0.0688097373584632,1,0.00547397101714056,0.000291640329086724
"(Intercept).Cage.9",1,1,0.706975213638057,1,-0.0164217716642151,0.000337222693371583
"nTreatment.Cage.1",1,1,0.462219599964345,0,-0.00195572152840054,0.000216016747105724
"nTreatment.Cage.10",1,1,0.17062338572563,0,-0.00022549226688192,0.000198647782458936
"nTreatment.Cage.11",1,1,0.073436264993086,0,2.48107997342212e-05,0.000192498135565272
"nTreatment.Cage.12",1,1,0.344026316624274,0,0.000382460291915501,0.000189529272420511
"nTreatment.Cage.13",1,1,0.754689020438938,0,-0.000517108951221559,0.000192874409047847
"nTreatment.Cage.14",1,1,0.637330871581562,0,0.00151997251124956,0.000191712381172713
"nTreatment.Cage.15",1,1,0.299013839787743,0,-1.57036672272797e-05,0.000195257064797368
"nTreatment.Cage.16",1,1,0.240075593216438,1,0.00396725932176572,0.000235665839807009
"nTreatment.Cage.17",1,1,0.578459787904089,1,-0.00502001746199784,0.000242430914532752
"nTreatment.Cage.18",1,1,0.945098735423905,0,0.000956144274495605,0.000195181744072775
"nTreatment.Cage.19",1,1,0.27581113903877,0,0.00011294462579363,0.000189357854832358
"nTreatment.Cage.2",1,1,0.144966672399296,0,0.00158932121023764,0.000199504140022953
"nTreatment.Cage.20",1,501,0.0973883146406037,0,-0.00122326247914739,0.00021277509072057
"nTreatment.Cage.21",1,1,0.0999870966528836,0,-0.000704222338380604,0.000207432328164876
"nTreatment.Cage.22",1,1001,0.0618499205964674,0,0.00151854545702743,0.000209832463963471
"nTreatment.Cage.23",1,1,0.225140026078067,0,0.000599588088638825,0.000183559713761058
"nTreatment.Cage.24",1,1,0.0518241081522079,1,-0.00293565714074401,0.000216507107544076
"nTreatment.Cage.25",1,1,0.708919341208904,0,0.0012752991165972,0.000207099803105603
"nTreatment.Cage.26",1,1,0.41344867955328,0,0.000408568009547611,0.000217272638743696
"nTreatment.Cage.27",1,1,0.0753290393974509,1,-0.00270107693368899,0.00020505052100404
"nTreatment.Cage.28",1,1,0.176672633691178,0,0.00131378670798083,0.000191424448056848
"nTreatment.Cage.29",1,1,0.63966044388344,0,0.000779188904369151,0.000201685172020404
"nTreatment.Cage.3",1,1,0.27223217952304,0,-0.000631915004422172,0.000199256190942413
"nTreatment.Cage.30",1,1,0.115086961951354,0,0.000387299818153996,0.000188592889199428
"nTreatment.Cage.31",1,1,0.311073813303821,0,-0.00067305802604778,0.000200910693186273
"nTreatment.Cage.32",1,501,0.076243812017328,0,-0.000964858426069313,0.000215916638942064
"nTreatment.Cage.33",1,1,0.079256243101565,0,5.47194728552082e-06,0.000198938168401603
"nTreatment.Cage.34",1,1,0.432883976163989,0,0.000129709618245197,0.000188634221430037
"nTreatment.Cage.35",1,1,0.730703196991339,0,2.38570386476362e-06,0.00019336534757005
"nTreatment.Cage.36",1,1,0.630990718073319,0,-0.000769207574610136,0.000203875162276487
"nTreatment.Cage.37",1,1,0.474324805114497,0,-0.000487802867117017,0.000186940786661535
"nTreatment.Cage.38",1,1,0.354277883075853,1,0.00233651109698912,0.000203916383883065
"nTreatment.Cage.4",1,1,0.538507713177234,0,0.000223774271668414,0.000224789728945054
"nTreatment.Cage.40",1,1,0.282394115198164,0,-0.000367460783938233,0.00021089136761117
"nTreatment.Cage.42",1,1,0.189603038228546,0,-0.00121963262583369,0.000190932036268124
"nTreatment.Cage.43",1,1,0.956856561657551,0,0.00189343565378484,0.000209200824190234
"nTreatment.Cage.44",1,1,0.739963102502442,0,0.000520700704832593,0.000200665811341151
"nTreatment.Cage.45",1,1,0.481874832576524,0,-0.000144096943402499,0.000200857476720058
"nTreatment.Cage.46",1,1,0.273501181747512,0,0.00121883886924807,0.000209404043784965
"nTreatment.Cage.47",1,1,0.102272449279131,0,0.000534614132915422,0.000204548719973496
"nTreatment.Cage.48",1,1,0.286728158834339,0,0.000576291196067684,0.000205616110574485
"nTreatment.Cage.49",1,1,0.530343220516623,0,-0.000856142056217652,0.00022002224773936
"nTreatment.Cage.50",1,1,0.22802361022513,0,-0.0012158124357296,0.000217816322958454
"nTreatment.Cage.51",1,1,0.204539006701516,0,0.000113195790361392,0.00020823908816801
"nTreatment.Cage.52",1,1,0.600293906212007,0,-0.000721354880489744,0.000217994531522944
"nTreatment.Cage.57",1,1,0.878781988262982,0,-0.00103593566331261,0.000197316730530674
"nTreatment.Cage.58",1,1,0.205006593674299,0,-0.000561232977448617,0.000205873299958898
"nTreatment.Cage.59",1,1,0.199770056333568,0,-0.000298614803431425,0.000215129306036324
"nTreatment.Cage.6",1,1,0.145999617681074,0,-0.0020226201541371,0.000218595811320149
"nTreatment.Cage.60",1,1,0.356573796183963,0,0.000815608780230565,0.000176413852204331
"nTreatment.Cage.61",1,1501,0.0887576466543744,0,-0.000722233901788747,0.000212579310066783
"nTreatment.Cage.62",1,1,0.415638291200405,1,0.00324120284280977,0.000215685014814387
"nTreatment.Cage.63",1,1,0.865195495151355,1,0.00216989230092433,0.00020896067656905
"nTreatment.Cage.64",1,1,0.4281484299936,0,0.00107669135365526,0.00023183965430882
"nTreatment.Cage.65",1,1,0.428625499822738,0,0.00034557029820568,0.000194524990313716
"nTreatment.Cage.66",1,1,0.591502684050356,0,-0.0016566622446592,0.000197814399965794
