"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.433536189390368,-0.48064538365179,-0.393874593937653,-0.433113661702579,0.00122
"PreClim",-0.00216791881788805,-0.0460199105782522,0.0417456997238332,-0.00101696635514847,0.6959
"InvClim",0.00254073809819564,-0.038185161720321,0.041141290741507,0.00082069663155182,0.65375
"InvTime",-0.0014570020057536,-0.0461783929058583,0.036650196154369,-0.00247428683898554,0.76145
"Phylo",0.00410430331345849,9.41053857883452e-16,0.00660640378787619,-5.25561710043352e-06,5e-06
"Spp",0.00298075800622782,3.05357711448683e-15,0.00665047791481403,-5.22951283771485e-06,5e-06
"units",0.000155692217687226,4.79292971335986e-05,0.000320255013251738,0.000108550484047535,5e-06
"h2phylo",0.269806413044542,3.73439709423755e-12,0.840433006362219,0.00155020931100491,5e-06
"s2",0.266692822822163,1.63157345058526e-11,0.839465065935548,0.00159846763376426,5e-06
"CVphylo",-0.137290563056071,-0.185882029610323,-7.17955536907406e-08,4.18972615887833,0.00122
"CVspp",-0.0636937063330433,-0.187352484080455,-1.25862750189362e-07,0.987420110042649,0.00122
"CVresid",-0.0302244221205607,-0.0423044632178912,-0.0169595278404602,-0.0923311599407555,0.00122
