"","V1"
"1",0.15823950911542
"2",0.183963114193875
"3",0.214041768135311
"4",0.154932666549589
"5",0.151859836026654
"6",0.176122812761258
"7",0.14974634275626
"8",0.215218378440939
"9",0.153556605653213
"10",0.355282955649964
"11",0.272847491224271
"12",0.166537672312335
"13",0.251313523226521
"14",0.145073192443958
"15",0.215025223609422
"16",0.177858508301126
"17",0.111146913614306
"18",0.33574465072452
"19",0.197056945223037
"20",0.182097989405427
"21",0.38825009634223
"22",0.222569972509211
"23",0.239803263480506
"24",0.44204613693257
"25",0.276428476116521
"26",0.357780020735918
"27",0.250029975612987
"28",0.115808738702247
"29",0.381610055660431
"30",0.118459843609877
"31",0.126276732802826
"32",0.173047428973891
"33",0.267350845268165
"34",0.326782860556638
"35",0.259118151534755
"36",0.15095007835548
"37",0.249939235684362
"38",0.358708930263216
"39",0.257819223880224
"40",0.219439025493949
"41",0.198293472613094
"42",0.3007590279779
"43",0.164423155267945
"44",0.15543398810058
"45",0.527529153199806
"46",0.209785416878448
"47",0.258421986974065
"48",0.207282081176224
"49",0.219786396190282
"50",0.174129992271012
"51",0.190620737722727
"52",0.186331633541819
"53",0.182741282811219
"54",0.201290868201764
"55",0.156169421720389
"56",0.0979042302666665
"57",0.173377854540825
"58",0.218254165112109
"59",0.517106891861346
"60",0.212374313404158
"61",0.196788817692723
"62",0.315241706827189
"63",0.161874294078624
"64",0.173639209604759
"65",0.399656794212203
"66",0.30346057465413
"67",0.300038120695258
"68",0.140342467827092
"69",0.160458395836581
"70",0.150888014042381
"71",0.376542611132343
"72",0.208437910378352
"73",0.134553528614959
"74",0.15924250896023
"75",0.174233218731277
"76",0.346048651004853
"77",0.166954107456434
"78",0.185917304599957
"79",0.153054528214461
"80",0.17311934716675
"81",0.302375405650559
"82",0.222440459581292
"83",0.146272753743874
"84",0.38105131761649
"85",0.316416138766519
"86",0.196386566571646
"87",0.124813524920393
"88",0.391898490687556
"89",0.389039910596408
"90",0.311812314248424
"91",0.163040301843234
"92",0.168978835240055
"93",0.21614847922949
"94",0.162949479419519
"95",0.361998179492698
"96",0.161340214948408
"97",0.156678842525458
"98",0.186034743051384
"99",0.179476036258874
"100",0.338749459062969
