"","Iteration","Intercept","scPreClim","scInvClim","InvTime"
"1",1,0.0330980797783473,0.00794215432281569,-0.0295429473734399,0.0336196707718404
"2",51,0.0413648567425245,-0.0419833309221545,-0.0398828119860778,-0.00141849867242187
"3",101,0.0899416090883538,-0.0739441089012889,-0.075121021735101,-0.00843051541295999
"4",151,0.0439942628173869,-0.0704289689338823,-0.0694559159343853,0.00198182512118769
"5",201,0.0431383168548955,-0.0346605205840143,-0.040892119664558,0.00430674340073932
"6",251,0.0135200205414365,-0.0226229602239059,-0.0086749624475356,-0.000290914877456944
"7",301,0.0105069579701563,-0.0627755001913696,-0.0199273886891209,-0.0117769111456631
"8",351,0.0444276826234093,-0.0562911955245465,-0.0899599427868592,-0.0282927717741756
"9",401,0.019175211761096,0.000640051625753954,-0.0166657004976705,0.0120450961485566
"10",451,0.0196277686575997,-0.0794749432824946,-0.0640816757047686,0.00496160254212213
"11",501,0.0701789538610609,-0.0403686866873574,-0.0618733682939298,0.0183914521957226
"12",551,0.0833178521784737,-0.026417350378517,-0.0491138300375204,0.0146622885105418
"13",601,0.0374806800179641,-0.00605698671400228,-0.0404967722943461,0.0324222705621459
"14",651,0.0108791347499902,-0.0131910760124732,-0.0147679907913517,0.00888693580591652
"15",701,0.0425564009115139,-0.0171451159692659,-0.0623117256138239,0.0335187062497375
"16",751,0.0328337560405443,-0.0150619564671106,-0.0312783842571354,0.0486770551774393
"17",801,0.0576214480151535,-0.0354845625284658,-0.0745506139938344,0.00527210353450613
"18",851,0.0608679043843211,-0.0633431696458375,-0.0612634610152862,-0.00452333116713071
"19",901,0.00843025134623337,-0.0125660737227138,-0.0221684786646733,-0.00132594607157859
"20",951,0.0322341675134398,-0.000796877887541402,-0.0390055428178495,0.0310779798658464
"21",1001,0.0208870111932963,-0.0339297154920108,-0.0412905237315188,0.0225961880531419
"22",1051,0.0156234220617448,-0.0215006324804005,-0.01921897737255,-0.00325631652254865
"23",1101,-0.0125874512142158,-0.0174390431720386,-0.0280761905113166,-0.0011636973514866
"24",1151,0.00987096527004455,-0.0228098216985119,-0.0206515827122199,-0.00601127781123687
"25",1201,0.0300135605701577,-0.0402106310229893,-0.0492656935027594,-0.00276277499684214
"26",1251,0.0382717499184293,0.0100851186082873,-0.0374580657077696,0.0322256800985388
"27",1301,0.0515448329349107,-0.00930797185392764,-0.0376032769035273,0.028524323851207
"28",1351,0.0313482657737092,-4.44046160595727e-05,-0.0371319836225039,0.0275660248889733
"29",1401,0.0732019537953256,-0.0432508348921554,-0.0651916022275719,0.0235466751008355
"30",1451,0.0447078020260242,-0.0510742261968452,-0.0453438327289538,0.00493031925526403
"31",1501,0.0305439970153691,-0.00354445395982131,-0.0207225946574689,0.0131095908770709
"32",1551,0.0404323464421213,-0.0521267074621196,-0.0483666454013828,0.00527454333976568
"33",1601,0.0606741131598803,-0.00358819093865529,-0.0487495783204796,0.0449851590607674
"34",1651,0.0811810113802237,-0.0564993998205331,-0.0699206686999331,0.0160658444053358
"35",1701,0.0464301629333984,-0.00033611556702905,-0.0436838363334047,0.0381504852640489
"36",1751,0.0745793408058961,-0.0494822623305487,-0.0631985587309271,0.0132776864247769
"37",1801,0.0780429215072999,-0.0491972186463954,-0.0634316175085567,0.0133990736941065
"38",1851,0.00260528465054353,-0.0292449280373168,-0.0244077847231041,-0.0097877417381598
"39",1901,0.0692506688238791,0.00736940130947555,-0.0544396156400563,0.0727415855949696
"40",1951,0.00816938361632337,-0.0311762762971125,-0.0413793890962585,0.018312004379906
"41",2001,0.0420752127069629,-0.0494027496468194,-0.036566052683144,0.0327223175943688
"42",2051,0.025431628829921,-0.0367244573579262,-0.0364095379730289,0.00599410187948756
"43",2101,0.0383225149705432,-0.00903041143205058,-0.0352225568668092,0.0273262770400285
"44",2151,0.0592391561553355,-0.0399227399941184,-0.0615067049144297,0.00666103185738003
"45",2201,0.0402846869690878,-0.0430606099703563,-0.0407305570084609,-0.00266994199413098
"46",2251,0.00430009788114549,-0.0380791648206074,-0.0264519819244585,0.0242451026802951
"47",2301,0.0377314317652526,-0.0546424642329791,-0.0481725822210966,0.000362879372568537
"48",2351,0.0492024358284658,-0.0133805828228375,-0.0463425780327373,0.0452320645913732
"49",2401,0.0540565435691983,-0.000796006934401191,-0.037039355674634,0.0374328361913737
"50",2451,0.017800778726863,-0.0260820692628526,-0.0195276417514396,0.00223774722632206
"51",2501,0.0352587106389138,0.00645988989230971,-0.0328851850791585,0.0266428901684867
"52",2551,0.0178706056728162,-0.0155243646780562,-0.0184385552730299,-0.0164199220964436
"53",2601,0.0197543414513632,-0.0263602637494111,-0.0503141514769156,0.0228118935606992
"54",2651,0.0307525703800664,-0.00872677259876002,-0.0086440987502568,-0.00231597607158155
"55",2701,0.0591842683718356,-0.0477636731718584,-0.0721607514539082,0.00494927849383613
"56",2751,-0.0019138132931023,-0.0638036366348195,-0.0437442926390608,0.0133534639512272
"57",2801,0.00705084190365524,-0.0169919723488239,-0.0189951606635098,-0.00152583563932578
"58",2851,0.043214673633533,-0.0502229799733198,-0.0490187139625024,0.00241869703683297
"59",2901,0.0511463567891254,-0.00879783194836117,-0.049635266157411,0.0505216946648437
"60",2951,0.0173408851508462,-0.0190864922519748,-0.018967173815274,-0.00469545994487461
"61",3001,0.0144234504039594,-0.0352193701909348,-0.0075051456083816,0.0057238911038931
"62",3051,0.0160791349434346,-0.0156793919156202,-0.0172178454364744,0.00200325415920384
"63",3101,0.0422735447220769,-0.0422637186499289,-0.0769418510750951,-0.00699689830348463
"64",3151,0.0296423896222058,-0.0247871603835212,-0.0474267641880688,0.0262482078447936
"65",3201,0.00709027034436383,-0.0113835028730242,-0.0195056356198603,-0.00258886720105343
"66",3251,0.0416030040105103,0.0036373357862334,-0.0406200100489448,0.0363063291787562
"67",3301,0.0651608667667982,-0.0348386620525915,-0.060310701662899,0.0287473918635597
"68",3351,0.0147043670977399,-0.0134779556334609,-0.0228328542337561,-0.0146469652684702
"69",3401,0.0842871218435475,-0.0200243595882122,-0.0476567059324878,0.0235071062604184
"70",3451,0.0291028690637212,-0.0303420467347819,-0.0188185964154955,-0.00693938893407712
"71",3501,0.0676533222549843,-0.0392886935653251,-0.0684891744258051,0.0178442802575951
"72",3551,0.0439371124227337,-0.0426937935293934,-0.0391585011311603,0.00251071340770558
"73",3601,0.0432804758409664,-0.0477373811665859,-0.0488917930415168,-0.00142791976541902
"74",3651,0.0229714618010533,-0.0313880875348878,-0.0499038072039562,0.0117665229787949
"75",3701,0.067193898281429,-0.0402454136074419,-0.0889817825721647,-0.0197959674686537
"76",3751,0.0648805613982302,-0.0358794469271366,-0.0672587048274882,0.0199899274370885
"77",3801,0.00978297191058632,-0.0724331228841816,-0.0375612165334615,0.010822085924925
