"","V1"
"1",0.158633240073545
"2",0.182771336665721
"3",0.215422047940595
"4",0.154735511761822
"5",0.151093621244704
"6",0.182273525824223
"7",0.149649369791869
"8",0.21341872563529
"9",0.153666993010951
"10",0.355530069328975
"11",0.269197444104281
"12",0.168292897142401
"13",0.257189239185194
"14",0.144829716602223
"15",0.215309080039917
"16",0.178807490511056
"17",0.104280046168362
"18",0.335017359404333
"19",0.196895865745612
"20",0.18225024116198
"21",0.417824234725807
"22",0.224311010401907
"23",0.240606026278245
"24",0.462732149005562
"25",0.281010591154883
"26",0.357995347464027
"27",0.252034081439114
"28",0.116507527621794
"29",0.392680705712829
"30",0.115332813633396
"31",0.124690862090163
"32",0.173565569738391
"33",0.270380817866185
"34",0.326829472861972
"35",0.258436903118096
"36",0.150895456703048
"37",0.251082086945692
"38",0.360368844452967
"39",0.258290745118563
"40",0.220458128205
"41",0.199477437516159
"42",0.297450170690834
"43",0.164547224725542
"44",0.155108172373785
"45",0.527998233044537
"46",0.209836113755922
"47",0.25543653424465
"48",0.207270142407978
"49",0.219721985801623
"50",0.173722053218469
"51",0.191837591209123
"52",0.186407610660805
"53",0.183256905995457
"54",0.201273702192786
"55",0.155870571454714
"56",0.0959086319821788
"57",0.173653575801041
"58",0.219805575879533
"59",0.517845141307358
"60",0.211993179955749
"61",0.197752664020088
"62",0.319626612841078
"63",0.161949052441841
"64",0.17537612509468
"65",0.40540851465722
"66",0.303580295828673
"67",0.306554859974732
"68",0.140365692250658
"69",0.160347565608446
"70",0.151125146976241
"71",0.376272949147072
"72",0.209762792366713
"73",0.134112611134405
"74",0.159236304557146
"75",0.174358006945998
"76",0.346871442758283
"77",0.16145169832025
"78",0.184708861652272
"79",0.15309347982026
"80",0.164232987333935
"81",0.304462954023658
"82",0.221850631157418
"83",0.146083110316527
"84",0.381392387355307
"85",0.316701134826196
"86",0.19655630233333
"87",0.124074438244793
"88",0.391535244858091
"89",0.388744140641677
"90",0.312088019951682
"91",0.1633794422649
"92",0.169326440787788
"93",0.217586658903133
"94",0.163259339256598
"95",0.361615575806262
"96",0.161329278446045
"97",0.156661075622672
"98",0.185643799132788
"99",0.180122494250945
"100",0.343483986256935
