"","Iteration","lowerInt","upperInt","lPreClim","uPreClim","lInvClim","uInvClim","lInvTime","uInvTime","lAbSpec","uAbSpec","lUnits","uUnits"
"1",1,-0.280753538725548,-0.224344360060059,-0.0548657282488421,0.00979772140271962,-0.0315145824679348,0.0381783064185583,-0.0276868315413594,0.0374102071218658,3.37404285809924e-10,0.0063501037976348,0.00220657730833547,0.00438599719886732
"2",51,-0.215621993136665,-0.186628588293388,-0.0215215073594663,0.0102305668260669,-0.0183060130511876,0.0169770648062695,-0.0235329029601417,0.0109409282449633,1.46880320101206e-11,0.0014402026180652,0.000842745202460956,0.00164526591312716
"3",101,-0.144378899916774,-0.0579664099714137,-0.0324210875260178,0.0631331110926112,-0.0423859316506423,0.0547003601459437,-0.0622115450532874,0.0394327772482939,2.8997661746961e-13,0.012956897991258,0.00657216774447347,0.0128294501538772
"4",151,0.0272000907571055,0.0866570359794423,-0.0424132433399791,0.0213690326781943,-0.0342895587721159,0.0303956428251695,-0.0301007825619308,0.0364430991467088,2.47889761790145e-10,0.00621319833925507,0.0023191691649909,0.00458739727510915
"5",201,-0.236950055630587,-0.0786877200062008,-0.0808719614869915,0.0910987671072689,-0.0603077482592198,0.114284307070193,-0.0941213242895174,0.0857619741291273,1.13402619093723e-10,0.0423612798513689,0.0112221176773234,0.0226201874832412
"6",251,-0.21842225259752,-0.163847555653774,-0.0370579432637896,0.0203084344684612,-0.0186511129431892,0.0411108341650106,-0.0379208624508465,0.0209932785437559,5.46957900869683e-11,0.00485358111449595,0.00213693884760691,0.00417874358005169
"7",301,-0.227038040326079,-0.104246305534616,-0.0637280044757063,0.066301812272286,-0.0465603152115364,0.0888472604565322,-0.0812214405377745,0.0588431320356904,2.80590412296521e-09,0.0269199740505388,0.00400121473145994,0.00786225846415952
"8",351,-0.190397795449826,-0.107138786639553,-0.0537912070722086,0.0375782956107287,-0.0495785322054871,0.0513161117114578,-0.0654516806243919,0.0277374035504181,2.03919181371126e-09,0.0126333880198532,0.00532309770628855,0.0105135555730978
"9",401,-0.356988595231087,-0.233304832931026,-0.0719716422900092,0.0589741595904343,-0.0547941773256753,0.0860175856360001,-0.0890546852715488,0.048446653469,3.53463666654838e-09,0.0285082436430756,0.00411263250973884,0.00823212192666938
"10",451,-0.108911816627369,-0.0216780348109751,-0.0186958435606357,0.0756409282039385,-0.05761027681001,0.0411133175757641,-0.0410032788204262,0.0548118877923116,3.21632887480604e-10,0.0135735407122113,0.00481609115145073,0.0095701344605211
"11",501,-0.262631459168006,-0.183991838319344,-0.0468255273153773,0.0391108482144773,-0.0353894860309083,0.0621216832805658,-0.0350551653682487,0.0577314725378528,5.79254197802778e-11,0.0109478523980831,0.00575328890722648,0.011312295794571
