"","Iteration","Pass.Stat.Int","Pvalue.Int","Pass.Preclim","Pvalue.Preclim","Pass.InvClim","Pvalue.InvClim","Pass.InvTime","Pvalue.InvTime","Pass.Halfwidth.Int","Ratio.Int.","Pass.Halfwidth.Preclim","Ratio.Preclim","Pass.Halfwidth.InvClim","Ratio.InvClim","Pass.Halfwidth.InvTime","Ratio.InvTime"
"1",1,1,0.519115392044728,1,0.119794755179793,1,0.467384534061061,1,0.892712186265192,1,-0.0156816587707219,0,-0.122271397631259,0,0.32716614431119,0,0.935973659453106
"2",51,1,0.469707491841612,1,0.9065953067231,1,0.451234039738497,1,0.88405493135977,1,-0.00832754975075495,0,-0.358325672956663,0,-0.556125588363933,0,-0.349130391630497
"3",101,1,0.846309456755755,1,0.99939883957544,1,0.434741788309605,1,0.271545955272142,1,-0.0589541953935195,0,0.33551831411423,0,0.532139605031775,0,-0.438068219739536
"4",151,1,0.607540253852093,1,0.383673588303361,1,0.127863422499573,1,0.954196484804077,1,0.0934492419945468,0,-0.484247339060907,0,-0.705978784989563,0,1.5576063903713
"5",201,1,0.960888406747507,1,0.397913768734064,1,0.921544537122662,1,0.966385846849154,1,-0.0744692408705107,0,-1.66129595655217,0,0.23293541266409,0,-1.81644500887303
"6",251,1,0.986106804600143,1,0.931231842452476,1,0.694147290427676,1,0.726842122030348,1,-0.017410713974617,0,-0.297992894249209,0,0.208116887790126,0,-0.366342370472973
"7",301,1,0.761922725144228,1,0.0980492593363833,1,0.11160799853197,1,0.713245702708521,1,-0.0403114232887287,0,-6.37855054597658,0,0.381111232638671,0,-0.475170157078645
"8",351,1,0.771039510907281,1,0.972078081924873,1,0.097959189762012,1,0.321038434762339,1,-0.0316477806613528,0,-0.895966287838155,0,1.24572690298887,0,-0.287415353948108
"9",401,1,0.111854119140502,1,0.277939895623572,1,0.75811446477743,1,0.690280996996204,1,-0.0221373900105425,0,-6.83273218653862,0,1.88149561182482,0,-0.411258423495764
"10",451,1,0.492673953144146,1,0.211482662902482,1,0.584191536742214,1,0.952522518707826,0,-0.165914511666548,0,0.269503005469619,0,-0.350726166460164,0,0.773585167081589
"11",501,1,0.968725985462593,1,0.583000441245767,1,0.241902559329033,1,0.646078730557024,1,-0.0227111985395737,0,-0.634660147896951,0,0.276771359628964,0,0.434603087430972
"12",551,1,0.80063157318992,1,0.610757080201897,1,0.182332474676668,1,0.632678010203758,1,-0.0387631068347278,0,-0.184249885497235,0,0.248900637669126,0,0.221172404268262
"13",601,1,0.962274043376964,1,0.932635445810396,1,0.967863135772437,1,0.795602119145912,1,-0.00605647069134787,0,-0.942254858578579,0,0.226177023700211,0,-0.462543607767238
"14",651,1,0.737754052118664,1,0.90228421252834,1,0.750832711368763,1,0.688848138962937,1,-0.0126817826186641,0,-0.487509469670761,0,0.29333435355672,0,-0.700753425087691
"15",701,1,0.771002829223331,1,0.863011486191236,1,0.379601467631066,1,0.131786402789491,1,-0.0130535853028966,0,0.425721635351219,0,-1.96863344019929,0,-0.580925695484494
"16",751,1,0.614638310791701,1,0.199742292838936,1,0.972030431398176,1,0.743020033574908,0,-0.121378796961007,0,-0.261335430878756,0,0.237736282459398,0,-1.27436149921211
"17",801,1,0.519031662940881,1,0.16271096550422,1,0.99699432921237,1,0.878116496770813,1,-0.07698745725235,0,-1.14153153937842,0,-1.13464996385601,0,-1.8689863490016
"18",851,1,0.379791432067823,1,0.987808565974326,1,0.125076528533521,1,0.196139838545312,1,-0.077964208441832,0,-0.854928414596005,0,-0.764112651953499,0,0.594740072925589
"19",901,1,0.932784277596873,1,0.85628166839933,1,0.448434761383831,1,0.961132963346469,1,-0.0455011539412737,0,-0.233726150458228,0,0.208933819943416,0,-2.01318706346175
"20",951,1,0.880907382660156,1,0.597314118608847,1,0.967166473170017,1,0.96771176571542,1,-0.0722901611697199,0,-1.39736675941954,0,-0.927522228248363,0,0.861718927911744
"21",1001,1,0.771990294933494,1,0.720206379771598,1,0.240708242843874,1,0.949305231123636,1,-0.00937546108177063,0,0.989516175724182,0,-0.259666613387179,0,0.515544217333121
"22",1051,1,0.228190375964815,1,0.989723817160116,1,0.579697999932364,1,0.819481862443261,1,-0.0183340442923921,0,-1.49156485577206,0,0.597280477823753,0,6.42191835984152
"23",1101,1,0.506484413624338,1,0.195930707387973,1,0.996081783936638,1,0.946416177799499,1,-0.0389780801401242,0,-0.668330497299112,0,0.389494687048429,0,0.421839722158125
"24",1151,1,0.860582792479708,1,0.777415197177553,1,0.682376088729987,1,0.998177858610933,1,-0.0200340471607184,0,-0.406953406798026,0,0.28375867326616,0,-0.638775202447968
"25",1201,1,0.837565837468572,1,0.85641727643739,1,0.685234454309232,1,0.795736538122224,1,-0.048384522161185,0,-0.200499076053877,0,0.12549902435797,0,0.271808761621165
"26",1251,1,0.782987100481895,1,0.654379812338361,1,0.231059309391675,1,0.90607245268442,1,-0.00677639636363568,0,-0.894495719923305,0,0.538580327281831,0,6.71513236594008
"27",1301,1,0.777817864616377,1,0.872820477555254,1,0.0999013791470751,1,0.674794611836864,1,-0.0248120026086465,0,11.2673824658362,0,0.437347332548429,0,-1.46642191236297
"28",1351,1,0.780744062150428,1,0.173617212967719,1,0.138090619264631,1,0.99232901890849,1,-0.0214419053364275,0,0.89847231535893,0,10.3487920369068,0,-1.16770822743811
"29",1401,1,0.294869132710825,1,0.170871393270157,1,0.411838170026899,1,0.953305215691633,1,-0.0204908850761561,0,-4.64168565632762,0,0.560246523484234,0,-0.612860758911111
"30",1451,1,0.783087604336096,1,0.463514751194484,1,0.38635489969439,1,0.284458505049483,1,-0.00839656710178072,0,1.94932322256936,0,-6.35903094560808,0,0.469875504018102
"31",1501,1,0.734882136476801,1,0.138481055739404,1,0.873424246229034,1,0.895712156832781,1,-0.00327587124276936,0,2.00993330139819,0,-0.836587238476306,0,-0.338187881095396
"32",1551,1,0.16375900385425,1,0.993596655664562,1,0.818842288060714,1,0.667744219650352,1,-0.026683851801687,0,-0.178248151495077,0,0.168651846237521,0,5.96058377212934
"33",1601,1,0.75921838133681,1,0.635337527427022,1,0.442563006505668,1,0.843218174857171,0,0.173101659182795,0,0.69126005943501,0,-0.499422883208363,0,1.02117725845402
"34",1651,1,0.936309613576982,1,0.264032514362426,1,0.106030095360973,1,0.435985307388935,1,-0.0117030535782544,0,-0.509474106970987,0,0.392628669566776,0,-0.523524493428836
"35",1701,1,0.710195833207409,1,0.636669726588164,1,0.616670354274195,1,0.481175576252174,1,-0.0160452356063773,0,-2.92697559839,0,-8.01757430214672,0,0.336320639145048
