"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,0.0133284885268007,7.64625461243291e-11,0.0537838813722329,515.854258442378
"2",51,0.00235773996527061,1.36857037907161e-09,0.00948586718677449,977.629986068969
"3",101,0.0255774048888257,7.02399312517101e-10,0.12706712699923,1187.78782982698
"4",151,0.0198933978277494,2.15104615445207e-10,0.0534413596593614,491.948329612256
"5",201,0.0861559879933726,2.75457439123886e-09,0.342819271051647,564.083648911377
"6",251,0.0119391393027163,3.65580402054685e-10,0.04500231948765,505.913812631345
"7",301,0.067972798986378,4.43680560851815e-09,0.21276945701701,222.058118175142
"8",351,0.0243079042893536,1.70278521064662e-09,0.0997676492231598,648.685846726359
"9",401,0.0882542720266671,1.94736513476267e-09,0.204077079465559,335.663261648254
"10",451,0.0499532066948913,5.20386259979272e-10,0.120545990828743,454.679399375207
"11",501,0.0192828860419779,3.60776195012096e-11,0.0775773018899088,600.892542690803
"12",551,0.0498717550516072,1.98546807046275e-08,0.216181717311366,1141.22979150793
"13",601,0.00319296708350028,1.19603429945235e-11,0.0103885697626394,784.333450358936
"14",651,0.00674296127553989,6.76220803763814e-12,0.0272206123393364,631.130340587147
"15",701,0.022152303768379,3.892461386296e-11,0.0741784888654558,343.686528095274
"16",751,0.0320575159482921,1.60671623029137e-09,0.114558415766387,572.84402997649
"17",801,0.040209393615425,2.23009857672025e-09,0.182893103420172,1053.51645781812
"18",851,0.0150306348444102,3.68203654601565e-09,0.0705074028516249,1258.39232578424
"19",901,0.00551280851587563,6.50324878531426e-12,0.0168894260907904,457.470852737381
"20",951,0.0251119857868228,1.14162564955145e-11,0.0947396422921335,513.881762629065
"21",1001,0.00142121097843832,6.7589327905817e-12,0.00260037048472826,381.867316342297
"22",1051,0.0268884408751416,4.77946027265853e-12,0.123046020768204,1450.18968243182
"23",1101,0.0215503431929338,4.6080798433034e-11,0.0826915723894951,631.873742773819
"24",1151,0.0345510138226462,9.78771149700805e-10,0.106344623600792,451.505936191735
"25",1201,0.0471032723297532,1.52748046653963e-09,0.186141517958124,681.418772959776
"26",1251,0.00205613990525701,1.22926133428946e-10,0.00555100348558282,455.678450250848
"27",1301,0.0505469302168193,1.20950884082189e-10,0.252376372262832,1244.25299208001
"28",1351,0.0310339432165964,2.60129045248591e-09,0.118095917296568,492.004627781509
"29",1401,0.0626290999743271,2.05595718188714e-08,0.224515333110118,263.663255783406
"30",1451,0.00689172017233091,4.25422045830461e-10,0.0303033013547091,1233.69074277777
"31",1501,0.000316879782304535,5.16498650578563e-11,0.00127457176681509,845.614545165803
"32",1551,0.0375402152025104,6.93895735290384e-09,0.143012641128933,383.78090543422
"33",1601,0.0658917342788492,1.35613395061469e-11,0.110695235888627,174.87508986802
"34",1651,0.0192005279393267,1.90412245505945e-09,0.0643751649847276,870.361732631547
"35",1701,0.00866995244517027,5.04666932996271e-10,0.0261441388975847,346.624900792299
"36",1751,0.0560667804706155,4.63081342011621e-10,0.150781393914297,231.291468256447
"37",1801,0.00979738717937588,6.00044564053349e-10,0.0433910162146719,1514.55991400009
"38",1851,0.0319741842688914,4.28487936104876e-09,0.0864068552230067,456.298539312413
"39",1901,0.108008318781174,2.05201526431307e-08,0.408372157346711,1800
"40",1951,0.0366119300738178,1.40403754973332e-09,0.124553744236538,806.190554649909
"41",2001,0.0221205764294149,1.77880316143501e-10,0.054212760434119,406.340635863373
"42",2051,0.0297884298771463,1.71761564852828e-09,0.106579201824063,386.18718257161
"43",2101,0.102521127188265,1.35897735482153e-08,0.439123169261183,1159.35493510581
"44",2151,0.0585501526978924,1.04239124536043e-09,0.251972902308825,1050.50470242963
"45",2201,0.0558616798868457,3.6911641322945e-10,0.112338606020848,428.55444199329
"46",2251,0.0166396613098962,1.77599284813325e-09,0.0719304543720582,492.752260583776
"47",2301,0.0455092542768752,1.58614403875476e-09,0.212480098702799,1637.29508112613
"48",2351,0.0131917612558431,5.28705908470478e-09,0.0563871443146204,567.275406409208
"49",2401,0.0732240151356177,1.44673259911432e-10,0.280019464798538,1218.98036297809
"50",2451,0.0183872223523243,2.47198870700702e-09,0.0484192839497929,379.234470758862
"51",2501,0.0181262195401428,1.34792407899864e-11,0.0697110072155598,813.381605040951
"52",2551,0.00542905479600826,2.6334819480508e-09,0.0223770921135818,464.146988996283
"53",2601,0.072342526608261,7.82918109201615e-09,0.288759328938228,951.676535098577
"54",2651,0.0445058522356881,1.67893003382279e-10,0.208759155475964,1240.34193021903
"55",2701,0.0160149321854225,1.14358170391948e-10,0.0818243495212689,813.000690554605
"56",2751,0.00841955470187721,3.24000383585315e-11,0.0161776867033643,124.573504186104
"57",2801,0.00129311057354518,3.72314255039027e-12,0.00232264871693278,421.323581588657
"58",2851,0.0172211994095864,5.18811641215362e-09,0.0369753274875456,462.046387401396
"59",2901,0.0102726302692,3.53420430716859e-12,0.0457546923994838,660.224028931573
"60",2951,0.0174567864200466,3.04789336482788e-10,0.0758948911328585,968.967587750073
"61",3001,0.0058384523416034,2.63432456027899e-10,0.0153142552175064,569.862202862719
"62",3051,0.0229715300838811,3.68100222903961e-12,0.0815993684522141,545.041020434487
"63",3101,0.0235038717317734,4.94044461704365e-10,0.104997608832039,1675.2698475665
"64",3151,0.0766326058085517,5.26038803328621e-09,0.314721382309065,521.925170899853
"65",3201,0.000848189341242927,1.2378953060706e-09,0.00320897766123652,486.76978224618
"66",3251,0.011521855071589,7.38086312031513e-09,0.0346607469116342,444.328969064147
"67",3301,0.0276076734732942,5.97067041892294e-11,0.118304908695244,917.311186030856
"68",3351,0.0394600151378964,1.62251267508928e-09,0.163830083769088,203.361309940635
"69",3401,0.00271824325116509,4.79847487482068e-11,0.0132954162515876,524.416922209168
