"","Iteration","lowerInt","upperInt","lPreClim","uPreClim","lInvClim","uInvClim","lInvTime","uInvTime","lAbSpec","uAbSpec","lUnits","uUnits"
"1",1,-0.10724667411705,-0.0505540520389332,-0.036124490579823,0.0246890883499873,-0.024758950661635,0.0353889579419047,-0.033236908755498,0.0268590295745526,2.06761723600917e-11,0.0046980608434463,0.0024770126617402,0.00497715304496377
"2",51,-0.219491211872082,-0.120077875428251,-0.0725042860431131,0.0404931108496385,-0.0423389006027719,0.0603564387420192,-0.071345593285514,0.0430382990089129,2.03702663102874e-11,0.0190576185205819,0.00159997034434868,0.00329726923449605
"3",101,-0.235355827033345,0.0410729557625018,-0.13627345218265,0.148365741086309,-0.161190734695992,0.136909999131603,-0.17428432466113,0.110302076573134,2.72376501210751e-07,0.117562146036457,0.0119014808065711,0.0243993324908565
"4",151,-0.211653100981493,-0.134354429232189,-0.0565502946265042,0.0257815768927685,-0.0313062220666325,0.0473490070726257,-0.0509756446263054,0.0307189338054741,6.33478333078339e-10,0.00923433052932491,0.00342214573904503,0.00698877833431006
"5",201,-0.208665788828512,-0.0633286953234347,-0.10389835065871,0.0527327078298185,-0.0640761363902129,0.0923625405339408,-0.0996304763175431,0.0543621882243315,1.23804853025939e-09,0.0392984613632465,0.00415883550916971,0.00850070537281312
"6",251,-0.210459783847909,-0.147783560300013,-0.0436913813973661,0.023926073590701,-0.0258343612076715,0.0406219303549733,-0.0472376922261901,0.0239774162309914,5.39002454396363e-12,0.00726202690789573,0.000741191883835772,0.00150724992262813
"7",301,0.0470323691915837,0.0979906180873513,-0.0279898640292231,0.0252542060625274,-0.0171096441627014,0.0295716908876784,-0.0328829958707502,0.0177309493956272,3.1434884362758e-11,0.00406805279516044,0.00077918845578208,0.00161273419941114
"8",351,-0.307068459282164,-0.165285411698278,-0.100865565205822,0.0540107392262144,-0.0271109245186381,0.114673924641465,-0.08714513326413,0.0605990569747519,1.49303450246838e-11,0.0338118116948172,0.00708709339623065,0.0146146413053212
"9",401,-0.105456893972587,0.024013011752686,-0.0640477872511838,0.0735365446307696,-0.0548709065187722,0.0875480979193526,-0.0912812943715835,0.0526637002112693,1.66644697135874e-09,0.0282416354805567,0.00245823988253136,0.00507475076142899
"10",451,-0.0986409233883023,-0.0137889344259747,-0.0517475967717473,0.0354534799262183,-0.0156458253914025,0.0704574214032618,-0.070415529422462,0.0185064168545068,8.02926549451836e-10,0.0106057831365903,0.00365909553480147,0.00740339735705368
"11",501,-0.137238949660969,-0.0564031196699943,-0.0578727362626523,0.0307907531459932,-0.0267038573001628,0.0525395962758921,-0.0361906917605666,0.0454506425448926,1.11896503528449e-09,0.0101196206344638,0.00356319450897748,0.00720432257440212
"12",551,-0.220793678054179,-0.0593537483428008,-0.113136330517591,0.0590292660926934,-0.0631329579628073,0.107607056881534,-0.0897064367891289,0.0751793380477466,2.99782355037107e-09,0.0452347620433112,0.00860478762493011,0.0177660777828911
"13",601,-0.223168145857926,0.0650392313254997,-0.160686699731741,0.148250097423443,-0.135500160220545,0.164090375907108,-0.170908365769719,0.134507677721558,3.45535536003576e-07,0.143458953727675,0.00448256625593445,0.00938461870754424
"14",651,-0.34983435844515,-0.141249399013759,-0.10865794311394,0.109255925730395,-0.0659517415770097,0.151016319679911,-0.139347444674058,0.0819534181791823,1.42923070734847e-08,0.0720198486902172,0.00881259324906887,0.0182441268030993
"15",701,-0.0747683652152773,-0.00209421956969891,-0.0558604572361219,0.0249701653665397,-0.0278847018234956,0.050916742249683,-0.0531984184053726,0.0262949286679941,2.55381139685417e-10,0.0097677542165838,0.00185962572840152,0.00379959626368992
