"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,0.00794050568054468,-0.024758950661635,0.0353889579419047,1800,0.462222222222222
"2",51,0.0130171368052803,-0.0423389006027719,0.0603564387420192,1114.18656962059,0.428888888888889
"3",101,-0.00418728796209139,-0.161190734695992,0.136909999131603,1603.50599208591,0.894444444444444
"4",151,0.00451785676147975,-0.0313062220666325,0.0473490070726257,1985.82252600879,0.725555555555556
"5",201,0.0187745600766816,-0.0640761363902129,0.0923625405339408,1650.7285182722,0.385555555555556
"6",251,0.00856225195349339,-0.0258343612076715,0.0406219303549733,1800,0.372222222222222
"7",301,0.00493688971528981,-0.0171096441627014,0.0295716908876784,1800,0.526666666666667
"8",351,0.0422838194201377,-0.0271109245186381,0.114673924641465,1800,0.124444444444444
"9",401,0.015493076992026,-0.0548709065187722,0.0875480979193526,1800,0.446666666666667
"10",451,0.0276897068728126,-0.0156458253914025,0.0704574214032618,1800,0.117777777777778
"11",501,0.0149023745713302,-0.0267038573001628,0.0525395962758921,1800,0.305555555555556
"12",551,0.0238046207710014,-0.0631329579628073,0.107607056881534,1800,0.376666666666667
"13",601,0.0152106132147045,-0.135500160220545,0.164090375907108,1777.14614182934,0.766666666666667
"14",651,0.0426497530555996,-0.0659517415770097,0.151016319679911,1800,0.245555555555556
"15",701,0.0147229097379574,-0.0278847018234956,0.050916742249683,1800,0.25
"16",751,0.0188720586338168,-0.0536687448475277,0.0831612506008241,1589.87829566311,0.347777777777778
"17",801,-0.00299843873472902,-0.100013916671742,0.0906255512272764,1800,0.931111111111111
"18",851,0.0121387748981155,-0.0462912968910132,0.0779039165427093,1800,0.508888888888889
"19",901,0.0120970966544145,-0.0401507288916036,0.0523869480566646,1800,0.448888888888889
"20",951,0.0321222634713579,-0.079667828802485,0.156100376931136,1800,0.346666666666667
"21",1001,0.0223916310359908,-0.0490836131793913,0.0926913777948357,1800,0.301111111111111
"22",1051,0.00970764461021975,-0.0759099701463128,0.0835719116148539,1800,0.68
"23",1101,0.0120331787411917,-0.0362530310740112,0.0625642347440589,1800,0.458888888888889
"24",1151,0.0233723773105775,-0.0644829101502182,0.121729089441942,1800,0.385555555555556
"25",1201,0.0190619216129451,-0.058531146209134,0.100714697109652,1648.00328957785,0.423333333333333
"26",1251,0.00789857127282427,-0.0203831886337866,0.0392834218982898,1800,0.375555555555556
"27",1301,0.00511113865123046,-0.105674198115594,0.125563789246371,1800,0.882222222222222
"28",1351,0.0035947532585682,-0.0712541025714017,0.0818558342434699,1800,0.857777777777778
"29",1401,0.00485224280424226,-0.0123967432737118,0.023861907684477,1602.34186253022,0.351111111111111
"30",1451,0.000789450453749178,-0.0257827152236132,0.0254022419103421,1800,0.928888888888889
"31",1501,0.0403278996761733,-0.0933371137580252,0.148956816468854,1297.63989648966,0.343333333333333
"32",1551,0.0159138137016131,-0.0546890131954569,0.0779673989818548,1800,0.428888888888889
"33",1601,0.0239868414139656,-0.0735547577642137,0.111655288928887,1800,0.382222222222222
"34",1651,0.0202249805038919,-0.0480905840668129,0.0929514174058568,1800,0.407777777777778
"35",1701,0.0174152525930175,-0.0720271313548437,0.11765160700088,1800,0.536666666666667
"36",1751,0.00186026829823735,-0.136064759019064,0.0981433428096352,1637.15236410945,0.994444444444444
"37",1801,0.0493288458661143,-0.0414057161397068,0.155801030079601,1800.00000000001,0.192222222222222
"38",1851,0.0220811288638662,-0.0703460572694894,0.103603649826255,1800,0.404444444444444
"39",1901,0.00238243914305488,-0.0135620167566231,0.0222389577829745,1800,0.715555555555556
"40",1951,-0.00110660857129792,-0.0607514937582891,0.0562473560785293,1800,0.912222222222222
"41",2001,0.0216713246832682,-0.0549580761871766,0.0846040159813128,1800,0.336666666666667
"42",2051,0.0315197353437035,-0.0194433503056644,0.0720041899057833,1800,0.123333333333333
"43",2101,0.0497570537236935,-0.0940932806697674,0.193685631194967,1800.00000000001,0.275555555555556
"44",2151,0.00950962507593744,-0.050856111527537,0.0649424549919786,1800,0.607777777777778
"45",2201,0.0128702815178282,-0.0442091127770254,0.0741322600224521,1800,0.492222222222222
"46",2251,0.0134391243046626,-0.049696889705956,0.0768224703933811,1654.85987720551,0.445555555555555
"47",2301,0.00118892194863788,-0.0471501296178758,0.0566759826106136,1799.99999999999,0.985555555555556
"48",2351,0.0167224913780718,-0.0262023802642943,0.0573384392337175,1800,0.256666666666667
"49",2401,-0.000397426621517241,-0.0381991404356086,0.0382029127031274,1800,0.992222222222222
"50",2451,0.00379491050621323,-0.0325832834059838,0.0330488910403801,1800,0.711111111111111
"51",2501,0.0370355191684335,-0.0613362233125372,0.152621439192444,1800,0.302222222222222
"52",2551,0.0180288619690818,-0.0674965588841587,0.0961125768662896,1800,0.474444444444444
"53",2601,0.0222574944780808,-0.0452457895153202,0.0814791272423463,1800,0.29
"54",2651,0.00604502505528649,-0.120320357658784,0.13861576194904,1800,0.904444444444444
"55",2701,0.00888587901216535,-0.0231850629133987,0.0446995577331109,1800,0.44
"56",2751,0.0165809771794123,-0.0541296003211755,0.0917815876528039,1200.58269466242,0.484444444444444
