"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept)",1,1,0.934883434934051,1,2.51238456316303,0.026539849422792
"Specieschlorocyanus",1,1,0.0754776827239474,1,-0.0333969981851999,0.00232437015445171
"Speciescristatellus",0,NA,0.0359276930108745,NA,NA,NA
"Speciescybotes",0,NA,0.00803593785816958,NA,NA,NA
"Speciesdistichus",0,NA,0.0102698579857913,NA,NA,NA
"Speciesequestris",1,1,0.485740558314813,1,1.04229866791977,0.00928165327722457
"Speciessagrei",1,1,0.159057496438988,1,-0.105376569239674,0.00260072267064936
"SVL",1,1,0.632000501612469,1,-0.0400644857245002,0.000452946152063536
"Stops",1,1,0.58181048163005,1,0.151314252203352,0.000299485112754318
"Fails",1,1,0.686849397496095,1,0.0380020140850148,0.000463040446696171
"SprintTemp",1,1,0.765937632483418,1,-0.0844801736667821,0.000977326387623321
"AgeSprint",1,1,0.160279403020122,1,-0.0290370139879023,0.000289831479948466
"nTreatment",1,1,0.585226631943923,1,0.179726992044512,0.00287834461880951
"Specieschlorocyanus:nTreatment",1,1,0.05856496600593,1,-0.31074536894672,0.00434168875112387
"Speciescristatellus:nTreatment",1,1,0.106450280324188,0,-0.0016353588115774,0.00401600011886497
"Speciescybotes:nTreatment",1,1,0.919007360867287,0,-0.0242445554104679,0.00399425115699314
"Speciesdistichus:nTreatment",1,1,0.309721628227087,1,-0.188684941691527,0.00425368793063726
"Speciesequestris:nTreatment",1,1,0.739152543023405,1,-0.0571620503475192,0.00435690444036552
"Speciessagrei:nTreatment",1,1,0.695213416538522,1,-0.306484726840839,0.00404762005568233
"(Intercept).Cage.1",1,1,0.281309836762519,0,-0.0134591716795724,0.00153487288054372
"(Intercept).Cage.10",1,1,0.184276112744402,0,0.00931619077006593,0.00136624533722936
"(Intercept).Cage.11",1,1,0.995172175017197,1,0.0201619956452477,0.00149714863218151
"(Intercept).Cage.12",1,1,0.668076080462235,1,-0.0174176534593934,0.00144002628827609
"(Intercept).Cage.13",1,1,0.518183232437579,0,0.013665650791336,0.00141818090168475
"(Intercept).Cage.14",1,1,0.321543712928631,0,0.00146595373081126,0.00146163828254513
"(Intercept).Cage.15",1,1,0.537960029654841,0,0.00337145799686552,0.00134163004569825
"(Intercept).Cage.16",1,1,0.180396452259314,0,0.0120222857758221,0.00143051575587172
"(Intercept).Cage.17",1,1,0.350821946731657,1,-0.0298099762599131,0.00154525314830284
"(Intercept).Cage.18",1,1,0.818031719859707,0,-0.010671199304184,0.00149426401751055
"(Intercept).Cage.19",1,1,0.4978127538602,0,0.00710940123490536,0.00140291733450473
