"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,0.00189905326799307,2.06761723600917e-11,0.0046980608434463,1800
"2",51,0.00882606235185409,2.03702663102874e-11,0.0190576185205819,488.550777714263
"3",101,0.0368484858168862,2.72376501210751e-07,0.117562146036457,1800
"4",151,0.00322117102957554,6.33478333078339e-10,0.00923433052932491,1800
"5",201,0.0104190313188173,1.23804853025939e-09,0.0392984613632465,1662.21586560214
"6",251,0.00199687292283299,5.39002454396363e-12,0.00726202690789573,1639.19863235993
"7",301,0.00131871384509687,3.1434884362758e-11,0.00406805279516044,1800
"8",351,0.0116701976135793,1.49303450246838e-11,0.0338118116948172,1800
"9",401,0.00877361238387202,1.66644697135874e-09,0.0282416354805567,1669.88354694892
"10",451,0.00396814026668349,8.02926549451836e-10,0.0106057831365903,1800
"11",501,0.00404023501328048,1.11896503528449e-09,0.0101196206344638,1800
"12",551,0.0145054769091007,2.99782355037107e-09,0.0452347620433112,1800
"13",601,0.0530176274550512,3.45535536003576e-07,0.143458953727675,593.912033981471
"14",651,0.0201512405841577,1.42923070734847e-08,0.0720198486902172,1800
"15",701,0.00351401761675101,2.55381139685417e-10,0.0097677542165838,1800
"16",751,0.00852234180627968,1.45647015221528e-11,0.0295483737046246,1636.78652900192
"17",801,0.0204701628604744,3.407160832451e-08,0.0555343107694147,1800
"18",851,0.00786147588831611,8.72621295356984e-09,0.0282782937741812,1800
"19",901,0.00483445955792866,2.30617037522361e-12,0.0101233025022229,1800
"20",951,0.0260599403073668,1.70803703382752e-07,0.0855528174076534,1800
"21",1001,0.00887546135494212,1.40212859795126e-10,0.0326600239570963,1800
"22",1051,0.0121895026910879,6.78142090082220e-09,0.0408179080409879,1800
"23",1101,0.00404077561176701,8.05507574483558e-15,0.0141013522777885,1800
"24",1151,0.0163556501243089,3.68665153100887e-11,0.0588279639560217,1800
"25",1201,0.0118201103173563,7.17102095046114e-08,0.041451683878857,1800
"26",1251,0.00161201067949293,6.15419161348699e-09,0.00564885631199756,1800
"27",1301,0.0252070614681791,6.41877291774673e-09,0.0787805314651145,1800
"28",1351,0.0117355906215088,4.6137619124803e-09,0.0430615901013262,1800
"29",1401,0.000585062305734954,1.07577929892675e-09,0.00210457804112568,1609.98987697921
"30",1451,0.00134234668276487,3.76544746327536e-12,0.00434868651729696,1800
