"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,0.0235551569767091,8.14000641829184e-10,0.0810576018095909,331.514525127601
"2",51,0.131286835257084,5.03916190732306e-09,0.304916929566294,64.7662947625006
"3",101,0.286191469470419,2.92998592289875e-08,0.584620529907978,413.638175616879
"4",151,0.0303018442890277,7.19919218546466e-10,0.111352619694945,814.154897568248
"5",201,0.232460415020392,1.24029973095384e-08,0.524262519584448,187.053464255383
"6",251,0.133730106597957,1.45538850053256e-09,0.568273568801845,57.0762969220088
"7",301,0.0792338053784384,1.18853032149776e-09,0.1168714484844,58.6664198518625
"8",351,0.180783273090114,6.41526576873648e-10,0.447057351470293,276.237956050322
"9",401,0.190467771421698,3.09087934862014e-10,0.430085117631952,102.988502227686
"10",451,0.163480437845388,1.10604076793927e-10,0.243189433617304,398.39489459179
"11",501,0.0961551523019736,9.95264460745522e-10,0.195134715540747,421.30844044156
"12",551,0.180218059541663,4.8723959828975e-09,0.475467920712921,272.964318713736
"13",601,0.0842464253278855,1.59370235268495e-07,0.302060031479913,972.494043615512
"14",651,0.343911339305869,6.76600118389934e-10,0.857256068515426,374.025724216375
"15",701,0.202796699099946,8.47817571436445e-09,0.713341333511919,80.4321938101082
"16",751,0.239050102344356,9.296516843688e-09,0.756183923969103,118.598102992839
"17",801,0.318183585968007,4.43153886252181e-10,0.579357935649537,562.983388940845
"18",851,0.211359774237878,1.48830469300336e-09,0.503447967277781,212.673222195533
"19",901,0.188819298313498,1.34877997567735e-09,0.220122251530192,545.632890474925
"20",951,0.302411153769951,7.2549805331451e-09,0.864448959403481,337.77709668492
"21",1001,0.156433310870771,1.67537773285745e-09,0.354679791579571,160.671698595921
"22",1051,0.291344876253167,2.37371511751873e-10,0.890735813925669,281.827478191994
"23",1101,0.195393216733013,2.4526574877055e-10,0.329317068816986,422.681599440986
"24",1151,0.222513540888646,1.83649149551996e-09,0.533041650113463,232.884968661793
"25",1201,0.231866675713265,4.06895950952228e-09,0.569303845989943,201.924165887912
"26",1251,0.108122403709861,1.30694919527021e-09,0.504224444019107,51.3278571267115
"27",1301,0.273530501544134,5.23794124963051e-11,0.62216681787108,511.475430592113
"28",1351,0.2154727863536,3.10307222739297e-08,0.453513806545505,280.139507683024
"29",1401,0.070569416923995,1.98359009081704e-10,0.317296006045399,29.016225026712
"30",1451,0.156331633634671,1.28246031590103e-10,0.393245883654232,66.836168276436
"31",1501,0.163942611474646,2.3754930446537e-08,0.46950742061354,147.966114294335
"32",1551,0.194025570934275,1.52104336475136e-10,0.623864432568952,136.407046657194
"33",1601,0.281694519235076,1.65244597706853e-10,0.773765267059202,247.220898526483
"34",1651,0.265433315042286,1.46672144177791e-09,0.65634418860645,481.985479207422
"35",1701,0.173746733756803,5.00533131519331e-08,0.491140283551808,355.232943347512
"36",1751,0.33866980956336,1.98466106238876e-12,0.775329280864485,655.378893876182
"37",1801,0.137392838548993,5.1249373995117e-11,0.514681842897464,816.747859473714
"38",1851,0.19884645386527,9.44131631588995e-10,0.46611177300895,250.069196311183
"39",1901,0.0951184111922428,3.42181679505677e-10,0.223744743802387,187.36896925158
"40",1951,0.126399445219471,4.9370927548488e-08,0.260050947538163,198.196919947399
"41",2001,0.256230514178929,8.65399607565754e-10,0.547617001275061,253.706942596806
"42",2051,0.214110868924236,3.47384968116766e-10,0.345057538566078,592.225482754527
"43",2101,0.28463989741002,5.44269627013616e-08,0.821518471818619,445.939370698598
