"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,-0.0352316104298256,-0.161557882121997,0.0917302028328777,1652.76616547307,0.378888888888889
"2",51,-0.00548658579282577,-0.0508882873255061,0.0319714139768621,1485.78889560504,0.504444444444444
"3",101,-0.0102948561752409,-0.0708296304728719,0.0523051607888192,1126.67826492967,0.522222222222222
"4",151,-0.00989846305676614,-0.0851075988102821,0.0551674586695299,1161.4106773685,0.535555555555556
"5",201,0.0129853660649452,-0.0407278003258398,0.0687668410464539,1337.22817993175,0.408888888888889
"6",251,-0.00850975028385621,-0.0953945875735371,0.0675439345650375,2740.95044828997,0.687777777777778
"7",301,-0.0213558913218745,-0.118967560527381,0.0605028362915618,2611.36381035376,0.421111111111111
"8",351,-0.00739358044804043,-0.0854889904439915,0.0601085395028349,1800,0.767777777777778
"9",401,0.00104627103988296,-0.0139475421819952,0.0147633635242528,1269.23016038762,0.808888888888889
"10",451,-0.0076506804204756,-0.0651119785034098,0.0368688652088167,1800,0.647777777777778
"11",501,-0.0141144169447468,-0.0926515009557534,0.0584220674409153,2727.58080811868,0.541111111111111
"12",551,-0.0445653678196616,-0.153081754004234,0.0885967505746521,1538.43019008458,0.292222222222222
"13",601,-0.0156436561559718,-0.0922193541118759,0.0862908278595569,1992.91556427892,0.557777777777778
"14",651,-0.00867936763777822,-0.0532112366490765,0.0452911176835187,1644.96236880267,0.56
"15",701,-0.018197525111113,-0.0768889906612458,0.0339405474369414,1800,0.403333333333333
"16",751,0.00118706657802937,-0.128579061420169,0.169833467698481,1656.2569927511,0.977777777777778
"17",801,-0.0265904824834386,-0.115714827901684,0.0818076105933869,1800,0.426666666666667
"18",851,-0.00746961896278832,-0.0628001877339557,0.0462222760543227,3239.05907479315,0.625555555555556
"19",901,-0.00164416035092694,-0.00993507139355643,0.0091930205526296,2922.15823490367,0.56
"20",951,-0.0181854010920096,-0.127591231808765,0.0946912538347533,1058.80436425158,0.536666666666667
"21",1001,-0.00909453858133003,-0.0625788863690104,0.0483080689446069,1800,0.621111111111111
"22",1051,-0.0042598924222649,-0.0449521686809931,0.044623917881836,1250.91829241403,0.612222222222222
"23",1101,0.000143205109731607,-0.0460976727699745,0.0545562967599835,1800,0.978888888888889
"24",1151,-0.0049713933322386,-0.0730959723587148,0.0720463867182843,2303.99762182328,0.827777777777778
"25",1201,-0.0191682237986737,-0.0856730486848392,0.065848196783918,2415.07614760362,0.395555555555556
"26",1251,0.0139294358319066,-0.0845214523869799,0.122041069706029,1584.16161164038,0.665555555555555
"27",1301,-0.00340568825413152,-0.140007636273367,0.125235116334807,1663.8198785017,0.933333333333333
"28",1351,-0.0166237765593099,-0.138799158827169,0.0822064820386004,4918.12811416715,0.53
"29",1401,-0.00672163474794591,-0.143570913438452,0.129733079651487,1800,0.834444444444444
"30",1451,-0.00574502341985099,-0.0650931823183782,0.0550424764842319,1620.40969839137,0.814444444444444
"31",1501,-0.00890327017467211,-0.0746713562293735,0.0612567953794496,1800,0.716666666666667
"32",1551,-0.00749827943785186,-0.0922210393910063,0.0790564050839748,1127.9579181157,0.706666666666667
"33",1601,-0.0108661943154082,-0.0815771335655882,0.0990131076541729,1800,0.728888888888889
"34",1651,-0.0156086788276497,-0.0947204018666525,0.067348072931054,3115.71182463124,0.517777777777778
"35",1701,-0.00956727093350557,-0.0594762881810311,0.0433904873107167,1370.27101450596,0.493333333333333
"36",1751,0.00431669853039863,-0.0865674619126366,0.0915306861570571,1800,0.853333333333333
"37",1801,-0.00980981539312193,-0.082109333660128,0.0610117823816836,2591.00079417912,0.597777777777778
"38",1851,-0.0121958417558826,-0.145722479297547,0.102923843005556,2979.47137248983,0.728888888888889
"39",1901,-0.0126275830053902,-0.0878041303367354,0.0720938272643252,2661.99585875872,0.533333333333333
"40",1951,-0.0229716731686408,-0.0727963943099894,0.0141125419686432,1800,0.168888888888889
"41",2001,-0.0187553094288429,-0.0797640591772506,0.0716505103046075,2329.82606208601,0.404444444444444
"42",2051,-0.0176306641156282,-0.0845214701912482,0.0732811782436329,2429.67669143363,0.472222222222222
"43",2101,-0.00996560499111681,-0.0454882026533596,0.035029509162996,1800,0.46
"44",2151,-0.0144175756617006,-0.10153600294143,0.0708961725313202,1376.31195836449,0.524444444444444
"45",2201,0.00421279319770709,-0.0230279890165548,0.0317968694580486,1050.11806411864,0.591111111111111
"46",2251,-0.0156050885178267,-0.103715707056836,0.0774220990133472,1055.24387151278,0.505555555555556
"47",2301,-0.00922467211964357,-0.0560732889207429,0.0388198623113567,2952.36483833195,0.503333333333333
"48",2351,-0.0173824141595282,-0.105313745429157,0.0806764391709294,1578.51131976891,0.542222222222222
"49",2401,-0.00793283631786869,-0.133983033476397,0.139991863383329,1886.58163310116,0.853333333333333
"50",2451,0.00207585910176228,-0.0506571323348908,0.058750771881023,1800,0.881111111111111
"51",2501,-0.0062711840626231,-0.0591525133640971,0.0337246995914029,1135.54723287909,0.553333333333333
"52",2551,-0.0102372831773136,-0.0855524570506532,0.0745600748123252,1085.19130365613,0.606666666666667
"53",2601,-0.0112781980408346,-0.0957838910326245,0.0660293168348289,2685.93949576333,0.572222222222222
"54",2651,-0.00831135696384114,-0.0988642069714842,0.0942155202428694,2241.06911268308,0.734444444444444
"55",2701,-0.0105119899753631,-0.189823172349861,0.159276880447578,1038.14814828811,0.767777777777778
"56",2751,-0.00775488917164305,-0.128072690225963,0.105662278205273,1800,0.857777777777778
"57",2801,-0.0144909188849441,-0.0859723033063347,0.0772854495153297,1250.21906307235,0.498888888888889
"58",2851,-0.00874405533771381,-0.0897416789323415,0.061167322579422,2779.09690979563,0.717777777777778
"59",2901,-0.0252641489070418,-0.108524272800423,0.0688250205093937,2351.08488699393,0.362222222222222
"60",2951,0.00436529265930344,-0.0334660894586705,0.0347364772114815,3934.853710371,0.593333333333333
"61",3001,-0.0134394589385457,-0.0470735849448829,0.020640999864554,1800,0.28
"62",3051,-0.0118722178897026,-0.0694995618541725,0.0709316552201926,2142.48749978947,0.556666666666667
"63",3101,-0.0146675678851189,-0.0757716374791926,0.0426403016099357,1427.95916736456,0.458888888888889
"64",3151,-0.0178937698984582,-0.0615162709582364,0.0430195888329763,1930.08231605864,0.294444444444444
"65",3201,-0.00512278419815225,-0.0507903984002951,0.0465167690417729,1160.3225298927,0.591111111111111
"66",3251,-0.0168687230312417,-0.118197286668874,0.0837376096524167,1800,0.564444444444444
"67",3301,-0.00409842099061557,-0.0344036235037493,0.029768933424748,1648.12638326657,0.67
"68",3351,-0.0414207595664279,-0.161397798310645,0.0865087685524486,1853.31909472396,0.325555555555556
"69",3401,-0.00783777667519042,-0.0354241793611436,0.0279058475862257,1715.82902598361,0.413333333333333
"70",3451,-0.0133340103433956,-0.103962880923063,0.0595554856554372,986.093144093678,0.544444444444444
"71",3501,-0.00562678532927219,-0.0757161534493207,0.0500789702728071,1800,0.766666666666667
"72",3551,-0.0130701909703753,-0.115921859158107,0.0981325525499415,3092.62057013286,0.68
"73",3601,-0.00108840497318676,-0.0549872625069838,0.046281403672765,3088.64464399614,0.958888888888889
"74",3651,-0.00531124939683677,-0.0533711262396537,0.043983228795696,3197.19026508374,0.733333333333333
"75",3701,-0.0117811514903274,-0.0771212579857092,0.0557592907280196,1452.33465405349,0.514444444444444
"76",3751,-0.0257853611102377,-0.13860418429249,0.0861916058306633,1083.42584851971,0.421111111111111
"77",3801,-0.00770477769857807,-0.086088573759298,0.0642937855300261,3993.70953779123,0.595555555555556
"78",3851,-0.00109237896949364,-0.0208769022428896,0.0225272078096168,949.192652895252,0.866666666666667
"79",3901,-0.00543802176576287,-0.0372745504573686,0.0272959900894421,1747.41226743059,0.562222222222222
"80",3951,-0.0105303201285215,-0.128192392632627,0.107415028309333,1800,0.82
"81",4001,-0.0124610281706323,-0.0988384144070551,0.0833407547033858,1800,0.682222222222222
