"","Phylogeny","Species","Residuals","Intercept","InvClim","PreClim","InvTime"
"1",433.845675945041,434.364016223712,2102.38469604732,1625.12338880898,2175.77738884188,3335.38996382563,3178.4924127839
"2",2000,287.70691568908,2102.17794157511,2000,1733.9389660827,1907.93165422895,1670.82224281305
"3",1859.56251464706,289.783034410348,2134.73086019765,1700.20483365454,3986.66359687476,4345.69193194279,2558.04435312365
"4",667.145627566488,208.683601919428,2100.40239402676,2274.08172676901,1731.26364031993,3500.66921587124,2281.94073000882
"5",1665.91727301208,769.359043381232,2085.88419029121,1624.66293999657,3031.08605071928,4283.25795976488,2211.35125568654
"6",2000,115.31759430939,2106.62548927595,1775.97540974882,1653.3886389504,2401.79739962991,2615.52419970867
"7",632.916035356672,252.349648629348,2116.83745414965,2480.21531682774,2186.21319155187,2835.5607561894,3171.28718197488
"8",318.401561935072,287.29212774716,2101.35464164632,2081.95312562959,2650.40323736946,2543.37479032362,2063.37729675617
"9",746.615110105482,311.80279744505,2097.44429885547,1861.56975519408,2772.99609027681,3053.68825605785,2494.52705359153
"10",1876.1976367891,468.325033199166,2091.34058027191,2172.02441907917,2163.14446369548,2699.16543700139,2897.45764920804
"11",400.780003011471,242.128502214548,2099.60461742263,2638.36551232473,2332.0211411169,3421.17392004032,1724.75915633045
"12",2000,1016.81055119285,2093.58259597052,1684.71670516841,2000,2000,1865.88782364267
"13",2000,160.134089699449,2102.25602615706,1802.86522647959,2140.04720488132,2372.8653897217,3434.17425571882
"14",2000,105.83243363905,2102.60886869613,1533.16445141748,1534.21623865676,2090.57034842683,2000
"15",2000,624.067684812168,2092.62190124399,2000,2256.81882362619,2000,1832.19554164282
"16",616.650023342151,532.520825003569,2096.49221238075,1975.34769414451,1963.00886836365,2942.36510056907,3784.49526237545
"17",814.487692004545,544.694427689202,2140.10852925302,1889.77725163549,2000,2647.36002679767,2606.64109582038
"18",1105.97996560987,212.755052993619,2054.69914481812,2951.64472284708,2853.07645698114,3761.07556888755,886.174531698524
"19",2000,61.6233287627477,2103.64453193043,3205.16257614201,1154.23550783677,2216.05226742872,1616.14275548165
"20",756.561802001295,233.243842025548,2097.12206199633,1996.87114546032,2070.72347434008,3836.15105532016,2431.95352459924
"21",2000,18.2579786310298,2101.65476628154,2351.14090585762,2177.63967702671,1625.18179113563,1642.46757658769
"22",925.046166145759,226.665890056223,2098.01831405987,2181.60155098546,2349.69423940316,3139.93786421844,2004.51122934019
"23",349.782223988031,258.767489549828,2108.25301744888,1918.51538880111,2465.26914472006,3256.5903300377,2362.3826091881
"24",2000,29.6030839323802,2101.57304837803,2677.44176698103,1972.16351665262,1719.75993263212,1392.63012730335
"25",1199.32755590721,1248.88627304434,2085.13324224021,1757.97039463236,2000,1718.01680397256,1755.48730762204
"26",2000,112.956837070741,2101.83127832088,1785.46354106859,1921.63417990609,2000,2000
"27",477.342346668321,634.011830604202,2112.04148542649,1354.63790213572,3179.36312792674,3717.8511649602,1819.60542664528
