"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept)",1,1,0.0851762479061298,1,-4.4276166869494,0.025264392954183
"nTreatment",1,1,0.436287578302209,0,-0.0215215984965881,0.00289607804744359
"Specieschlorocyanus",1,1,0.924531451807359,1,0.229845622614869,0.00222779948971503
"Speciescristatellus",1,1,0.0501146031382539,1,0.629770991242027,0.00221956663287648
"Speciescybotes",1,1,0.239482324856769,1,0.240840398598796,0.00207450757830521
"Speciesdistichus",1,1,0.0599313374548194,1,0.445159541789217,0.00223993062723013
"Speciesequestris",1,1,0.616204402430805,1,-0.909868936599177,0.00831458808628153
"Speciessagrei",1,1,0.18698308280102,1,0.324743597818362,0.00244261129657854
"SVL",1,1,0.479877669964208,1,0.056000490045394,0.000406602112276419
"Stops",1,1,0.887414030848327,1,-0.0231580406586069,0.00027970684610462
"Fails",1,1,0.0803572647207065,1,-0.0345610477688621,0.000453568660009585
"SprintTemp",1,1,0.163463322400031,1,0.0264020356460198,0.000927801094749313
"AgeSprint",1,1,0.82974097675226,0,0.0035236300641736,0.000451371606729189
"nTreatment:Specieschlorocyanus",1,1,0.342565057740785,1,-0.177893503006036,0.00399349660025328
"nTreatment:Speciescristatellus",1,1,0.279960087189827,1,-0.112707802776402,0.00376106022509908
"nTreatment:Speciescybotes",1,1,0.405920099691099,1,-0.15229965800877,0.00379436039489631
"nTreatment:Speciesdistichus",1,1,0.209283666884142,1,-0.150609511445182,0.00396832934666969
"nTreatment:Speciesequestris",1,1,0.987665913976492,0,-0.00468959359551497,0.00402226375198157
"nTreatment:Speciessagrei",1,1,0.304794050321483,1,-0.156759999294419,0.00377312579272837
"(Intercept).Cage.1",1,1,0.207774759017877,0,0.00844382385037993,0.0018405514890382
"(Intercept).Cage.10",1,1,0.508377671161402,1,-0.067084649462651,0.00201979346468713
"(Intercept).Cage.11",1,1,0.435713058521497,1,0.0177896940006563,0.00176400075282905
"(Intercept).Cage.12",1,1,0.803297653273333,1,0.0310804286428866,0.00174204857417279
"(Intercept).Cage.13",1,1,0.116694538245877,0,-0.0152870547064484,0.00168406394235996
"(Intercept).Cage.14",1,1,0.904250867736309,0,0.0135273168921216,0.00172366414793363
"(Intercept).Cage.15",1,1,0.205716541130319,1,-0.0343406349882474,0.0018427214618319
"(Intercept).Cage.16",1,1,0.24510598473885,1,0.0430255552145797,0.00183593444242765
"(Intercept).Cage.17",1,1,0.824113965050989,0,0.00623108848761592,0.00164282852512602
"(Intercept).Cage.18",1,1,0.255949628416519,1,-0.0218130251434203,0.00180391018585059
"(Intercept).Cage.19",1,1,0.529333649793332,1,-0.0260595090308397,0.00181949389695959
"(Intercept).Cage.2",1,1,0.708668374963785,1,0.0437147182221301,0.00179077600343866
"(Intercept).Cage.20",1,1,0.636555259994769,0,-0.0142677588501001,0.00169315383970479
"(Intercept).Cage.22",1,1,0.174283391481465,0,0.0147183002322375,0.00167058305755426
"(Intercept).Cage.23",1,1,0.0758261314631115,1,0.057043047471503,0.00191153463993332
"(Intercept).Cage.24",1,1,0.123597814026172,1,-0.0191839626150766,0.00178380825139199
"(Intercept).Cage.25",1,1,0.794279832716942,0,-0.0195923395165968,0.00199368929051785
"(Intercept).Cage.26",1,1,0.238085183864894,0,-0.00178723614142815,0.00188686418699922
