"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.AbSpec","Pvalue.AbSpec","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.AbSpec","Ratio.AbSpec","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.879184792082845,1,0.846605897679743,1,0.820206779929369,0,0.401203003213643,0,0.430561280113028,1,0.00805317182934844
"2",51,1,0.429308955345888,1,0.291171355642023,1,0.736729057872809,0,0.653765066541333,0,0.429854567951827,1,0.00805011811291647
"3",101,1,0.89062661864636,1,0.538453742068824,1,0.623219659413343,0,0.708791704051785,0,0.370101165631141,1,0.00800126923821577
"4",151,1,0.086035248626401,1,0.530333580528939,1,0.803551335837388,0,0.392200552262795,0,0.644580212000368,1,0.0080549993987462
"5",201,1,0.914286745988869,1,0.602072313036884,1,0.741104222220476,0,0.570285652228627,0,0.395237496788768,1,0.00807685069242382
"6",251,1,0.767765810536109,1,0.670929713321152,1,0.808661804200068,0,0.619506998635342,0,1.02092044565078,1,0.008045991101459
"7",301,1,0.0713763914279963,1,0.19464731513063,1,0.79505873818006,0,0.398515829901626,0,0.51946722233482,1,0.00801752997520196
"8",351,1,0.897355419869271,1,0.357339928223934,1,0.830075950652417,0,0.305718134554826,0,0.444443646236025,1,0.00806027953873844
"9",401,1,0.283199373980561,1,0.378463800327427,1,0.825776723509977,0,0.439518239945412,0,0.439087073033068,1,0.00805672530817931
"10",451,1,0.69074160463296,1,0.703928645139328,1,0.767384018217772,0,0.488587521227053,0,0.272686148980951,1,0.00807391498774184
"11",501,1,0.607592187428016,1,0.26873848517486,1,0.832774437516017,0,0.43423590498552,0,0.471842238194923,1,0.00806846129214959
"12",551,1,0.830326851970966,1,0.952299650956896,1,0.785721034062122,0,0.730697030090393,0,0.302600830732861,1,0.00804102497772541
"13",601,1,0.519519512835871,1,0.67966164142979,1,0.796711397197383,0,0.496085500278419,0,0.782371995684725,1,0.00805416682885965
"14",651,1,0.970182263260744,1,0.965621536136188,1,0.804720699919484,0,0.369074046952658,0,0.496041532905334,1,0.00805434616521053
"15",701,1,0.441793923250773,1,0.2149538983617,1,0.788657189320511,0,0.584025205653425,0,0.302785228363895,1,0.00806876674282397
