"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.136879238612063,-0.662669806763006,0.359724016700056,-0.119371374408722,0.27545
"PreClim",0.0418373831033772,-0.474943196837557,0.559350254985475,0.0477350911159169,0.70817
"InvClim",0.0244204917081202,-0.449526935160975,0.53397439426044,0.0160744560484467,0.76291
"InvTime",-0.00932027517247216,-0.530312974231492,0.532288601378241,-0.00768303756083455,0.86496
"Phylo",0.270627268409242,1.16500194974446e-12,1.0413486946917,-0.00161308324455209,5e-06
"Spp",0.244658819333809,5.15138056566142e-15,0.808506681396344,-0.0014447758548647,5e-06
"units",0.00671100451197205,2.1633576841898e-05,0.0251518653249615,5.962350772055e-05,5e-06
"h2phylo",0.432872565165539,7.92697816280689e-11,0.963180917787665,0.00213032134965899,5e-06
"s2",0.414997630831415,7.22244733153238e-13,0.955900712078579,0.00223819214752026,5e-06
"CVphylo",-0.950988723504999,-11.4781000396004,11.0329863340614,22.7822421902783,0.27545
"CVspp",-0.37057825061626,-11.4005339929484,10.339468926933,92.457370367767,0.27545
"CVresid",-0.539210709597059,-3.63254995160716,2.5979206973496,40.660320531355,0.27545
