"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept)",1,1,0.0851814403569755,1,-4.42761685319073,0.0252644018326865
"Specieschlorocyanus",1,1,0.92453206840903,1,0.229845617935796,0.00222779961260153
"Speciescristatellus",1,1,0.0501151752730588,1,0.629770994614492,0.0022195666224146
"Speciescybotes",1,1,0.23948491173921,1,0.240840404585649,0.00207450758912388
"Speciesdistichus",1,1,0.0599325396956972,1,0.445159545027292,0.00223993064047092
"Speciesequestris",1,1,0.616204422716654,1,-0.90986894559004,0.0083145877456729
"Speciessagrei",1,1,0.186985368084299,1,0.324743602122915,0.00244261138681267
"SVL",1,1,0.479880292877952,1,0.0560004906563977,0.000406602098722951
"Stops",1,1,0.88741410243644,1,-0.0231580404592566,0.000279706832682379
"Fails",1,1,0.0803573816252308,1,-0.0345610479231207,0.000453568659876887
"SprintTemp",1,1,0.163471980885486,1,0.0264020409776194,0.000927801373273068
"AgeSprint",1,1,0.829742979607121,0,0.00352363208730889,0.000451371649689017
"nTreatment",1,1,0.436287602451697,0,-0.0215215952340017,0.00289607884189895
"Specieschlorocyanus:nTreatment",1,1,0.342566383655683,1,-0.177893507443119,0.0039934964705245
"Speciescristatellus:nTreatment",1,1,0.279960130456311,1,-0.112707806030672,0.00376106021768199
"Speciescybotes:nTreatment",1,1,0.405920810611763,1,-0.152299658600665,0.00379436032474026
"Speciesdistichus:nTreatment",1,1,0.209283724220728,1,-0.150609513471544,0.00396832923270856
"Speciesequestris:nTreatment",1,1,0.987665845804967,0,-0.00468959452787607,0.00402226396579247
"Speciessagrei:nTreatment",1,1,0.304793707832646,1,-0.15675999899459,0.00377312614384696
"(Intercept).Cage.1",1,1,0.207774379977661,0,0.00844382541491247,0.00184055165590251
"(Intercept).Cage.10",1,1,0.508376025269192,1,-0.0670846506678469,0.00201979304645595
"(Intercept).Cage.11",1,1,0.435718239981627,1,0.0177896996216207,0.0017640008184651
"(Intercept).Cage.12",1,1,0.803298995392147,1,0.0310804300984628,0.00174204864306797
