"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,0.00340395907142097,1.88224835119048e-10,0.0107449669465768,1800
"2",51,0.0097693967296309,6.0434890836354e-09,0.0367016885289897,1349.40715179989
"3",101,0.00289890224476159,3.53861792511294e-12,0.0084589368255763,1800
"4",151,0.000671200961554905,2.38819591158215e-10,0.00193666448338195,1800
"5",201,0.00317077794019652,6.83639638482316e-09,0.0107772902899895,1800
"6",251,7.88073460184894e-05,5.87323186435713e-13,0.000227239687756542,1800
"7",301,0.103911470799665,8.18617104741391e-10,0.0511020630875949,1343.63651164413
"8",351,0.00368123347763644,5.86639752351154e-11,0.0133244734799405,1800
"9",401,0.0250483124305047,9.63129325478086e-10,0.0870380892423468,829.298649944443
"10",451,0.00137884044853872,5.63067249614141e-10,0.00456080167265938,1800
"11",501,0.010855257225899,1.61839990365469e-09,0.0336559405634694,814.29490065524
"12",551,0.0284505992944603,1.8808361092498e-07,0.0171792829518866,1389.74476178763
"13",601,0.000268781873212728,2.13371697745944e-11,0.000622627422258449,1800
"14",651,0.00209244200514329,3.45748983223185e-10,0.00695493315852195,1493.8247492541
"15",701,0.004104761406259,2.15600953183577e-11,0.0136559867255983,1330.29399506158
"16",751,0.00174930243265708,1.49423210968099e-10,0.00594912340976086,1480.77253294849
"17",801,0.0021979708243935,2.94654732799497e-10,0.00701608741785827,1308.46041755358
"18",851,4.90481574114634e-05,1.65752763013349e-12,0.00013436853248785,1800
"19",901,0.00129362559828236,2.74729571942936e-10,0.00482409960739365,1800
"20",951,0.00812292250485381,8.00651415344108e-12,0.0312782328061903,1800
"21",1001,0.00533300408546603,6.37799309965016e-11,0.0124503234673524,1800
"22",1051,0.000617884439198504,3.78627045617016e-12,0.00203781007229932,1800
"23",1101,0.00186834758288447,1.23847748896705e-09,0.00728455285646869,1800
"24",1151,0.00437992085773598,2.81842456789802e-15,0.0135033284350033,1800
"25",1201,0.00632985665194895,2.16732165419948e-10,0.0246285761500776,1335.43870845927
"26",1251,0.00429985204403923,1.02177672637116e-11,0.0156752059146315,1800
"27",1301,0.00277091937837874,3.64481422531231e-11,0.00867305138239527,1800
"28",1351,0.00864786425461892,1.94211460248857e-11,0.0303013457423439,1800
"29",1401,6.70512946630209e-05,4.27961762198252e-12,0.000206222998826537,1800
"30",1451,0.00439733333469712,5.74869840956355e-10,0.0150148000826646,1800
"31",1501,0.00240109035846099,3.0441592040168e-11,0.00682022870144657,1800
"32",1551,0.0023962734357171,2.07280853623951e-09,0.00738506705831254,1800
"33",1601,0.0127502956079537,9.92428385153053e-10,0.0421729936820664,924.352094127752
"34",1651,0.00031878721364963,1.16369310568033e-12,0.00105056698437684,1583.54248467408
"35",1701,0.000120878839737887,7.33133586671926e-12,0.000301926843824274,1800
"36",1751,0.00528798503264292,2.72452480356126e-09,0.0147973641049051,1800
"37",1801,0.00176384471181224,5.17604006282893e-10,0.0056045678286655,1800
"38",1851,0.0221031078334103,3.28691637750648e-10,0.0104666537643785,1388.58702202284
"39",1901,0.0182148797614034,2.22400531645452e-09,0.06452592055327,1113.62902025291
"40",1951,0.00447486945500191,3.72083786005811e-11,0.0155831707932289,1800
"41",2001,0.00161292010419954,2.60153609516314e-10,0.0046730176979681,1800
"42",2051,0.000120535344080932,2.98398637410685e-12,0.000425356690251361,1486.75872463635
"43",2101,0.0255518338987096,1.88232730581103e-13,0.0758357632447925,1800
"44",2151,0.00523172546885136,2.37644180892088e-10,0.0168750438893111,1800
"45",2201,0.00205257959897411,7.23948312944133e-10,0.00625755341083609,1800
"46",2251,0.00262871703611304,1.64831567382409e-10,0.00648368219215836,1800
"47",2301,0.00108378847186773,1.26704425181855e-10,0.00406567377963568,1800
"48",2351,0.00129630974762747,1.11126959818885e-11,0.00444633005621096,1800
"49",2401,0.00128223525881142,1.39656820096639e-12,0.00409596412594557,1800
"50",2451,0.000279423567868035,2.75595611754713e-10,0.000969005790732787,1800
"51",2501,0.00233031070073009,5.4317880836322e-12,0.00767756387668065,1800
"52",2551,0.00514983384565396,3.04969026017075e-10,0.0164859847387876,1800
"53",2601,0.00426451985194688,7.94508053136845e-14,0.011803408933939,1800.00000000001
"54",2651,0.00327129717759106,1.69558309197467e-10,0.00981748761869057,1800
"55",2701,0.00475520584095952,2.35888713366271e-08,0.0145518479718214,1799.99999999999
"56",2751,0.000469689342668771,3.24037636889575e-12,0.0015257415275816,1490.77556215173
"57",2801,0.0062576986490554,6.0550707122586e-14,0.0244848366335211,1799.99999999999
"58",2851,0.00171992063047319,2.64065444942573e-12,0.00518636130276596,1800
"59",2901,0.0572694212224187,5.93407764848029e-10,0.037101022944403,1397.20066193802
"60",2951,1.98303335378386e-05,1.41053892355531e-12,5.73548009085325e-05,1800
"61",3001,0.000587884240283955,1.69480987302404e-11,0.00185963819455318,1800
"62",3051,0.000492579820853736,5.29801567163455e-10,0.00169480570860658,1664.88306067908
"63",3101,0.000419756154038133,1.12231515197836e-11,0.00160785963221338,1800
"64",3151,0.0952783636084742,1.01118857017041e-08,0.0296368324427198,1367.21865642602
"65",3201,0.00676191519707076,3.64982099465205e-14,0.0206041225954452,1325.44271222673
"66",3251,4.8508403402925e-05,7.73509716920123e-12,0.000154489038938763,1800
"67",3301,0.000552201400440057,2.40128405652282e-09,0.00198209622453211,1581.18004448876
"68",3351,0.017097057255937,7.64285603981076e-15,0.0632862243808718,1677.68727567287
"69",3401,0.00891086066977836,1.77867735323217e-13,0.0335091113786915,1800
"70",3451,0.00821884633477832,1.89994516571006e-09,0.0255611419054251,1055.88217704313
"71",3501,0.0104408228103282,2.37371292097816e-06,0.037950195146532,665.863355058536
"72",3551,0.00709437743682073,2.14222647793018e-09,0.0236775198759343,1800
"73",3601,0.0102710934073675,1.8370439555306e-09,0.0383949017550589,1800
"74",3651,0.0524945503683053,1.9042095143683e-07,0.158005590399165,1800
"75",3701,0.0115352173441369,8.91841719448841e-10,0.0413679792310143,1173.12304879077
"76",3751,0.00280192494092371,1.16599779407391e-10,0.0103783900423769,1365.29273588955
"77",3801,0.000550437080312302,3.79064024657108e-11,0.00202820392466311,1800
"78",3851,0.00217195202033773,2.77555619035055e-09,0.00689695075071109,1800
"79",3901,0.00029934059125834,9.65535823533639e-12,0.00104226292711734,1800
"80",3951,0.00410265879517011,8.82943560194865e-10,0.0112123417424695,1800
"81",4001,0.0144683414193211,9.51551975525991e-10,0.0505309593614958,1800
"82",4051,0.0190269716949575,6.63215735068928e-09,0.0634679763065962,1800
"83",4101,0.0075202636676408,1.13425866188554e-07,0.0253215265928756,1256.38885165371
"84",4151,0.0122872146906725,6.25179893654516e-10,0.00622594785097583,1392.38685030154
"85",4201,0.0107803073717981,2.08009231367051e-08,0.041882878932975,1800
"86",4251,0.0278419402116298,2.47861625076114e-09,0.103951641264687,1687.98774164828
"87",4301,0.00254456460381977,8.93264473466939e-10,0.00755897390316535,1800
"88",4351,0.00410723385493584,2.6280224164129e-09,0.0142067780564397,1154.70312629434
"89",4401,0.00675494537926413,3.17921558580779e-10,0.0256777570374539,1513.24472667597
"90",4451,0.00416176446826349,2.58248462209529e-10,0.0134883846760276,1800
"91",4501,0.0587500780420023,3.13996574801102e-09,0.0458850827126203,1296.97539130197
"92",4551,0.0076736628709594,5.69876860190089e-10,0.0201132917967282,1800
"93",4601,0.00472834019396198,3.67291132187432e-09,0.0181460883540203,1800
"94",4651,0.0058025282340238,6.44913454931996e-10,0.0175360481053695,1800
"95",4701,0.00417004867284522,7.94633951571591e-11,0.0123526770757316,1800
"96",4751,0.012440304583893,1.93094070158247e-10,0.0400032996643179,1800
"97",4801,0.0007961283380081,4.96142804795658e-12,0.00249523285983966,1800
"98",4851,0.000664135836676093,2.16048297693727e-10,0.00249534777241354,1344.35099543263
"99",4901,0.0020880065403788,1.40112383665588e-10,0.00683406568918935,1800
"100",4951,0.00109483569601507,2.16375072290742e-11,0.00341145985058071,1800
