"","Iteration","Pass.Stat.Int","Pvalue.Int","Pass.Preclim","Pvalue.Preclim","Pass.InvClim","Pvalue.InvClim","Pass.InvTime","Pvalue.InvTime","Pass.Halfwidth.Int","Ratio.Int.","Pass.Halfwidth.Preclim","Ratio.Preclim","Pass.Halfwidth.InvClim","Ratio.InvClim","Pass.Halfwidth.InvTime","Ratio.InvTime"
"1",1,1,0.734798343844531,1,0.541311871637704,1,0.540652060421331,1,0.804452829168699,1,-0.0142468745644693,0,-0.413734584888621,0,0.254886899170219,0,-1.01031740561619
"2",51,1,0.420344955487953,1,0.0728504965104249,1,0.4956235666497,1,0.757970050858018,1,-0.0266173335969579,0,-0.303162263343367,0,0.922823415821985,0,0.509229340885949
"3",101,1,0.335574939412007,1,0.480877843443099,1,0.214184995374304,1,0.539256645029567,1,-0.0144671784306912,0,25.0444733806603,0,-0.51550953930068,0,-0.598101670592232
"4",151,1,0.818237839826261,1,0.686154647759963,1,0.157083212798607,1,0.657301023161311,1,-0.028538037756057,0,0.415113785919716,0,-0.601454576547896,0,-0.756676571320585
"5",201,1,0.622706852489251,1,0.513946849337826,1,0.556847505180633,1,0.639181112215481,1,-0.0093529092826522,0,-1.56516974590128,0,0.429331361969992,0,-0.798477393110234
"6",251,1,0.443422189169219,1,0.717075202243063,1,0.170648677865003,1,0.65419441257615,1,-0.0117383487622978,0,-2.25243383431919,0,1.94998016026767,0,-0.761769782778114
"7",301,1,0.495068346038267,1,0.81873048630367,1,0.359632636237562,1,0.399549793598616,1,-0.0211281753985267,0,-0.854088158024842,0,0.36482716209841,0,-0.231278700176717
"8",351,1,0.49876303015377,1,0.183676483628834,1,0.545005041638808,1,0.730824015836164,1,-0.0398248322509867,0,1.71991488360581,0,-0.440621659137443,0,-2.2082816392367
"9",401,1,0.38559857223843,1,0.182294842872409,1,0.436480483002398,1,0.235027313785071,1,-0.032622760463835,0,-1.76384871535469,0,0.983930585121068,0,-0.583625613018905
"10",451,1,0.450075319882709,1,0.202750017496824,1,0.272622861159375,1,0.158932842354139,1,-0.0226110317792586,0,0.220976113517076,0,-0.403277696914649,0,0.703277705403067
"11",501,1,0.708191109956249,1,0.666903442042003,1,0.695877681010899,1,0.462142720984098,1,-0.0281458857893812,0,-3.19065260605362,0,0.410033065058466,0,-2.67572883152944
"12",551,1,0.900956833621395,1,0.0879672865208485,1,0.367806284264041,1,0.0634743710259982,1,-0.0196139399601974,0,1.92837911910938,0,4.36026595140781,0,-0.976029167112594
"13",601,1,0.73676334632363,1,0.631723519226857,1,0.258992624820877,1,0.183701780429314,1,-0.0147003819534786,0,-0.850662581477172,0,0.570938587526456,0,-2.19215793074089
"14",651,1,0.422375789000872,1,0.932829641467492,1,0.843641397171851,1,0.572841674263209,1,-0.0167472454841737,0,1.01676500602643,0,-0.296876385672973,0,0.412314046063071
"15",701,1,0.502272113527671,1,0.148261263782322,1,0.763961641513176,1,0.709434916615266,1,-0.0231675640878917,0,-0.289766101623897,0,0.526092059855201,0,0.319080430515573
"16",751,1,0.352210614433666,1,0.333141244232751,1,0.388169410195535,1,0.728918194010026,1,-0.0171064826187312,0,1.12212976255777,0,-0.260517412999776,0,0.484345732339174
"17",801,1,0.259129543310372,1,0.640791690296114,1,0.593193958129374,1,0.893815682874857,1,-0.0506997480199261,0,0.556826766478383,0,-0.580807272610871,0,1.33519357385504
