"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,0.0474320251848548,9.34028209517876e-12,0.0893110292422499,646.354667990346
"2",51,0.0822411499088415,1.04814702811269e-09,0.242718479594197,784.156826722461
"3",101,0.0376360136864438,9.14159668330845e-10,0.0604038008221464,1800
"4",151,0.0152296577269284,5.29823942841631e-11,0.0212683669042399,1800
"5",201,0.0221526021181855,4.3672876191942e-13,0.0501364256173417,1285.48674992011
"6",251,0.00223590869234208,9.04403019616643e-11,0.00308207468579375,1675.94212614648
"7",301,0.0831182747838827,4.70855315571326e-09,0.230184510318689,1505.80405913939
"8",351,0.0908149884054004,1.14485776934168e-09,0.141930241535058,462.627079058755
"9",401,0.171733296884571,2.89582524702159e-09,0.577801471034232,839.962720190918
"10",451,0.0280192196136674,2.22696099503644e-11,0.0647442834896224,384.585489069077
"11",501,0.0629068590877096,8.85917964218176e-09,0.197444117788041,1131.67326029349
"12",551,0.0922571347994641,1.32573750359882e-11,0.173928427618743,414.280922325066
"13",601,0.0019871055992708,1.05374606523828e-12,0.00346333069866539,1800
"14",651,0.025780540740556,6.13145926984885e-10,0.0727759472830722,607.370567517754
"15",701,0.0498869425049907,1.12578354143111e-09,0.114182933930162,622.371209316523
"16",751,0.012409604096046,3.91841915301564e-10,0.0457331811506921,931.891903562825
"17",801,0.0467442396096669,2.51293956348323e-09,0.112982415336712,591.358503372925
"18",851,0.0515607755303427,7.84623388252901e-12,0.200809632355103,118.269517281822
"19",901,0.0274840952734386,7.66938617218115e-11,0.054799122083299,1800
"20",951,0.0888305661608041,8.51207417326055e-10,0.296353057056495,745.038388322676
"21",1001,0.0240784970603697,4.62834753845555e-09,0.0795318856683805,719.084694029762
"22",1051,0.00775593639424814,3.12002087484145e-11,0.0227486682048469,869.142658171112
"23",1101,0.0256867990958388,1.05104979637467e-09,0.0616761687057485,1040.01074958928
"24",1151,0.135703870272163,2.3489734392225e-10,0.105147185367857,1634.93656404005
"25",1201,0.0394872703386769,8.21130594352725e-10,0.107846487710937,1032.33951124881
"26",1251,0.04318387610553,2.91665670881304e-09,0.1399646285075,765.68842691687
"27",1301,0.0745746021206585,8.032423463996e-11,0.0699875861471531,1515.83773222822
"28",1351,0.212521566902122,2.89959733757122e-09,0.244309338217272,1501.51498673192
"29",1401,0.0248291178290765,5.66502567394287e-12,0.0174539171412151,149.764003048502
"30",1451,0.103577232811927,2.93014749847589e-10,0.160036765088174,1800
"31",1501,0.0159428617283512,3.80700424028574e-10,0.0455269889293465,393.891095013523
"32",1551,0.0255632526583528,7.58952885743643e-11,0.0620895924720291,832.666907597669
"33",1601,0.138109151897162,3.63881731839289e-08,0.301663965393932,439.236857296167
"34",1651,0.00270609020627144,6.90630067605588e-11,0.00766141052737438,545.703506842414
"35",1701,0.0228954809384643,9.51105040054271e-13,0.0137648581186661,146.72355004912
"36",1751,0.0385949247589264,3.52699668437573e-10,0.113032116613346,512.489092696542
"37",1801,0.0174759635669135,1.8819656813864e-09,0.0490838766753332,553.082081943035
"38",1851,0.0188426052823373,1.22298297490689e-11,0.042802588260928,1526.61891395158
"39",1901,0.144345948539399,2.80558578826178e-09,0.453781761245877,1246.40131276831
"40",1951,0.0703806298944524,2.03332362677522e-09,0.148535181301437,677.266358640037
"41",2001,0.0475665922161107,2.37458075507459e-09,0.0494108942163023,1231.55315622243
