"","Iteration","Pass.Stat.Int","Pvalue.Int","Pass.Preclim","Pvalue.Preclim","Pass.InvClim","Pvalue.InvClim","Pass.InvTime","Pvalue.InvTime","Pass.Halfwidth.Int","Ratio.Int.","Pass.Halfwidth.Preclim","Ratio.Preclim","Pass.Halfwidth.InvClim","Ratio.InvClim","Pass.Halfwidth.InvTime","Ratio.InvTime"
"1",1,1,0.849676257377533,1,0.405390429151311,1,0.219309413949238,1,0.805933711518469,1,-0.0139473463976525,0,0.121759060879537,0,-0.211593122626616,0,0.469961476836195
"2",51,1,0.784061683876897,1,0.552717326638018,1,0.416848377006959,1,0.446387301484847,1,-0.00666206192546069,0,0.140093783028503,0,-0.246674365284179,0,-0.608106011433363
"3",101,1,0.683509091371428,1,0.0847480917556973,1,0.556094973273648,1,0.0939607928741156,1,-0.00842333458244237,0,-0.103002406773834,0,0.204408629895604,0,19.5936134347521
"4",151,1,0.949163430575125,1,0.265647699601359,1,0.425427650284915,1,0.275559640645753,1,-0.00371695550393775,0,0.427164801378078,0,-0.275200421422125,0,-0.218826556772613
"5",201,1,0.915303143094742,1,0.170201333399732,1,0.229933459357548,1,0.891188584651012,1,-0.00603455064245395,0,0.117852798615649,1,0.0821491812967045,0,0.564442384674221
"6",251,1,0.890692974611966,1,0.826387363116712,1,0.256414889075997,1,0.61722735136457,1,-0.00512989189529431,0,0.181860097704329,0,-0.19089716568531,0,-12.4616040583934
"7",301,1,0.994630000601039,1,0.523786838334271,1,0.654618468398382,1,0.793642866338705,1,-0.00854012307207602,1,-0.0824266232475059,1,0.0724913168380147,0,0.186747281186837
"8",351,1,0.940817311381411,1,0.314393351359668,1,0.459009443213297,1,0.661153972005983,1,-0.0161884242814975,0,4.47281805490544,0,0.17092517756452,0,-0.127312961036248
"9",401,1,0.704867289611977,1,0.684437895631153,1,0.212946938995369,1,0.458030535282517,1,-0.00576832347939779,0,0.260182997681917,0,-0.720766113993871,0,0.265135107024833
"10",451,1,0.939280670221105,1,0.340130499902939,1,0.268800642670194,1,0.75797144037138,1,-0.00476481476111084,0,0.189950727039027,0,-0.244067359638117,0,0.265687740034937
"11",501,1,0.917601549570428,1,0.417997133155271,1,0.597526652197919,1,0.549941903358089,1,-0.00465719840986777,0,-0.129722325776276,1,0.084643946050338,0,-0.261925768715478
"12",551,1,0.992491914565882,1,0.181597340132513,1,0.628156596715758,1,0.765573939584046,1,-0.0029436360851586,0,-0.16441763518586,0,0.234891779969833,0,-0.172296417781666
