"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,-0.00575434137306912,-0.00849545781966299,-0.00278233495191671,1800,0.0177777777777778
"2",51,-0.00904500604411832,-0.0113850960333366,-0.00683431608194951,1940.36087579395,0.00222222222222222
"3",101,-0.0299762578847483,-0.0378533169714501,-0.0223639445903245,1205.93995672887,0.00555555555555556
"4",151,-0.0182004676415779,-0.020675016741734,-0.0157552394812228,1800,0.00111111111111111
"5",201,-0.0278164038559697,-0.0340088794037001,-0.0219104567440809,1655.45920792632,0.00111111111111111
"6",251,-0.0135748409280401,-0.0161986596067436,-0.0108651799091604,2366.12140629635,0.00333333333333333
"7",301,-0.0119455000313431,-0.0154744136452791,-0.00813239176932257,1800,0.00444444444444444
"8",351,-0.00697134887738763,-0.0108936939650448,-0.00301166754070437,1975.51132216505,0.0222222222222222
"9",401,-0.0105940459713692,-0.0129586406255839,-0.0082924405214726,2330.96046788049,0.00555555555555556
"10",451,-0.0137126380075231,-0.0158859890361782,-0.0111134541439242,1800,0.00111111111111111
"11",501,-0.0240675420758096,-0.0283702973247273,-0.0200767720962176,1951.02082732836,0.00111111111111111
"12",551,-0.0261292781395812,-0.02887077628111,-0.0232844441488851,1950.72821896938,0.000555555555555556
"13",601,-0.0230390699025346,-0.0266836107148265,-0.0191394806079188,1946.13722307189,0.00111111111111111
"14",651,-0.0187570569107585,-0.0212831526296213,-0.0162507368841034,2263.61520687537,0.00111111111111111
"15",701,-0.027031371268021,-0.0315025424788473,-0.0222812467691256,1800,0.00111111111111111
"16",751,-0.0295944745827972,-0.0339466878795065,-0.0247298629547004,2090.5796031799,0.000555555555555556
"17",801,-0.0194574014558877,-0.0221473971541855,-0.0167763484787429,1800,0.000555555555555556
"18",851,-0.0275957085791507,-0.0363349100553023,-0.0177147028516629,1800,0.00888888888888889
"19",901,-0.0265145304425491,-0.0355331105965888,-0.0179560809501709,1800,0.00666666666666667
"20",951,-0.0331731253813508,-0.0363867654814385,-0.0295051275606966,1800,0.000555555555555556
"21",1001,-0.0239805432256147,-0.0277282044844469,-0.0203391370014288,1800,0.00111111111111111
"22",1051,-0.0327487359787012,-0.0380044270277722,-0.0271647783029039,2416.61709212993,0.00111111111111111
"23",1101,-0.0412543732830897,-0.0467772018600954,-0.0351724794018082,1959.85005029532,0.000555555555555556
"24",1151,-0.0224632741993631,-0.026119392394321,-0.0182723333491595,1800,0.000555555555555556
"25",1201,-0.0261284727955652,-0.0292904354864731,-0.0228032292216085,1976.72749456584,0.000555555555555556
"26",1251,-0.021949496105111,-0.0298724124440923,-0.0152642824041322,1800,0.00777777777777778
"27",1301,-0.0171776611302353,-0.0217012115826947,-0.0124448662681971,1800,0.00777777777777778
"28",1351,-0.0219105483966014,-0.0250123445875943,-0.0187319657516127,2015.78329202366,0.000555555555555556
"29",1401,-0.0150356992729293,-0.0208303702165722,-0.00962122817145428,1800,0.00666666666666667
"30",1451,-0.021474265206386,-0.0319325585733168,-0.00983661177451722,1800,0.02
"31",1501,-0.0220602893133517,-0.0244543968437938,-0.0195802873931825,1800,0.000555555555555556
"32",1551,-0.0280238107102752,-0.0308862525271252,-0.0248012704832945,1930.39544326536,0.000555555555555556
"33",1601,-0.0117421416752725,-0.0144902203464881,-0.00885951244890748,2026.56238760913,0.00555555555555556
"34",1651,-0.0337648894486584,-0.0389346092633787,-0.0294311808611383,1800,0.000555555555555556
"35",1701,-0.0246958453111319,-0.0271130984692718,-0.0223707119002938,1800,0.000555555555555556
"36",1751,-0.00834461544778836,-0.0114664248249028,-0.00517878757091239,1800,0.00666666666666667
"37",1801,-0.0279181726950746,-0.0307806520795566,-0.0251079066365492,1941.30250359938,0.000555555555555556
"38",1851,-0.0196767526313063,-0.0252016586018726,-0.0136600158439251,1800,0.00555555555555556
"39",1901,-0.0190674588845916,-0.0230489237874281,-0.0153864837338915,1800,0.00111111111111111
"40",1951,-2.26372029767516e-05,-0.00785054868265433,0.00697963770653587,1800,0.982222222222222
"41",2001,-0.0332047909999995,-0.0363009037537267,-0.0296512614149833,1800,0.000555555555555556
"42",2051,-0.0173684988226015,-0.0197169091261458,-0.0149979979883028,1800,0.000555555555555556
"43",2101,-0.0212021328138576,-0.039271286696021,-0.0063439030200243,1516.74574531096,0.0377777777777778
"44",2151,-0.0227441793576715,-0.0299012198665878,-0.0159737132198643,1800,0.00444444444444444
"45",2201,-0.0306633671939006,-0.0341806952637853,-0.0272902102551598,1800,0.000555555555555556
"46",2251,-0.0314420121421899,-0.03410562368299,-0.0284608132351423,1800,0.000555555555555556
"47",2301,-0.0282873497193616,-0.0376986542833038,-0.0206685850862414,2311.39880059271,0.00555555555555556
"48",2351,-0.0325415192809511,-0.0353071179379185,-0.0297637910625781,2365.75162986123,0.000555555555555556
"49",2401,-0.027149716261918,-0.0327995082479902,-0.0208958933653776,1800,0.00222222222222222
"50",2451,-0.0317873093394112,-0.0377950749498268,-0.0262843417003751,1942.96283010037,0.00222222222222222
"51",2501,-0.0187431089239672,-0.0216719730669865,-0.0160511922877049,2004.28259019946,0.00111111111111111
"52",2551,-0.0149588943936585,-0.0278317016782239,-0.00496959183510626,1066.40385776217,0.0333333333333333
"53",2601,-0.0165967209456972,-0.019524546325556,-0.0132417951826937,1800,0.00222222222222222
"54",2651,-0.0297530555375704,-0.0389723918669915,-0.0223292782366116,1983.0512071497,0.00555555555555556
"55",2701,-0.00623946375005678,-0.0103440162456536,-0.00230547486717114,2221.73821961573,0.0222222222222222
"56",2751,-0.019509318789869,-0.0223838765523396,-0.0166541032504028,1978.48329697053,0.00111111111111111
"57",2801,-0.0246394281354303,-0.0320304697088432,-0.0166503289947286,1800,0.01
"58",2851,-0.0343988957687722,-0.0380469688825542,-0.0305673758120975,1800,0.000555555555555556
"59",2901,-0.0173653237044363,-0.0223101991869044,-0.0123767488839803,1800,0.00777777777777778
"60",2951,-0.0129139818096489,-0.0151603777194396,-0.0106062879131059,1800,0.00111111111111111
"61",3001,-0.0352509274592944,-0.0425782964157406,-0.0269571875105612,2076.39458698593,0.00333333333333333
"62",3051,-0.000608490290435447,-0.00325681921094656,0.00180699842894683,2399.60305840937,0.51
"63",3101,-0.021984419913122,-0.0290715637493122,-0.0151638864772394,1800,0.00666666666666667
"64",3151,-0.0314040470959084,-0.0353236869414104,-0.0268275323614944,1800,0.000555555555555556
"65",3201,-0.0241758962742078,-0.026879461875069,-0.021796366898343,1962.31202692283,0.000555555555555556
"66",3251,-0.0199570006496324,-0.02253946379642,-0.0171823255950585,1974.12193666046,0.00111111111111111
"67",3301,-0.0265083871318832,-0.0287629584781826,-0.0242807390459348,1800,0.000555555555555556
"68",3351,-0.0217926416140897,-0.0260091020245454,-0.0180044488388376,2121.57335768054,0.00111111111111111
"69",3401,-0.0147435544703948,-0.018357462802669,-0.0112477601360297,1800,0.00333333333333333
"70",3451,-0.0168012418866801,-0.0220631213742308,-0.0116123486077413,1936.52477359286,0.00888888888888889
"71",3501,-0.0174265888713872,-0.0203276052343426,-0.0146478586975718,2056.1312128364,0.00111111111111111
"72",3551,-0.0199664497887702,-0.0236463321198244,-0.0157895760530664,1800,0.00222222222222222
"73",3601,-0.0269527068686036,-0.0295710394675552,-0.0243296650623961,1800,0.000555555555555556
"74",3651,-0.0239462809297481,-0.0279387435075478,-0.0199406085339433,2008.1057992892,0.00111111111111111
"75",3701,-0.0293812710092686,-0.0321277927287156,-0.0267107491818024,1952.24497682446,0.000555555555555556
"76",3751,-0.0363415143859832,-0.0404113571421476,-0.0330057223218319,1800,0.000555555555555556
"77",3801,-0.0290085687661587,-0.0313057182065677,-0.026762902448354,1800,0.000555555555555556
"78",3851,-0.0249003876012029,-0.0303512300888542,-0.0200132121535717,2343.68563627064,0.00444444444444444
"79",3901,-0.033437973146721,-0.0369456866255859,-0.0293597708659945,1800,0.000555555555555556
"80",3951,-0.00889388021630323,-0.0151903294899967,-0.00179305777419358,1800,0.0311111111111111
"81",4001,-0.0349573552452757,-0.0391183636456844,-0.0309585457580397,1800,0.000555555555555556
"82",4051,-0.0151254795349786,-0.0182603128923802,-0.0123911954869982,1942.20477026207,0.00222222222222222
"83",4101,-0.0241716155383622,-0.0307204089112929,-0.0169379138096701,2272.58944508066,0.00666666666666667
"84",4151,-0.0177240784772355,-0.0202863407612313,-0.0155176838161424,1800,0.000555555555555556
"85",4201,-0.010805658858139,-0.0135357075903357,-0.00835044632549398,1964.94847879246,0.00444444444444444
"86",4251,-0.0309352308681238,-0.0345958087127656,-0.0273747823084705,2009.72324377333,0.00111111111111111
"87",4301,-0.0136198874213117,-0.0164467693830375,-0.01074114072253,1800,0.00111111111111111
