"","Iteration","Species","Units"
"1",1,-3.90695774700696e-07,3.81633538004091e-05
"2",51,-2.13434001747559e-07,3.01567775246514e-05
"3",101,-2.91905926386197e-06,0.000119212681695977
"4",151,1.84198661105025e-06,3.55372239360251e-05
"5",201,-1.7671228992881e-06,8.55269958535368e-05
"6",251,-3.29525767570065e-07,4.2627119287067e-05
"7",301,-5.86574554684929e-07,6.29030926020488e-05
"8",351,-7.2592474225418e-07,8.49237504148422e-05
"9",401,-2.08707246789033e-07,3.42312208943131e-05
"10",451,-2.41079182364133e-07,3.12533771174589e-05
"11",501,-7.90326331905475e-07,6.03578815652294e-05
"12",551,-3.39269711293588e-07,3.60984839628574e-05
"13",601,-5.94202984569562e-07,9.11111201905385e-05
"14",651,-2.71112807574276e-07,3.93499576687356e-05
"15",701,-9.85735463961033e-07,0.000101786703112547
"16",751,-1.09903202537551e-06,5.44138705964607e-05
"17",801,-2.98931997572665e-07,4.14537197953473e-05
"18",851,-4.31013563663291e-06,0.00042446932334683
"19",901,-3.58998066572519e-06,0.000175877229879162
"20",951,-4.92066650976753e-07,6.30362808928714e-05
"21",1001,5.00553015018215e-06,8.21773930180569e-05
"22",1051,-1.21200001732656e-06,0.000158145004842954
"23",1101,-1.71677204917539e-06,9.47802055707675e-05
"24",1151,-7.3121910184853e-07,5.67002373474055e-05
"25",1201,-4.41251075957191e-07,5.38496439932394e-05
"26",1251,-2.88097497948407e-06,0.000176487122486542
"27",1301,-9.89436763109028e-07,0.000107664574531456
"28",1351,-4.16123702629999e-07,5.72613134819044e-05
"29",1401,-1.68854878951371e-06,7.5108022107316e-05
"30",1451,-6.08333297797176e-06,0.000349635943437655
"31",1501,1.5029109364246e-06,3.4923871069679e-05
"32",1551,-4.19716640849795e-07,5.35392312822386e-05
"33",1601,-3.59880762246738e-07,4.29003780135283e-05
"34",1651,-1.0791106380844e-06,5.74641901736209e-05
"35",1701,-2.42600284037283e-07,3.10512078987934e-05
"36",1751,-5.41464388664512e-07,3.96130009664673e-05
"37",1801,-3.12388962002916e-07,5.24334061225666e-05
"38",1851,-1.61576630387339e-06,0.000166022052594713
"39",1901,-6.36232040759745e-07,6.23316723795266e-05
"40",1951,-2.84332873114479e-06,0.000175168236238169
"41",2001,-4.81489702450736e-07,4.58558087141831e-05
"42",2051,-2.3003752356441e-07,3.08073751142824e-05
"43",2101,-1.48661440627404e-05,0.000232138708302195
"44",2151,1.74287051552251e-05,0.00012375767601005
"45",2201,-6.19259527321847e-07,5.48498230983244e-05
"46",2251,2.8469686532482e-06,4.09572460659765e-05
"47",2301,-2.65233865124066e-06,0.000461616810215654
"48",2351,-3.10412367788363e-07,4.74427547133103e-05
"49",2401,-1.48662336827929e-06,0.000214482480051321
"50",2451,-1.58877616406545e-06,0.000135170538809542
"51",2501,-3.32778949331862e-07,4.65434604386175e-05
"52",2551,-5.84955639409152e-06,0.000246450023342591
"53",2601,-4.47061966523276e-07,5.12738499237849e-05
"54",2651,-3.47215617531376e-06,0.000268071410695705
"55",2701,-8.21374535800853e-07,5.00866588727393e-05
"56",2751,-3.80585545026781e-07,3.60940427772601e-05
"57",2801,-2.64212858865197e-06,0.000251520191371762
"58",2851,-5.99529060543806e-07,7.34746617085865e-05
"59",2901,-1.08304111905703e-06,0.000151053243265334
"60",2951,1.15638151287813e-06,3.16244533093927e-05
"61",3001,-3.08345349180221e-06,0.00026356874567669
"62",3051,-2.51461884181946e-07,4.1089277823472e-05
"63",3101,-2.07107910329536e-06,0.000292209125020353
"64",3151,-9.40681555670015e-07,7.19320927121721e-05
"65",3201,-2.60524650651714e-07,3.33276562007683e-05
"66",3251,-2.93139594145693e-07,3.49057307359263e-05
"67",3301,1.19272559701466e-06,3.04362634416324e-05
"68",3351,-6.97185318146274e-07,5.38071715471161e-05
"69",3401,-6.72249449049789e-07,6.18268843237807e-05
"70",3451,-1.10561993565812e-06,0.00015512721908891
"71",3501,-3.62167375352822e-07,4.79872447518578e-05
"72",3551,-7.32869501064296e-07,8.02884323615866e-05
"73",3601,2.20512587039766e-06,4.20816980044512e-05
