"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,4.06712378014755e-05,2.75925524114772e-05,5.51883992669643e-05,1940.38652107572
"2",51,3.32016628251919e-05,2.2237721741355e-05,4.4736727572162e-05,1935.50101196299
"3",101,0.000128030907238084,8.84092919031075e-05,0.000176587709175128,1943.2168028301
"4",151,3.80732690639631e-05,2.55228177696262e-05,5.12049625989878e-05,1943.87283217163
"5",201,9.17013361060775e-05,5.96454459110172e-05,0.000122696528415683,1944.08307288285
"6",251,4.36357355695582e-05,2.93764605030482e-05,5.88947810548908e-05,1936.9155524167
"7",301,6.65954951959026e-05,4.39330637220754e-05,8.91382588643755e-05,1942.66778621838
"8",351,9.37901241364182e-05,6.368601633632e-05,0.000127730088180576,1937.82577139995
"9",401,3.51862050805724e-05,2.34955585179102e-05,4.739442652867e-05,1939.2537885758
"10",451,3.4504436000859e-05,2.31051535387176e-05,4.6482207613601e-05,1938.51800056216
"11",501,6.3268551785016e-05,4.23689258880795e-05,8.54727401163552e-05,1948.93376524607
"12",551,3.90176804404084e-05,2.64233844423782e-05,5.28652514265273e-05,1943.59270865181
"13",601,9.85308080462512e-05,6.56993961706312e-05,0.000132884376066021,1940.39398905339
"14",651,4.25021744170705e-05,2.84717261291268e-05,5.73553341390469e-05,1942.66064000393
"15",701,0.000108573683055956,7.13560536633653e-05,0.000145202379655377,1952.93867719946
"16",751,5.91284006665338e-05,3.93771610620081e-05,7.9427124159538e-05,1937.963806848
"17",801,4.1526228492579e-05,2.75402878969153e-05,5.57177530916081e-05,1938.85194764183
"18",851,0.000453004253278281,0.000298694370235899,0.000604816525601994,1946.85439186587
"19",901,0.000189328245679694,0.000122491286242538,0.000252404046367118,1956.19027814783
"20",951,6.75423895967125e-05,4.5365592898372e-05,9.11583471061645e-05,1951.04974820805
"21",1001,8.77731188034649e-05,5.88703075625226e-05,0.000118571545875281,1946.85207222347
"22",1051,0.000168633862121507,0.000111865350836202,0.000225189068412217,1948.12272196523
"23",1101,0.000101491391077302,6.80381455072601e-05,0.00013709427153477,1927.68117839505
"24",1151,6.03527939001247e-05,4.02521899139137e-05,8.15861407525708e-05,1941.43466397055
"25",1201,5.78309916273426e-05,3.88451888575203e-05,7.75787262532846e-05,1951.86955348422
"26",1251,0.00019073200908467,0.00013081299827076,0.000259780176442169,1944.86635439853
"27",1301,0.000114296761280495,7.52787851182041e-05,0.000153200914247084,1952.90229966506
"28",1351,6.30377577676289e-05,4.24763344886712e-05,8.50232265482486e-05,1931.30398714131
"29",1401,7.5620997705238e-05,5.22893030879578e-05,0.000103962145993647,1800
"30",1451,0.000367536217530044,0.00024445938373551,0.000493872211108949,1947.4102747526
