"","Iteration","lowerInt","upperInt","lPreClim","uPreClim","lInvClim","uInvClim","lInvTime","uInvTime","lSpecies","uSpecies","lAbSpec","uAbSpec","lUnits","uUnits"
"1",1,-0.0173314665153157,0.00641349139914382,-0.0116778780356981,0.0143825374252629,-0.0129752619250212,0.0116031303768978,-0.0126287792809308,0.0114642517874017,7.73006827600895e-12,0.000634716368477459,8.45954911250662e-12,0.000544750726011028,2.84114165819988e-05,5.6147928290898e-05
"2",51,-0.0178148026752751,0.00032287561771227,-0.00907744979485869,0.0120022648734448,-0.00916393005172722,0.00933674082443758,-0.00988190450880211,0.00894077287921391,1.31597454578267e-12,0.000350900163244297,1.49018059194974e-13,0.000353417666375581,2.32433144740207e-05,4.59665355871238e-05
"3",101,-0.0681648558165762,0.0107271419692552,-0.067363358597504,0.0269606316869613,-0.0392457830748754,0.0317369410186075,-0.0342257795255136,0.037374504681793,9.20651411931593e-11,0.00505632730664464,1.61661654865489e-12,0.00662576364332504,8.82839918472485e-05,0.000175966430390244
"4",151,-0.034704268706264,-0.00809802502044477,-0.0147310495740385,0.0144893052638508,-0.0118304958450608,0.0155186682823114,-0.0143998357816599,0.011956938658841,1.35582446418729e-11,0.000860480783965696,3.52376945647445e-11,0.000713875629020507,2.64250312159213e-05,5.24466956285854e-05
"5",201,-0.0583950965265103,-0.00418822400388308,-0.0302926038566511,0.0367365776892257,-0.0219860037468607,0.0299269566021394,-0.0305061299550289,0.0244145397246029,5.37308618611916e-11,0.0030010338658861,1.02996711308123e-11,0.00302039951243042,6.26809239526131e-05,0.000125172998144488
"6",251,-0.0260601202535327,-0.0023665554690524,-0.014597572007915,0.0127442757511744,-0.0128620969189797,0.0122699687763088,-0.0126563127560075,0.0107384320217534,2.08126449301368e-13,0.000636694836736283,6.02415481481279e-12,0.000582042326829931,3.09643958894972e-05,6.06910093742177e-05
"7",301,-0.0329297331918497,0.00176658655982465,-0.0223245049128309,0.0205491848755628,-0.014404442106752,0.0218751036300091,-0.0198167656199075,0.0181729072937742,5.1817609294195e-11,0.00136525454387309,1.49231168415002e-12,0.00131131156295343,4.40578412926623e-05,8.9490994005081e-05
"8",351,-0.0261375202971976,0.00728066440206021,-0.0220860769077262,0.0173118974853423,-0.0146657942677848,0.019838900778268,-0.0160730361239985,0.0160736560465011,3.44045773063035e-11,0.00130212910784438,7.20117934034031e-11,0.0010657110391534,6.46843791271895e-05,0.000128522661723397
"9",401,-0.0222643384404364,-0.0037758744583698,-0.0116396138764685,0.00906768370623467,-0.00943663361249492,0.00934847100143088,-0.00840054628497455,0.00945615187629301,3.47572300933897e-14,0.000324222225079444,8.81315140842725e-12,0.000335136829726597,2.45008348493135e-05,4.84514387688191e-05
"10",451,-0.0235304929374252,-0.00345638447470265,-0.0104384512978868,0.0112585709141513,-0.0102712693187641,0.0105085188924932,-0.00966857574530877,0.00948137410159688,2.36404953312254e-14,0.000421671575996014,3.28531375152625e-11,0.000386485887374459,2.42164324337093e-05,4.78869862282247e-05
"11",501,-0.0441045104780642,-0.00677060101588722,-0.0234578313975362,0.0202689052966889,-0.0208282872190466,0.0196847546612844,-0.0184293763450114,0.0207859539368656,4.64021200910226e-12,0.0015398003135379,6.10409753015227e-13,0.00174644670845134,4.12934019212753e-05,8.44407703807616e-05
"12",551,-0.0392467083511292,-0.0133713189570699,-0.0165790090250084,0.0124372304126155,-0.0144378387922188,0.0128621680196375,-0.0120210258464795,0.0128985417250078,3.93630560026847e-12,0.000690509662899712,2.94400202831547e-11,0.00071916266608309,2.57735958397812e-05,5.21756987104692e-05
"13",601,-0.0489763037039666,0.0106194605614292,-0.0404252024891321,0.02913540420559,-0.0276233669210342,0.029928722538898,-0.0364447929969174,0.0254741944954731,1.90203061753055e-10,0.00488166834425465,2.19550023569925e-11,0.00383045557605023,6.80826083263146e-05,0.000135432497717069
"14",651,-0.0336336215768824,-0.00937820774015563,-0.0138014540425502,0.0122109744661429,-0.0116265841643326,0.0128659506444819,-0.0118040494853631,0.0101965893045417,3.13850969169234e-11,0.000777449190912466,5.60618168481711e-12,0.000559682165009488,2.95488839869056e-05,5.84707853458358e-05
"15",701,-0.0467516073622392,-0.00740642813616432,-0.0219432438898366,0.0256373461597832,-0.0197036614408717,0.0222589474942652,-0.0209289921040181,0.0183770100629772,8.25461228891266e-11,0.00182048999006935,1.60068380496469e-13,0.00167175898921183,7.08156373589344e-05,0.000145271787466956
"16",751,-0.0478199231438339,-0.0110793030471541,-0.0193578732341848,0.0180171629763208,-0.0186347991257207,0.0139527737628669,-0.0188683519954793,0.0149505216249963,8.13919936121572e-13,0.00112735916599032,6.84811143378903e-12,0.00117577210799809,4.07015374323928e-05,8.0799806006823e-05
"17",801,-0.0325858734213398,-0.00801148102618754,-0.0134656500740675,0.0147880789882038,-0.012343707785476,0.0129198025824735,-0.0124102898116689,0.0120399520965293,6.55302875247875e-11,0.000685446636689094,2.26133544182281e-12,0.000638462573517396,2.74805029077679e-05,5.59592010108981e-05
"18",851,-0.13818850905227,0.0522074314394558,-0.114175277980394,0.104940897057531,-0.093643806874752,0.0769213380553992,-0.0861146399984136,0.115944058314199,3.52599876500331e-10,0.0478648700705844,4.0844682268359e-11,0.0425694789846907,0.000311360082370713,0.000621828634652469
"19",901,-0.0714416296832496,0.00969827314838767,-0.0424472315062303,0.0387443035565411,-0.0425921274872962,0.0367669112165459,-0.0350994100153912,0.0396019324234658,5.66868169728923e-10,0.00462334497777852,7.37540630802284e-10,0.00759797453579459,0.000130799116406843,0.000260673196043833
"20",951,-0.0491447602762491,-0.0176806016024784,-0.0190441787417512,0.0155312224051158,-0.0151268906629412,0.0180731045047651,-0.0183237906021532,0.012287988341086,3.17314535772172e-12,0.00103099870920359,1.94483104000257e-11,0.00102071139762416,4.61866576366369e-05,9.23282798942317e-05
"21",1001,-0.0424620591766143,-0.00798568190657534,-0.0210887985813315,0.0193200623325538,-0.0134249461698346,0.0210200044384692,-0.0214617799574626,0.0130851504800376,4.99434688396921e-12,0.00132996588045145,6.07102463548131e-13,0.00123509056794331,6.07245165661499e-05,0.00012048293596564
"22",1051,-0.0649446611932945,-0.00673233476118185,-0.0341874870209722,0.0295478405460017,-0.0195495765779015,0.0383650929143187,-0.0247959869448096,0.0303918850549962,7.21172411827140e-11,0.00352525407253475,2.69875869398811e-12,0.00339357550858192,0.000116900749121251,0.000231120135574436
"23",1101,-0.0683924487821059,-0.000114804657641798,-0.0398298465297557,0.0328060448409815,-0.0310422555630794,0.0307749196363147,-0.0356251640696428,0.0277763537014835,1.98331047749157e-11,0.00524895097660408,2.65188753599916e-10,0.00469714260967316,7.06059922695401e-05,0.000139365832036998
"24",1151,-0.0387098170540412,-0.0058057302958332,-0.0152760879718699,0.0236039111114223,-0.0156892335799057,0.0169708458997775,-0.0176030600705417,0.0170708946552622,6.14696161268583e-12,0.0014809725481736,1.74033635329657e-11,0.00115756285260859,4.02736164258922e-05,8.10369540347896e-05
