"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,5.76429638699442e-05,1.02525065982583e-11,0.000191023432557776,1604.56844982117
"2",51,0.000193759170562819,4.70139240258366e-12,0.000471215788120257,1800
"3",101,3.87825335674456e-05,2.07887939246211e-16,9.22515497084404e-05,1800
"4",151,1.73404771595286e-05,6.13999721743581e-14,5.75097070582902e-05,1800
"5",201,3.92468125343661e-05,6.60499008834732e-12,0.000126989912590107,1800
"6",251,0.00036991889841672,9.22230214249182e-12,0.000269676861553875,359.001627493558
"7",301,0.000132724237535919,1.09683314827294e-10,0.000288881788968449,1800
"8",351,3.34737497115208e-05,2.87768605262471e-12,9.25068168859072e-05,1800
"9",401,3.80743158937606e-05,1.24369950428268e-12,0.000119590568510637,1800
"10",451,1.60702445671315e-05,1.36982061787178e-13,4.24877976778375e-05,1335.3785298355
"11",501,1.17562856232673e-05,1.41252257860902e-11,4.16304151298005e-05,1800
"12",551,1.53179288935394e-05,3.65595019816602e-16,5.53678027221542e-05,1309.42263431524
"13",601,0.000338687397334355,1.85682178852336e-09,0.00100371128196002,1800
"14",651,1.07390244323145e-05,2.47026680101332e-13,3.32583892721484e-05,1307.9771133225
"15",701,2.04066990873898e-05,8.03785575458854e-12,6.06043451188327e-05,1800
"16",751,1.07426597896206e-05,9.42882070016871e-13,3.04444158652421e-05,1287.0520419121
"17",801,1.89135183014605e-05,2.68304723543675e-12,4.75166892701778e-05,1800
"18",851,1.259579918396e-05,2.60759706886309e-13,3.38249871551895e-05,1240.83836695125
"19",901,1.15622160199734e-05,7.97098072326268e-16,4.11795609764337e-05,1800
"20",951,1.74157485465156e-05,3.19045803506121e-13,5.75710826909888e-05,1800
"21",1001,2.65708677645317e-05,1.54604221172497e-12,5.47140939624929e-05,1800
"22",1051,1.23103563048023e-05,1.48097268810762e-12,4.40801218524454e-05,1800
"23",1101,0.000154957773291706,1.1051292896491e-10,0.000318148755233708,1800
"24",1151,0.000122686082182921,4.22056717250444e-14,5.50371899112745e-05,382.384181771422
"25",1201,1.01688952213411e-05,2.32386996828348e-13,3.42493649675072e-05,1800
"26",1251,6.80780376039115e-05,2.2092879538832e-11,0.000205895367336299,1800
"27",1301,2.73112462954515e-05,4.88500774491103e-11,6.40930221209368e-05,1800
"28",1351,0.000124438379142224,1.59601458181244e-12,0.000286978475400852,1800
"29",1401,2.83262215334019e-05,1.39279527329526e-11,9.58821205241725e-05,1572.59853040529
"30",1451,1.04133434851547e-05,1.46153159001201e-12,2.86751395346606e-05,1323.49698891778
"31",1501,4.33267808015292e-05,3.49696414078397e-12,0.000145921631553876,1800
"32",1551,1.43407844420679e-05,3.13818336502505e-12,5.16181620372549e-05,1800
"33",1601,1.13794825496433e-05,2.05535983541613e-12,3.75359489318956e-05,1330.71838722541
"34",1651,5.29865351347893e-05,3.4575784590129e-12,0.000155740148811807,1271.16692272853
"35",1701,1.20010052228079e-05,1.82331611137862e-13,3.80843098604765e-05,1159.20416793055
"36",1751,2.53865237104614e-05,2.79993106071918e-14,4.68075335365773e-05,1800
"37",1801,1.28918463622716e-05,2.90414739782723e-13,4.39266001083199e-05,1800
"38",1851,3.44236916895552e-05,9.20693061222106e-13,0.000111239636799056,1800
"39",1901,9.28253585916708e-05,4.59994879529339e-12,0.000271861332354371,1800
"40",1951,2.47805131102045e-05,1.64263760791252e-15,8.67844866851827e-05,1800
"41",2001,3.93534335308112e-05,5.91470371010021e-13,0.000122374358171417,1800
"42",2051,1.41836293127523e-05,2.86498617429147e-12,4.87592156461757e-05,1800
"43",2101,1.18233319285753e-05,6.44301022574434e-13,3.38582858010637e-05,1246.1577212244
"44",2151,8.98317960071964e-06,6.36721027662383e-14,3.00335813588022e-05,1799.99999999999
"45",2201,1.69319060340578e-05,5.06301807164389e-13,5.6621140807795e-05,1208.26511549808
"46",2251,0.000154810612514227,4.123421732314e-12,0.000363810018413942,1800
"47",2301,8.84177149254528e-06,1.65348034074957e-13,2.96852132314777e-05,1800
"48",2351,3.83808337492141e-05,1.09911785957655e-11,0.000130983576437469,1800
"49",2401,0.000128679965013526,5.06792258504735e-11,0.000261826229490421,1800
"50",2451,9.11145475867848e-05,1.69770918399142e-11,0.000284255649464159,1148.56853085358
"51",2501,7.85604599116354e-05,1.92617938029714e-14,0.000166881451213147,1800
"52",2551,0.000118371798467154,3.24585389250506e-11,0.000274266487352216,1408.36210561834
"53",2601,2.79889363994489e-05,4.77155818553724e-12,0.000103151841919989,1650.31948738295
"54",2651,4.82566127462186e-05,4.80401265556874e-12,0.000163350604493117,1800
"55",2701,0.00019492103666857,2.42723695039244e-12,0.000427831119243609,1800
"56",2751,4.39204380205217e-05,1.73762246267883e-13,0.000144630484410146,1581.83853363671
"57",2801,3.57713492433415e-05,7.86444470077948e-13,7.45492075717321e-05,1800
"58",2851,3.19282025262796e-05,3.98179747331615e-13,8.92901301758191e-05,1800
"59",2901,1.73755862286872e-05,1.58744263127947e-14,4.80088307118395e-05,1389.2785553971
"60",2951,1.12623612107737e-05,2.12797772182272e-12,3.3534559996032e-05,1255.44914604719
"61",3001,0.000385517062047418,3.35872369150066e-10,0.00100584616031174,1671.23738884291
"62",3051,7.22358052530319e-05,2.03715685682617e-12,0.000134210066742496,1800
"63",3101,6.00253843078101e-05,1.49684625166669e-12,0.000208282232125865,1589.34167838871
"64",3151,9.05151460614274e-05,1.95966908829162e-11,0.000188075713793644,1800
"65",3201,0.000104153510920253,1.98379863243221e-11,0.000194184608863019,1800
"66",3251,5.50981542710389e-05,6.96581318355459e-12,0.000137761208506663,1467.25076932593
"67",3301,1.02846059815152e-05,4.92128553481282e-13,2.90513686555147e-05,1316.99004588305
"68",3351,0.000203698441984224,1.81414872141817e-11,0.000441417735776305,1800
"69",3401,0.000288440899610137,3.01358103443596e-11,0.000639479664187656,1366.17522136467
"70",3451,0.00024319054385788,4.31176144981772e-11,0.000481621718519833,1800
"71",3501,7.41235978071404e-05,3.65618458499752e-11,9.64678061948719e-05,574.136125771276
"72",3551,0.000125208832882948,5.94688810445171e-11,0.000254778950750422,1800
"73",3601,1.88105371593431e-05,1.32858660171005e-12,4.32060931433252e-05,1800
"74",3651,0.000227552769459552,7.01731449271061e-10,0.000644182426267811,1800
"75",3701,4.0634839904312e-05,7.79811429328312e-13,0.000119104137355489,1357.33288311676
"76",3751,7.73499931071532e-05,1.31715961102112e-11,0.00026321821923205,1586.95195258806
"77",3801,1.80724900275043e-05,2.60232096884587e-12,5.8166457423333e-05,1800
"78",3851,0.000215328355538143,2.71649047922164e-10,0.000526089676142214,1604.64041434046
"79",3901,5.65303989322491e-05,1.11369923179954e-11,0.000116186384602343,1800
"80",3951,6.05603664770375e-05,1.32075618663695e-11,0.000117040353455426,1800
"81",4001,3.60520007977004e-05,2.68294556946128e-11,0.000123016065059024,1800
"82",4051,1.22404821623649e-05,5.52252128342414e-12,3.69803797612183e-05,1301.56062278911
"83",4101,2.03889037292461e-05,2.03373976057753e-13,5.11490630351135e-05,1800
"84",4151,9.30367681535952e-06,9.56673029663983e-14,2.99155714351286e-05,1800
"85",4201,1.19860255939035e-05,3.69068617701892e-13,3.92603373083946e-05,1800
"86",4251,5.30998016918086e-05,3.00140873810352e-12,0.000180656910965716,1116.16886348491
"87",4301,9.51671047964336e-05,6.74564103394661e-13,0.00022689451943064,1356.74771418687
"88",4351,0.000440343922390616,5.27231074766754e-11,0.00114927440441071,1280.34229378461
"89",4401,0.000137905192286489,3.30915812604695e-11,0.00040402796413953,1800
"90",4451,1.70651531993703e-05,7.7259354806826e-15,5.99831289693884e-05,1800
"91",4501,0.000265934900750701,4.0485584655502e-12,0.000613913771581288,1431.89932255502
"92",4551,7.22878415973531e-05,2.321539366566e-12,0.000225020306347896,1800
"93",4601,2.56121395025424e-05,1.83743349887537e-12,8.00492515708849e-05,1800
"94",4651,1.60162225576596e-05,1.03400619123091e-12,5.31693282853798e-05,1220.48188460372
"95",4701,1.01120951486326e-05,6.78120157686580e-12,3.27419846294821e-05,1800
"96",4751,0.000101136296829918,1.33841903652905e-12,0.000311810139668523,1800
"97",4801,0.000125021609299342,1.59036515019123e-11,0.000238050883863581,1800
"98",4851,0.000238396082302896,9.1118591282108e-11,0.000692877111377009,1800
"99",4901,1.7590210098445e-05,3.5468694535883e-12,5.31159654093226e-05,1176.85354179109
"100",4951,4.67710129871338e-05,1.24869644644316e-11,9.77672751719902e-05,1800
