"","Iteration","lowerInt","upperInt","lPreClim","uPreClim","lInvClim","uInvClim","lInvTime","uInvTime","lAbSpec","uAbSpec","lUnits","uUnits"
"1",1,-0.00849545781966299,-0.00278233495191671,-0.00242480364613584,0.0044926244445378,-0.00430771510582417,0.00253780635830481,-0.00371185352560133,0.00301743482123129,7.39802675381849e-13,6.37183701863518e-05,2.75925524114772e-05,5.51883992669643e-05
"2",51,-0.0113850960333366,-0.00683431608194951,-0.00221243771375157,0.00304345822951291,-0.00297165178199066,0.00228319017332979,-0.00296520936535671,0.00240439774643164,2.60007693775792e-11,2.87940998316472e-05,2.2237721741355e-05,4.4736727572162e-05
"3",101,-0.0378533169714501,-0.0223639445903245,-0.0118167812543106,0.00578905302972998,-0.00766128400573507,0.0104324428393738,-0.00925530705717392,0.00910500290046912,1.38037115207818e-12,0.000451655820694111,8.84092919031075e-05,0.000176587709175128
"4",151,-0.020675016741734,-0.0157552394812228,-0.00261339121789206,0.00311067265283782,-0.0030877008321113,0.00250983334262855,-0.00321457693098637,0.00234531020396389,3.95633554453987e-12,3.55490762021233e-05,2.55228177696262e-05,5.12049625989878e-05
"5",201,-0.0340088794037001,-0.0219104567440809,-0.00414545358944451,0.00919074485136662,-0.00542583547212416,0.00858036471254309,-0.00596578395379765,0.00742316398827825,1.91175690811635e-12,0.000258237036173194,5.96454459110172e-05,0.000122696528415683
"6",251,-0.0161986596067436,-0.0108651799091604,-0.00288024288602173,0.00359696845407598,-0.00385569153149845,0.00252949666173663,-0.00294787778693717,0.00366811345156748,1.34089433220252e-15,5.00759768186815e-05,2.93764605030482e-05,5.88947810548908e-05
"7",301,-0.0154744136452791,-0.00813239176932257,-0.00562832409923431,0.00253589550266042,-0.00256377630284987,0.0057906308122142,-0.00313942214415874,0.00532390482112532,1.15795588963756e-13,8.35173026964887e-05,4.39330637220754e-05,8.91382588643755e-05
"8",351,-0.0108936939650448,-0.00301166754070437,-0.00491155434065149,0.00436287946649827,-0.00393099130269547,0.00547370254935231,-0.00619424118849565,0.00342827962595038,1.10273452702679e-12,0.000101912571431957,6.368601633632e-05,0.000127730088180576
"9",401,-0.0129586406255839,-0.0082924405214726,-0.00242601702484535,0.0029101713153068,-0.00285375266412302,0.00252422270568786,-0.00243619859611499,0.00296963220171165,6.2212010154546e-13,3.45341530526244e-05,2.34955585179102e-05,4.739442652867e-05
"10",451,-0.0158859890361782,-0.0111134541439242,-0.00240049756394001,0.00310773806995712,-0.00314884824911132,0.00248226779513061,-0.00249276525573805,0.00328754770453088,2.00307816309596e-11,3.52651810415279e-05,2.31051535387176e-05,4.6482207613601e-05
"11",501,-0.0283702973247273,-0.0200767720962176,-0.00637206339160912,0.00337631683214568,-0.00333545762987342,0.00606462806172203,-0.00575196326826699,0.00382004326093011,5.887886982543e-12,0.00012582590671867,4.23689258880795e-05,8.54727401163552e-05
"12",551,-0.02887077628111,-0.0232844441488851,-0.00428198502049781,0.00241627576542669,-0.00308708888769615,0.00341987951833289,-0.00397082212293753,0.00271691572197597,1.33411073788289e-13,5.5427462885229e-05,2.64233844423782e-05,5.28652514265273e-05
"13",601,-0.0266836107148265,-0.0191394806079188,-0.00551468969206326,0.00324461796844844,-0.00319920567562804,0.00563026653253473,-0.00445339469297323,0.00448746798792854,2.82116198694636e-16,9.69148668812369e-05,6.56993961706312e-05,0.000132884376066021
"14",651,-0.0212831526296213,-0.0162507368841034,-0.00304883255739696,0.00277987460140139,-0.00245085575443227,0.00344225449225632,-0.00317474434268661,0.00271587155293673,3.84856012216694e-12,4.26025630574575e-05,2.84717261291268e-05,5.73553341390469e-05
"15",701,-0.0315025424788473,-0.0222812467691256,-0.00714576150494395,0.00399059001392743,-0.00436914345482364,0.0066512599150883,-0.00546642863628222,0.00584527768660337,9.84980539458646e-12,0.000165633666666356,7.13560536633653e-05,0.000145202379655377
"16",751,-0.0339466878795065,-0.0247298629547004,-0.00670084624289302,0.0043203190798522,-0.00413893300083146,0.00662320925039239,-0.00553235827828757,0.0058215998869855,7.68198451869514e-11,0.000183041420222999,3.93771610620081e-05,7.9427124159538e-05
"17",801,-0.0221473971541855,-0.0167763484787429,-0.00246596975193825,0.00348747523094062,-0.00454534689197317,0.00166222116968129,-0.00357877186252153,0.00267174394684844,1.68829709367206e-12,4.53873249619065e-05,2.75402878969153e-05,5.57177530916081e-05
"18",851,-0.0363349100553023,-0.0177147028516629,-0.00996212017707876,0.012683716689935,-0.0103356306920119,0.01180223110714,-0.010922146269877,0.0126840971497586,4.66765361361493e-11,0.000703763952958372,0.000298694370235899,0.000604816525601994
"19",901,-0.0355331105965888,-0.0179560809501709,-0.0106855852754961,0.0102229896292556,-0.00937530617193261,0.0102064396814967,-0.010149883601116,0.0090169748327753,1.34928525772387e-12,0.000622900407632869,0.000122491286242538,0.000252404046367118
"20",951,-0.0363867654814385,-0.0295051275606966,-0.00348506926093251,0.00455288888770156,-0.00494137327041244,0.00312721231603064,-0.00432820026981062,0.003709860779054,7.18879502418299e-13,9.04205900063024e-05,4.5365592898372e-05,9.11583471061645e-05
"21",1001,-0.0277282044844469,-0.0203391370014288,-0.00567892036633566,0.00287548886262812,-0.00301421951007796,0.00564357198300058,-0.00500623272910161,0.00370736385229975,9.5032577119516e-12,9.24455876443279e-05,5.88703075625226e-05,0.000118571545875281
"22",1051,-0.0380044270277722,-0.0271647783029039,-0.00909462287381757,0.0034586553229019,-0.00318507303018123,0.00915577321211458,-0.00495749295805581,0.00751035586290527,2.94850940102809e-11,0.000174568889486168,0.000111865350836202,0.000225189068412217
"23",1101,-0.0467772018600954,-0.0351724794018082,-0.00774052708948147,0.00602664958569221,-0.00700983652495779,0.00721451235585846,-0.00737974797084462,0.00640925274637993,7.54357524646698e-13,0.00030164324314664,6.80381455072601e-05,0.00013709427153477
"24",1151,-0.026119392394321,-0.0182723333491595,-0.00398249496356584,0.00550737875164486,-0.00384529492657748,0.00543491289136,-0.00468134481343441,0.0047421363851754,2.69105350700307e-11,0.000118505437385419,4.02521899139137e-05,8.15861407525708e-05
"25",1201,-0.0292904354864731,-0.0228032292216085,-0.00389951094985008,0.00407950641238131,-0.00427239227292375,0.0030385089921765,-0.00275966619665269,0.00466259357926901,8.6797388980403e-12,7.12604658521285e-05,3.88451888575203e-05,7.75787262532846e-05
"26",1251,-0.0298724124440923,-0.0152642824041322,-0.0113081365125254,0.00680784268479329,-0.0100697425196046,0.00767898694903124,-0.0106061589613091,0.0075752660195576,6.45701368497056e-11,0.000450793122059221,0.00013081299827076,0.000259780176442169
"27",1301,-0.0217012115826947,-0.0124448662681971,-0.00441358365060296,0.00671709309972357,-0.00592086795950308,0.00513077600044198,-0.00724866520613432,0.00414595999609446,3.58694204307112e-14,0.000174098518116645,7.52787851182041e-05,0.000153200914247084
"28",1351,-0.0250123445875943,-0.0187319657516127,-0.00394634620170109,0.00339115807400958,-0.00414517118042568,0.0031840703159105,-0.00352206846582703,0.00400584454473574,9.50396332952912e-12,6.25106825727205e-05,4.24763344886712e-05,8.50232265482486e-05
"29",1401,-0.0208303702165722,-0.00962122817145428,-0.00676241781911813,0.00682322420470882,-0.00900552062194038,0.00458044893457554,-0.00638791259552818,0.00673586349876132,2.45889638603593e-12,0.000267906422706872,5.22893030879578e-05,0.000103962145993647
"30",1451,-0.0319325585733168,-0.00983661177451722,-0.00891072931699455,0.0172736506647198,-0.0169792732485803,0.0097746691753855,-0.00864121783524752,0.0175304305657846,6.56300850272234e-12,0.00104852303129302,0.00024445938373551,0.000493872211108949
"31",1501,-0.0244543968437938,-0.0195802873931825,-0.00307367787172552,0.00260208196414169,-0.0021425859122246,0.0035976831568405,-0.00325902662007138,0.00227551313582808,3.04627843606248e-12,3.81084903826145e-05,2.5124130817338e-05,5.04929158316129e-05
"32",1551,-0.0308862525271252,-0.0248012704832945,-0.00467010706779547,0.00246263982262462,-0.00421363703208044,0.00321899453410879,-0.00308438143110834,0.00406698352890089,1.76945770484719e-13,6.21336137234648e-05,3.88576011747376e-05,7.80723374245919e-05
"33",1601,-0.0144902203464881,-0.00885951244890748,-0.00432129790715408,0.00220145388630044,-0.00360162166907685,0.0031569598504575,-0.00231786852236837,0.00442118089267751,7.75640406296583e-15,5.15700043001437e-05,3.08078896585155e-05,6.2084036686524e-05
"34",1651,-0.0389346092633787,-0.0294311808611383,-0.00630184438705328,0.00502504166797735,-0.00392936731805094,0.00723682747775456,-0.00725804147577946,0.00328360496860114,1.11869751352129e-11,0.000165390311163021,4.09171200047206e-05,8.25266783486016e-05
"35",1701,-0.0271130984692718,-0.0223707119002938,-0.00232010912441183,0.0031327607575804,-0.00304859483185282,0.00252032418620729,-0.00275474271620624,0.00298111778101884,4.67762978835914e-13,3.37361768949044e-05,2.29282917648326e-05,4.60816240146284e-05
"36",1751,-0.0114664248249028,-0.00517878757091239,-0.00287879562165472,0.00486095686210319,-0.00420193974423455,0.00399574571201811,-0.00337837869301438,0.00419935618992895,8.17451468903683e-14,8.42474979005613e-05,2.85598316300121e-05,5.72854720763682e-05
"37",1801,-0.0307806520795566,-0.0251079066365492,-0.003223718929803,0.00343278516265855,-0.00296010308375116,0.00363110934995348,-0.00502385302388575,0.00149586905899923,1.41517416306398e-11,4.99345564300096e-05,3.7956432498124e-05,7.64714502905221e-05
"38",1851,-0.0252016586018726,-0.0136600158439251,-0.00949378742370754,0.00412733787379693,-0.00412766120280139,0.00938855095591862,-0.00579566514352337,0.00846008213193272,8.62875047188244e-12,0.00025666076043818,0.000116670576950342,0.000236349903706253
"39",1901,-0.0230489237874281,-0.0153864837338915,-0.00648214059765451,0.00259319954056991,-0.00373353152099298,0.00508310251461808,-0.00366090406532749,0.00542462342855288,1.19887046691786e-14,0.000108192637774531,4.56031719732312e-05,9.1780773702105e-05
"40",1951,-0.00785054868265433,0.00697963770653587,-0.00960184032737743,0.00893738567538094,-0.0114161429919477,0.006163894868223,-0.00976314306535642,0.00799225757509703,2.16449790927625e-10,0.000456314541186209,0.000125107344032774,0.000254926770256026
"41",2001,-0.0363009037537267,-0.0296512614149833,-0.00482541472592857,0.00313833469408564,-0.00306595742586069,0.00472716022341046,-0.00423193315509707,0.00343901893211296,3.19987448252051e-12,7.57128077115274e-05,3.23080431697027e-05,6.51471363095276e-05
"42",2051,-0.0197169091261458,-0.0149979979883028,-0.00225268100621179,0.00312385400320636,-0.00290328885512281,0.00251378468237817,-0.00282779278495582,0.0027977455756627,3.23229494998335e-16,3.12893675156854e-05,2.26853403697687e-05,4.56380312374835e-05
"43",2101,-0.039271286696021,-0.0063439030200243,-0.0113872629426623,0.0253149684431264,-0.0216382682920084,0.0163623371481663,-0.0181305347359739,0.0200661679409677,8.75684289985672e-09,0.00190674748018402,0.000177533886071094,0.000357687289109772
"44",2151,-0.0299012198665878,-0.0159737132198643,-0.00754872933612205,0.00839305261615664,-0.00817026525328401,0.00787865825986955,-0.0100769555501756,0.00553660950390622,4.58209694467966e-11,0.000368237129045718,8.58861592010711e-05,0.000171374086789089
"45",2201,-0.0341806952637853,-0.0272902102551598,-0.00407664757221937,0.0044828024256276,-0.00379178539151326,0.00430591744952835,-0.00521410162036773,0.00335008269030368,1.54644990088192e-11,9.22213733939818e-05,3.85859026071977e-05,7.90363517319807e-05
"46",2251,-0.03410562368299,-0.0284608132351423,-0.00275253751169657,0.00386699914815836,-0.00353103483939776,0.00291679066140205,-0.00435990805272013,0.0024419558453701,1.2220904667451e-13,5.07820367376022e-05,2.8974940291119e-05,5.81315204834921e-05
"47",2301,-0.0376986542833038,-0.0206685850862414,-0.00895311523345299,0.0102406767341563,-0.00860676768934354,0.010704263811931,-0.00993840292358072,0.0094858422417019,1.6185390825704e-11,0.000421341849497067,0.000316864766184482,0.000639790713198436
"48",2351,-0.0353071179379185,-0.0297637910625781,-0.00439036876196042,0.00211591749393847,-0.00202794802135031,0.00435862724407343,-0.00333512634460931,0.00296161210644641,2.35219498573213e-12,4.63014881792246e-05,3.42420942022161e-05,6.87708736536552e-05
"49",2401,-0.0327995082479902,-0.0208958933653776,-0.0078573450591648,0.00612438470125198,-0.00734510532129207,0.00671434718242381,-0.00665612191369291,0.00729606700770091,1.49431864095781e-14,0.000211708373810444,0.000157720539621002,0.00031679520737265
"50",2451,-0.0377950749498268,-0.0262843417003751,-0.00922997339512222,0.00497270298365038,-0.00459048275661189,0.00925006886245683,-0.00745882902992889,0.00659894361160696,2.32830962465655e-12,0.000258202930952314,9.68293752140514e-05,0.00019466282463676
"51",2501,-0.0216719730669865,-0.0160511922877049,-0.00477606768254191,0.001937815657584,-0.00128804450287134,0.00529218091105577,-0.00503166217094986,0.0018133777557523,1.35009702031326e-12,5.13927478158838e-05,3.36513020996523e-05,6.76578404517134e-05
"52",2551,-0.0278317016782239,-0.00496959183510626,-0.0118708763911854,0.0137044725124724,-0.0124563619519904,0.0142152838525362,-0.0134454040089622,0.0123434192501009,2.34140421788480e-12,0.00104500223753788,0.000179546490988174,0.000357135236493009
"53",2601,-0.019524546325556,-0.0132417951826937,-0.00381100131198764,0.00373180594760925,-0.00437609701839392,0.00311416078329785,-0.00328854944655177,0.00454646272555692,2.69092979392501e-12,7.44774956718147e-05,3.65022824433851e-05,7.37671352912707e-05
"54",2651,-0.0389723918669915,-0.0223292782366116,-0.010477023999556,0.0098705276614055,-0.00899045931873843,0.0112961898412323,-0.0104348569002468,0.0101725043678016,1.52738868641031e-10,0.00057449019093024,0.000175807412544897,0.000357768562703458
"55",2701,-0.0103440162456536,-0.00230547486717114,-0.00385053447826067,0.00628335741475894,-0.00543151062447578,0.00425338048080448,-0.00457876692235004,0.00516127436821989,2.04891468051663e-11,0.000140785754388271,3.52269833162139e-05,7.09565884508419e-05
"56",2751,-0.0223838765523396,-0.0166541032504028,-0.00453492369342712,0.00252211798215285,-0.00258930230438636,0.00399703742004931,-0.00417552703584079,0.00267816632549511,1.65953795759462e-12,5.93597023060058e-05,2.63548901755509e-05,5.2755335918168e-05
"57",2801,-0.0320304697088432,-0.0166503289947286,-0.00812699312518816,0.0104832837823778,-0.0124146638263483,0.00564249690796714,-0.00891366430732887,0.00910020462470129,8.28496211533566e-11,0.000419644323813426,0.000174288346300378,0.000354214446791716
"58",2851,-0.0380469688825542,-0.0305673758120975,-0.00554950509103946,0.0031816946429899,-0.00412777040764922,0.0047151769103948,-0.0045960015268065,0.00397506622903165,1.83884929288461e-13,9.54765927797275e-05,5.32492124355407e-05,0.00010676464049226
"59",2901,-0.0223101991869044,-0.0123767488839803,-0.00530606163374614,0.00645380493369885,-0.00471774282050319,0.00711077493178891,-0.00722182441677433,0.00480662562040379,6.35651045733778e-13,0.000177030006302551,0.000102385754382848,0.000204235376978554
"60",2951,-0.0151603777194396,-0.0106062879131059,-0.00300608920224477,0.00233371066860855,-0.00204283952189144,0.00329179401887814,-0.00330079480772838,0.00195375012845034,3.76679138307045e-14,3.37689966209896e-05,2.27682164267323e-05,4.57245392339994e-05
"61",3001,-0.0425782964157406,-0.0269571875105612,-0.00812206167756813,0.0105013774737017,-0.00611693050086615,0.0132987485849299,-0.0106687553343363,0.00789130529847171,1.09316592703402e-11,0.000479825563665123,0.000180088046266266,0.000362721256720915
"62",3051,-0.00325681921094656,0.00180699842894683,-0.00259644300240325,0.00332054107320801,-0.00235209142556414,0.00349797448143363,-0.00393256786628626,0.00188517093920382,3.26098576150763e-11,3.7480093206031e-05,2.96395152627792e-05,5.97779386436491e-05
"63",3101,-0.0290715637493122,-0.0151638864772394,-0.00845096877310425,0.00750914275704417,-0.00688940947293304,0.00929407138028182,-0.0113428350778122,0.00495443818363128,7.32386887666115e-13,0.000324314336136565,0.000193115257756637,0.000392076778947461
"64",3151,-0.0353236869414104,-0.0268275323614944,-0.00549433793639764,0.00489557730907109,-0.00669404795917217,0.0035454893077258,-0.00564018288059742,0.00463080074405298,3.00951479896117e-11,0.00015423371084979,4.82585410410978e-05,9.70860126073233e-05
"65",3201,-0.026879461875069,-0.021796366898343,-0.00340698255058669,0.00256435855771997,-0.00249822386467713,0.00336763840459753,-0.0035294950757816,0.00225073589535896,1.60259250374373e-14,4.41222466918187e-05,2.42618019490593e-05,4.85085909919281e-05
"66",3251,-0.02253946379642,-0.0171823255950585,-0.00356345799809787,0.00273762815049849,-0.00317560242910986,0.00293504583532922,-0.00317013946732914,0.00300762700499035,1.74993671797496e-13,4.93947660145425e-05,2.53784516214168e-05,5.08090003352107e-05
"67",3301,-0.0287629584781826,-0.0242807390459348,-0.00258521060459316,0.0026987283345079,-0.00195754563901573,0.00313573332095984,-0.00274254022224341,0.00236668252910022,1.6900851884783e-12,3.04270129230311e-05,2.21292832728852e-05,4.42158477039632e-05
"68",3351,-0.0260091020245454,-0.0180044488388376,-0.00406193758317386,0.00547380720672663,-0.00476450615678914,0.0043214971665293,-0.00509258831880288,0.00426636701013194,3.132352728739e-14,0.000124563278027558,3.88710205756786e-05,7.80364767590834e-05
"69",3401,-0.018357462802669,-0.0112477601360297,-0.00518139988344046,0.00369293452240527,-0.0037540383709711,0.00481043506079004,-0.00489318072141032,0.00394211831735447,6.82646087130357e-11,0.000103673184622012,4.17943651926249e-05,8.4974436003283e-05
"70",3451,-0.0220631213742308,-0.0116123486077413,-0.0102268678310793,0.00162488630849111,-0.00333110692645278,0.00872662418987602,-0.00629264453891665,0.00622688737348653,4.38528419216605e-11,0.000157689029401992,0.000113957110456396,0.000229882012764775
"71",3501,-0.0203276052343426,-0.0146478586975718,-0.00241835622728104,0.00413437475799583,-0.00363353438706326,0.00316384508550982,-0.0032339891185984,0.00358426044113003,6.9382766153863e-13,5.64861754432041e-05,3.20929921975538e-05,6.4957520300723e-05
"72",3551,-0.0236463321198244,-0.0157895760530664,-0.00536687004205305,0.00421467286651023,-0.00465569237712771,0.00479252550576348,-0.00550196347467136,0.00448513505398296,4.83431705549227e-12,0.000115767202024072,5.7668797219556e-05,0.00011655334103596
"73",3601,-0.0295710394675552,-0.0243296650623961,-0.003972579157562,0.00222891065641306,-0.00258745321480092,0.0036562522436725,-0.00387618633976672,0.00219272271351656,3.92588840536564e-13,4.65163209371394e-05,3.02419872704373e-05,6.09192293606622e-05
"74",3651,-0.0279387435075478,-0.0199406085339433,-0.00516106942814076,0.00469653762411326,-0.00458838649501558,0.00485988982836716,-0.00514233228750527,0.00444244193204213,9.74919450882215e-13,0.000123959747968111,5.02101963743298e-05,0.000100278307117101
"75",3701,-0.0321277927287156,-0.0267107491818024,-0.0039530652884423,0.00233622203813866,-0.00267743345466442,0.00344973026949447,-0.0030480438581435,0.00311602850706549,1.06489862480617e-12,4.20344179207052e-05,3.14681038380026e-05,6.28377580062956e-05
"76",3751,-0.0404113571421476,-0.0330057223218319,-0.00528776366263628,0.00337471370585263,-0.00342540803831071,0.00495918591332156,-0.0051321327482583,0.00301891666640586,1.10964935913571e-11,0.000100413776936642,2.91607545858925e-05,5.78692198408484e-05
"77",3801,-0.0313057182065677,-0.026762902448354,-0.00303256660117768,0.00234976870706305,-0.0020344825607026,0.0032613686635159,-0.00305226814816706,0.00220962219464127,1.6636444115082e-14,3.45205760525004e-05,2.23898135176903e-05,4.490999616256e-05
"78",3851,-0.0303512300888542,-0.0200132121535717,-0.00312302391103003,0.00875507981982082,-0.00671417689864029,0.00522949558217078,-0.00562621289282106,0.00650813114043558,6.49013836416493e-13,0.000158688494087525,0.000111882148554017,0.000225746119703675
"79",3901,-0.0369456866255859,-0.0293597708659945,-0.0047245690075215,0.00484008067724062,-0.00468389486923115,0.00439380278658064,-0.00500073269358836,0.00455292988527844,3.53411987576381e-13,0.000125738118318785,4.04040338646326e-05,8.1435982235922e-05
"80",3951,-0.0151903294899967,-0.00179305777419358,-0.00653752872312907,0.00904958446699311,-0.00913057515936089,0.00715630401100498,-0.00979313246170932,0.00583991067105671,9.4858669785694e-12,0.000319343777633297,0.000179851447821058,0.000361054714447662
"81",4001,-0.0391183636456844,-0.0309585457580397,-0.00533879615977639,0.00426318986865226,-0.00327580611337908,0.00620091520249844,-0.00541134564264212,0.00372654939201311,3.63789503521324e-12,0.00011989678451943,3.75697046262207e-05,7.46801434029369e-05
"82",4051,-0.0182603128923802,-0.0123911954869982,-0.00401962097384967,0.00320658286364051,-0.00325093056017067,0.00361112567770761,-0.00352063199170516,0.00362651065370301,7.92478952904685e-12,7.09014439471463e-05,2.94598295944763e-05,5.9071957913138e-05
"83",4101,-0.0307204089112929,-0.0169379138096701,-0.00671405161665461,0.00957741847378202,-0.0106181919909432,0.00478957582163275,-0.00612969834764954,0.00948123682610458,1.54350778693326e-14,0.000293445801806923,0.000191932847354241,0.000384496958428265
"84",4151,-0.0202863407612313,-0.0155176838161424,-0.00253691918624099,0.00290510203012673,-0.00359510463022161,0.00185558509110706,-0.00236207901616581,0.003122393924059,2.55237153740678e-13,3.38569205338568e-05,2.59274710212788e-05,5.2208805895981e-05
"85",4201,-0.0135357075903357,-0.00835044632549398,-0.002679432167497,0.00349238645867445,-0.00341340616432717,0.00265090963875991,-0.00312260634382255,0.00326385331572965,2.62402389740509e-15,4.43990660351559e-05,2.8923781603089e-05,5.81892012337519e-05
"86",4251,-0.0345958087127656,-0.0273747823084705,-0.00541024577250937,0.00357175944373012,-0.00317261766758747,0.00520341096853372,-0.00565218915289734,0.00314240963052725,2.69532242837441e-11,0.00010970029899718,3.57918901239808e-05,7.18139320005554e-05
"87",4301,-0.0164467693830375,-0.01074114072253,-0.00322826497358619,0.00352290209411876,-0.00396354928670917,0.00283970707096159,-0.00226314317114884,0.00441264221444726,2.41560221953334e-13,5.76245708884301e-05,3.78879880598018e-05,7.61632184611034e-05
"88",4351,-0.0238758679770399,-0.0184704760467866,-0.00307836303909426,0.00322550263081212,-0.00363342329728766,0.0026227394646412,-0.00247422540269326,0.00376745700486936,6.65260053517926e-13,4.33554090509735e-05,3.22272151935565e-05,6.4347111723719e-05
