"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp","pMCMC"
"1",1,0.000182688383076781,-0.00371185352560133,0.00301743482123129,2021.68910392115,0.868888888888889
"2",51,-0.000115696449156854,-0.00296520936535671,0.00240439774643164,1800,0.912222222222222
"3",101,1.92558012294381e-05,-0.00925530705717392,0.00910500290046912,1019.90122230068,0.961111111111111
"4",151,-0.0003311976227885,-0.00321457693098637,0.00234531020396389,1800,0.771111111111111
"5",201,0.000300012944549483,-0.00596578395379765,0.00742316398827825,1800,0.903333333333333
"6",251,-7.07563441365109e-06,-0.00294787778693717,0.00366811345156748,1800,0.987777777777778
"7",301,0.000604179991870543,-0.00313942214415874,0.00532390482112532,1800,0.676666666666667
"8",351,-0.000988338955131746,-0.00619424118849565,0.00342827962595038,1800,0.6
"9",401,0.000278466710103136,-0.00243619859611499,0.00296963220171165,1800,0.762222222222222
"10",451,0.000285293236531411,-0.00249276525573805,0.00328754770453088,1800,0.78
"11",501,-0.000586496789135482,-0.00575196326826699,0.00382004326093011,1800,0.777777777777778
"12",551,-0.000555839244835883,-0.00397082212293753,0.00271691572197597,1800,0.68
"13",601,0.000391466171444846,-0.00445339469297323,0.00448746798792854,1800,0.807777777777778
"14",651,3.22409999433404e-05,-0.00317474434268661,0.00271587155293673,1800,0.944444444444444
"15",701,0.000483121926047908,-0.00546642863628222,0.00584527768660337,1800,0.784444444444444
"16",751,-0.000235273902107396,-0.00553235827828757,0.0058215998869855,1800,0.915555555555556
"17",801,-0.000500926461490532,-0.00357877186252153,0.00267174394684844,1800,0.68
"18",851,0.00121878415759188,-0.010922146269877,0.0126840971497586,1800,0.732222222222222
"19",901,-0.000287829068778349,-0.010149883601116,0.0090169748327753,1668.88993593934,0.944444444444444
"20",951,-8.19844963007081e-05,-0.00432820026981062,0.003709860779054,1800,0.992222222222222
"21",1001,-0.000776580464982695,-0.00500623272910161,0.00370736385229975,1800,0.674444444444444
"22",1051,0.00143320401202339,-0.00495749295805581,0.00751035586290527,1800,0.525555555555556
"23",1101,-9.71409560167342e-05,-0.00737974797084462,0.00640925274637993,1800,0.987777777777778
"24",1151,-0.000230087355018828,-0.00468134481343441,0.0047421363851754,1800,0.915555555555556
"25",1201,0.000956923871615985,-0.00275966619665269,0.00466259357926901,1800,0.487777777777778
"26",1251,-0.00126526266102459,-0.0106061589613091,0.0075752660195576,1800,0.667777777777778
"27",1301,-0.00136287954236873,-0.00724866520613432,0.00414595999609446,1800,0.524444444444444
"28",1351,0.00070009911767839,-0.00352206846582703,0.00400584454473574,1800,0.604444444444444
"29",1401,-0.000453072697124103,-0.00638791259552818,0.00673586349876132,1800,0.85
"30",1451,0.00356986952984941,-0.00864121783524752,0.0175304305657846,1443.38254040995,0.373333333333333
"31",1501,-0.000567173513344043,-0.00325902662007138,0.00227551313582808,1800,0.633333333333333
"32",1551,0.000745509504696922,-0.00308438143110834,0.00406698352890089,1800,0.568888888888889
"33",1601,0.000702862135615763,-0.00231786852236837,0.00442118089267751,1931.01887775196,0.545555555555556
"34",1651,-0.00133705425309803,-0.00725804147577946,0.00328360496860114,1800,0.476666666666667
"35",1701,0.000190439406742454,-0.00275474271620624,0.00298111778101884,1800,0.86
"36",1751,0.000467938885025016,-0.00337837869301438,0.00419935618992895,1800,0.701111111111111
