"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,1.96998938541931e-05,7.39802675381849e-13,6.37183701863518e-05,1800
"2",51,1.4306042021368e-05,2.60007693775792e-11,2.87940998316472e-05,1449.07814594935
"3",101,0.000274202818260874,1.38037115207818e-12,0.000451655820694111,1198.88641932301
"4",151,1.08176823948743e-05,3.95633554453987e-12,3.55490762021233e-05,1675.31597885805
"5",201,8.27742236168592e-05,1.91175690811635e-12,0.000258237036173194,1420.31644294492
"6",251,2.81870677780871e-05,1.34089433220252e-15,5.00759768186815e-05,1464.8215542492
"7",301,3.9379284758964e-05,1.15795588963756e-13,8.35173026964887e-05,1452.059267381
"8",351,4.91166505489319e-05,1.10273452702679e-12,0.000101912571431957,1502.77712832907
"9",401,2.14920657414016e-05,6.2212010154546e-13,3.45341530526244e-05,1472.35489848728
"10",451,1.26026157709965e-05,2.00307816309596e-11,3.52651810415279e-05,1800
"11",501,4.88038598876325e-05,5.887886982543e-12,0.00012582590671867,1494.64348176149
"12",551,1.70018853271155e-05,1.33411073788289e-13,5.5427462885229e-05,1430.16782452634
"13",601,3.76362732647423e-05,2.82116198694636e-16,9.69148668812369e-05,1420.41671701312
"14",651,2.02919886107359e-05,3.84856012216694e-12,4.26025630574575e-05,1495.81237949125
"15",701,5.08404233306925e-05,9.84980539458646e-12,0.000165633666666356,1359.15775874721
"16",751,5.98698619731101e-05,7.68198451869514e-11,0.000183041420222999,1525.87709374365
"17",801,1.59047715165389e-05,1.68829709367206e-12,4.53873249619065e-05,1800
"18",851,0.000199398559419333,4.66765361361493e-11,0.000703763952958372,1800
"19",901,0.000238348679064653,1.34928525772387e-12,0.000622900407632869,1267.31949383092
"20",951,2.24259464385989e-05,7.18879502418299e-13,9.04205900063024e-05,1800
"21",1001,2.51034005748522e-05,9.5032577119516e-12,9.24455876443279e-05,1800
"22",1051,0.000111524321140428,2.94850940102809e-11,0.000174568889486168,1470.1386611949
"23",1101,0.000122422599566146,7.54357524646698e-13,0.00030164324314664,1380.57444368382
"24",1151,3.27959577092971e-05,2.69105350700307e-11,0.000118505437385419,1800
"25",1201,2.49353552229851e-05,8.6797388980403e-12,7.12604658521285e-05,1481.8543698391
"26",1251,0.000148527206659948,6.45701368497056e-11,0.000450793122059221,1393.13062288716
"27",1301,4.84785403362076e-05,3.58694204307112e-14,0.000174098518116645,1557.36289881689
"28",1351,3.38704055188268e-05,9.50396332952912e-12,6.25106825727205e-05,1466.85924486349
"29",1401,7.89193144114129e-05,2.45889638603593e-12,0.000267906422706872,1578.90296625245
"30",1451,0.000489068548313914,6.56300850272234e-12,0.00104852303129302,1268.47835888822
"31",1501,1.03724687866741e-05,3.04627843606248e-12,3.81084903826145e-05,1800
"32",1551,2.72783747542253e-05,1.76945770484719e-13,6.21336137234648e-05,1448.32066565263
"33",1601,3.75169880265572e-05,7.75640406296583e-15,5.15700043001437e-05,1500.79122661935
"34",1651,5.5001466205977e-05,1.11869751352129e-11,0.000165390311163021,1800
"35",1701,1.22949166826477e-05,4.67762978835914e-13,3.37361768949044e-05,1800
"36",1751,2.6049077134501e-05,8.17451468903683e-14,8.42474979005613e-05,1800
"37",1801,1.98165425113513e-05,1.41517416306398e-11,4.99345564300096e-05,1416.46826810838
"38",1851,7.36979985584468e-05,8.62875047188244e-12,0.00025666076043818,1800
"39",1901,4.78134878414604e-05,1.19887046691786e-14,0.000108192637774531,1453.21646560188
"40",1951,0.000189190008941762,2.16449790927625e-10,0.000456314541186209,1339.68588335881
"41",2001,2.41576608184125e-05,3.19987448252051e-12,7.57128077115274e-05,1455.96158932025
"42",2051,1.2111696162885e-05,3.23229494998335e-16,3.12893675156854e-05,1800
"43",2101,0.00107513483057699,8.75684289985672e-09,0.00190674748018402,891.947854211844
"44",2151,0.000110009611764213,4.58209694467966e-11,0.000368237129045718,1800
"45",2201,5.39932593215424e-05,1.54644990088192e-11,9.22213733939818e-05,1256.46694665583
"46",2251,1.60776053901855e-05,1.2220904667451e-13,5.07820367376022e-05,1800
"47",2301,0.000227839555770793,1.6185390825704e-11,0.000421341849497067,1467.17276704814
"48",2351,2.99241470557917e-05,2.35219498573213e-12,4.63014881792246e-05,1480.93269522081
"49",2401,7.15946175592923e-05,1.49431864095781e-14,0.000211708373810444,1626.48917828512
"50",2451,8.3722499454872e-05,2.32830962465655e-12,0.000258202930952314,1800
"51",2501,3.54043627284035e-05,1.35009702031326e-12,5.13927478158838e-05,1482.56244529504
"52",2551,0.0010351179279184,2.34140421788480e-12,0.00104500223753788,888.67487537422
"53",2601,2.12335850007532e-05,2.69092979392501e-12,7.44774956718147e-05,1800
"54",2651,0.000215698074917441,1.52738868641031e-10,0.00057449019093024,1423.40584256036
"55",2701,4.35787825279011e-05,2.04891468051663e-11,0.000140785754388271,1584.71372591946
"56",2751,1.80504192897293e-05,1.65953795759462e-12,5.93597023060058e-05,1402.63351544941
"57",2801,0.000163410074134044,8.28496211533566e-11,0.000419644323813426,1451.58465884926
"58",2851,3.29205723387228e-05,1.83884929288461e-13,9.54765927797275e-05,1380.33780519705
"59",2901,5.17585932655796e-05,6.35651045733778e-13,0.000177030006302551,1800
"60",2951,9.2016590996365e-06,3.76679138307045e-14,3.37689966209896e-05,1800
"61",3001,0.000164160781177896,1.09316592703402e-11,0.000479825563665123,1800
"62",3051,2.36974377417692e-05,3.26098576150763e-11,3.7480093206031e-05,1469.47339570928
"63",3101,0.000107161512939218,7.32386887666115e-13,0.000324314336136565,1800
"64",3151,4.96699518761297e-05,3.00951479896117e-11,0.00015423371084979,1454.45443402038
"65",3201,1.31456654484065e-05,1.60259250374373e-14,4.41222466918187e-05,1357.47289526216
"66",3251,1.47596673517436e-05,1.74993671797496e-13,4.93947660145425e-05,1334.97805981759
"67",3301,8.77111557782486e-06,1.6900851884783e-12,3.04270129230311e-05,1800
"68",3351,6.10043213293878e-05,3.132352728739e-14,0.000124563278027558,1418.54056993531
"69",3401,4.32561087144087e-05,6.82646087130357e-11,0.000103673184622012,1572.18890459487
"70",3451,7.87665092547614e-05,4.38528419216605e-11,0.000157689029401992,1467.67058573925
"71",3501,2.46763932773339e-05,6.9382766153863e-13,5.64861754432041e-05,1472.90286271661
"72",3551,3.4740555198044e-05,4.83431705549227e-12,0.000115767202024072,1799.99999999999
"73",3601,1.23594832936312e-05,3.92588840536564e-13,4.65163209371394e-05,1800
"74",3651,3.57599329451042e-05,9.74919450882215e-13,0.000123959747968111,1356.33332642627
"75",3701,1.81340546493253e-05,1.06489862480617e-12,4.20344179207052e-05,1461.86921277549
"76",3751,3.98834219074152e-05,1.10964935913571e-11,0.000100413776936642,1474.34326650404
"77",3801,9.48225579540131e-06,1.6636444115082e-14,3.45205760525004e-05,1800
"78",3851,0.00010057034926139,6.49013836416493e-13,0.000158688494087525,1487.48744031909
"79",3901,3.56267100431044e-05,3.53411987576381e-13,0.000125738118318785,1800
"80",3951,0.000134897013848156,9.4858669785694e-12,0.000319343777633297,1458.94933604838
"81",4001,3.46947983022484e-05,3.63789503521324e-12,0.00011989678451943,1470.94137707471
"82",4051,1.87129536560741e-05,7.92478952904685e-12,7.09014439471463e-05,1598.7750680518
"83",4101,0.000128809551169673,1.54350778693326e-14,0.000293445801806923,1491.04312912416
"84",4151,1.05630166741292e-05,2.55237153740678e-13,3.38569205338568e-05,1800.00000000001
"85",4201,2.62701802534214e-05,2.62402389740509e-15,4.43990660351559e-05,1498.82828941141
"86",4251,3.65649698147121e-05,2.69532242837441e-11,0.00010970029899718,1515.8477195984
"87",4301,1.51143570050035e-05,2.41560221953334e-13,5.76245708884301e-05,1800
"88",4351,3.3432875168785e-05,6.65260053517926e-13,4.33554090509735e-05,1402.93683794953
"89",4401,4.41629404730505e-05,5.14803629092332e-12,0.000123983532748514,1637.31760943566
"90",4451,0.000105913463448841,1.52025491040796e-10,0.000326245450351446,1800
"91",4501,9.05389784324651e-05,1.11451163756815e-12,0.000256760052519624,1380.06638303927
"92",4551,4.74233875752857e-05,4.47514688278438e-11,8.77037383871359e-05,1602.67631464262
"93",4601,2.46839164524523e-05,1.36871088686883e-12,7.55315042008144e-05,1800
"94",4651,0.000382374543481514,6.3783869118185e-10,0.000664783836499888,1318.05681164244
"95",4701,0.000157316253486637,7.43607010872975e-12,0.000428805650822223,1486.24547859627
"96",4751,0.000114467421669312,1.81945280534692e-10,0.000246459184211789,1489.00655637735
"97",4801,2.3681358265478e-05,7.79613009870447e-12,7.56646099958886e-05,1353.52260941972
"98",4851,0.000128776104538056,2.60139849267871e-11,0.000251024171070572,1628.57646176582
"99",4901,0.000109314017169814,7.0770875225878e-12,0.000290824769976599,1677.92386504805
"100",4951,4.51294614706175e-05,5.39355854236313e-14,6.77765391681238e-05,1510.70714942306
