"","Iteration","Species","AbSpec","Units"
"1",1,-1.56900397819585e-06,-1.50831559949212e-06,3.70861848170223e-05
"2",51,-8.64391712732604e-07,-8.72411546259744e-07,3.06294124366759e-05
"3",101,-1.09161344648651e-05,-1.06780058675829e-05,0.000112463737191429
"4",151,-1.21163348427684e-06,-1.23785050569483e-06,3.62672597178196e-05
"5",201,-6.11154431274351e-06,-6.23536316336105e-06,8.16027586658964e-05
"6",251,-1.28877217953688e-06,-1.34964677906278e-06,3.95008271944939e-05
"7",301,-2.89773352375235e-06,-2.64013564869313e-06,6.18301806618107e-05
"8",351,-3.29088292832991e-06,-3.24105894831671e-06,8.772439634745e-05
"9",401,-9.2783749753721e-07,-8.75352698289064e-07,3.25646313406733e-05
"10",451,-9.80757586813638e-07,-1.03067167386358e-06,3.18268259755459e-05
"11",501,-3.22247141731691e-06,-2.96359616461019e-06,5.94498558750026e-05
"12",551,-1.4800588691387e-06,-1.60248148180769e-06,3.49514274111142e-05
"13",601,-3.92065048511619e-06,-3.40331208491455e-06,9.28716472993833e-05
"14",651,-1.26621739794847e-06,-1.2819063979305e-06,3.9546130599081e-05
"15",701,-4.13554529964457e-06,-4.11365947903033e-06,0.000102392564831202
"16",751,-3.23587447043781e-06,-3.13646861948967e-06,5.71571216451457e-05
"17",801,-1.54554405114907e-06,-1.36747429042081e-06,3.92287423054034e-05
"18",851,-2.53988687362486e-05,-2.41840580338801e-05,0.00042564540713853
"19",901,-1.15479050267715e-05,-1.32916182757764e-05,0.000174361719109489
"20",951,-2.2456687852029e-06,-2.23115306992422e-06,6.08127580292349e-05
"21",1001,-2.87034526270069e-06,-2.83986405116003e-06,7.91497579135339e-05
"22",1051,-5.62520990914792e-06,-5.85054533490662e-06,0.000168985827334516
"23",1101,-7.01053543679154e-06,-6.13555616547237e-06,9.20243721577718e-05
"24",1151,-3.12989375252515e-06,-2.81909793046672e-06,5.85618903021354e-05
"25",1201,-2.07128425327424e-06,-2.202009870781e-06,5.48469755224131e-05
"26",1251,-1.11632736194695e-05,-1.01195654515381e-05,0.000184114177053751
"27",1301,-4.21602824367502e-06,-4.1991575276359e-06,0.000107914611817914
"28",1351,-1.79644272532246e-06,-1.72450973956186e-06,5.91380208761668e-05
"29",1401,-6.68964496467603e-06,-6.5384774261776e-06,7.42629551701344e-05
"30",1451,-2.0977737103872e-05,-2.35982924070335e-05,0.000346689356418647
"31",1501,-1.14691532031844e-06,-1.07350466836854e-06,3.3841167040918e-05
"32",1551,-2.49520371111113e-06,-2.2007713541496e-06,5.40621301279816e-05
"33",1601,-1.37481051768267e-06,-1.46316693189215e-06,4.53143999636915e-05
"34",1651,-4.53795553533097e-06,-4.96548755793384e-06,5.89870787634551e-05
"35",1701,-1.00618473390154e-06,-1.02220783546448e-06,3.15829090227185e-05
"36",1751,-2.35080924221019e-06,-2.02475686026456e-06,3.72199445888159e-05
"37",1801,-1.61896500141745e-06,-1.63055865138116e-06,5.405591964332e-05
"38",1851,-7.67928002513077e-06,-7.7166165097797e-06,0.000166909028488326
"39",1901,-2.88237867473011e-06,-2.77050073152913e-06,6.27712444999682e-05
"40",1951,-1.09512913591163e-05,-1.08192034165445e-05,0.000165762779917882
"41",2001,-2.21390717360495e-06,-2.36221925924012e-06,4.46056785407539e-05
"42",2051,-9.9809163850214e-07,-9.60572411403354e-07,3.12674729501354e-05
"43",2101,-3.26529204664722e-05,-3.73959875270798e-05,0.000233250424709754
"44",2151,-8.68402847804632e-06,-9.20360755842275e-06,0.000115361719239593
"45",2201,-3.08063790186827e-06,-3.16112564470797e-06,5.27493290004446e-05
"46",2251,-1.80407316578406e-06,-1.77344741626204e-06,3.90635036995556e-05
"47",2301,-1.2881134965451e-05,-1.26400589752913e-05,0.000439900108106855
