"","Iteration","post.mean","lower.95%.CI","upper.95%.CI","eff.samp"
"1",1,4.08028704601265e-05,2.84114165819988e-05,5.6147928290898e-05,1800
"2",51,3.34992987299373e-05,2.32433144740207e-05,4.59665355871238e-05,1800
"3",101,0.000126973196622422,8.82839918472485e-05,0.000175966430390244,1800
"4",151,3.8418018140788e-05,2.64250312159213e-05,5.24466956285854e-05,1800
"5",201,9.10325118575681e-05,6.26809239526131e-05,0.000125172998144488,1800
"6",251,4.39444384799413e-05,3.09643958894972e-05,6.06910093742177e-05,1800
"7",301,6.68379425604701e-05,4.40578412926623e-05,8.9490994005081e-05,1800
"8",351,9.43091255034632e-05,6.46843791271895e-05,0.000128522661723397,1800
"9",401,3.5534772321194e-05,2.45008348493135e-05,4.84514387688191e-05,1800
"10",451,3.47598489432571e-05,2.42164324337093e-05,4.78869862282247e-05,1800
"11",501,6.32726913448364e-05,4.12934019212753e-05,8.44407703807616e-05,1800
"12",551,3.91677989215766e-05,2.57735958397812e-05,5.21756987104692e-05,1800
"13",601,9.9457748779472e-05,6.80826083263146e-05,0.000135432497717069,1800
"14",651,4.28935868429267e-05,2.95488839869056e-05,5.84707853458358e-05,1800
"15",701,0.000108899310792807,7.08156373589344e-05,0.000145271787466956,1800
"16",751,5.88397199664486e-05,4.07015374323928e-05,8.0799806006823e-05,1800
"17",801,4.17848240281217e-05,2.74805029077679e-05,5.59592010108981e-05,1800
"18",851,0.00045438497313555,0.000311360082370713,0.000621828634652469,1800
"19",901,0.000188230298554795,0.000130799116406843,0.000260673196043833,1800
"20",951,6.79506966126143e-05,4.61866576366369e-05,9.23282798942317e-05,1800
"21",1001,8.84793526527025e-05,6.07245165661499e-05,0.00012048293596564,1800
"22",1051,0.00016985496817097,0.000116900749121251,0.000231120135574436,1800
"23",1101,0.000101197608380432,7.06059922695401e-05,0.000139365832036998,1800
"24",1151,6.02941675510484e-05,4.02736164258922e-05,8.10369540347896e-05,1800
"25",1201,5.81800023017564e-05,4.03107856225965e-05,7.9607197918594e-05,1800
"26",1251,0.000190355024632573,0.000131618000772349,0.000261733283611594,1800
"27",1301,0.000114690760941922,7.58875522293577e-05,0.000154356188336316,1800
"28",1351,6.3598752711015e-05,4.38173272743031e-05,8.6803298887017e-05,1800
"29",1401,7.49819821988676e-05,5.23251023767698e-05,0.000103445116251766,1800
"30",1451,0.000366771379456469,0.000251260408196919,0.000502316738779405,1800
