"","Iteration","lowerInt","upperInt","lPreClim","uPreClim","lInvClim","uInvClim","lInvTime","uInvTime","lSpecies","uSpecies","lAbSpec","uAbSpec","lUnits","uUnits"
"1",1,-0.0470593896352511,0.0105694780068006,-0.0300670755277679,0.0268818106414983,-0.0231794649153017,0.0225762800255325,-0.0218220517854206,0.0333300422353204,7.02070069869965e-12,0.00325322758116291,1.12199147393192e-10,0.00292302300847813,8.41197135431099e-05,0.0001635043336767
"2",51,-0.0463780228492396,0.0276254319978761,-0.0464348809982766,0.0367632850029622,-0.0285182155439543,0.0469610958534759,-0.0360245729966095,0.0494693545260816,3.39507915508089e-11,0.00681227062166416,2.3413728497969e-12,0.00447299320687343,0.000150894511991775,0.000291360948646791
"3",101,-0.0296505877631716,0.00719808538997313,-0.0209510493732523,0.016583852144322,-0.0161334236618131,0.0155498648164212,-0.0216081175822183,0.0165351009636652,1.92437646493274e-13,0.00141780180364325,3.85967886757635e-12,0.00118856741237451,4.022461068789e-05,7.81095034499322e-05
"4",151,-0.0298015999724157,0.0045115003013052,-0.0172641819808632,0.0153278058132855,-0.0128330196512252,0.0132910408719908,-0.0145978495274903,0.0178511981648626,1.12148412797322e-13,0.00124670851423858,1.78887185730001e-12,0.000871661388329717,4.13256702473347e-05,8.03309195873652e-05
"5",201,-0.0295739393550321,0.022168571696966,-0.027800805924926,0.0240818489692174,-0.0184472593873579,0.0230939650791697,-0.0233925544889644,0.0273787676742359,1.01621798286763e-11,0.00339930629305951,5.95680364067322e-13,0.00197006369520641,9.27514213489709e-05,0.000180886975754851
"6",251,-0.0386966579826549,0.0263744211988524,-0.0388393406174146,0.0329769713280257,-0.0286007265340231,0.0310040518379537,-0.0301489321573172,0.0392329818569124,9.0199881791483e-12,0.00550312299015972,1.27861702029395e-10,0.00345358488216439,0.000130154008128818,0.000256867689190668
"7",301,-0.0490844922460383,0.0110176135494839,-0.0351464022314758,0.0263278089842061,-0.0317285425699083,0.0248767558223335,-0.0281208345841151,0.0301975169422803,4.6981675875022e-12,0.00386411871446953,3.92198205392834e-11,0.00284084183356287,9.96518144047179e-05,0.000194399976871048
"8",351,-0.0422550038274494,-0.00418262396124192,-0.0241660360479727,0.0142087562999222,-0.0157475275045726,0.0181748467966827,-0.0209375272679608,0.0179411414155766,1.0046488500984e-11,0.00193217556837829,1.26175530811044e-11,0.00109979507985133,3.45197913286894e-05,6.72413345309796e-05
"9",401,-0.0357735121651785,0.0171618492604466,-0.0286190811020788,0.0208695795517997,-0.020889680221444,0.0189146828342928,-0.0270615874105715,0.0187320068944246,2.7386489625231e-11,0.00277652057429082,7.71730764738283e-11,0.00161439926951801,3.57726673296792e-05,6.89809049149189e-05
"10",451,-0.0356810548037174,-0.00877900305204093,-0.0153935362941411,0.0118112470240703,-0.0114587486168602,0.00968891257070936,-0.0127482866482751,0.014691713033244,7.53818177385938e-13,0.000690565700909001,5.460135169803e-12,0.000595623344129166,2.81128617644128e-05,5.43219179502062e-05
"11",501,-0.0505328514918801,-0.0217456386671984,-0.0166714693768881,0.0111908482590479,-0.0108224825089565,0.0123747635661857,-0.0163531830185093,0.0131394357304089,1.98170033168578e-12,0.000897761413798738,1.14317566962463e-13,0.000597312237168385,2.4449971407962e-05,4.74972514752388e-05
"12",551,-0.0217475736506003,0.00984209973103134,-0.0138231468154117,0.021328149290639,-0.014058264758205,0.0138409037608653,-0.0127194521774072,0.0194511822774075,7.38356235808946e-12,0.0014696094341579,1.55518354028605e-15,0.000642340057916825,3.05503660460707e-05,5.99746797664951e-05
"13",601,-0.0790949062184154,0.0148645467706956,-0.0377822898662998,0.0379168094368652,-0.03528951221233,0.0379596119746566,-0.0406246029233444,0.0426679838128621,8.49741937094384e-11,0.00802925624384108,1.53560183712978e-10,0.00630276934633198,0.000123007032403904,0.000239597258898118
"14",651,-0.0239017686253646,0.000281848217127845,-0.0113694818282966,0.0109750525880372,-0.00978795035916846,0.010189516164246,-0.0100093673390802,0.0140974737005308,7.90524885604657e-13,0.000672679055402921,3.40838790663265e-13,0.000398340339055376,2.40158910557431e-05,4.68858796153114e-05
"15",701,-0.0388615191768622,-0.00472750846529379,-0.0169591464145924,0.017531127872644,-0.0149451628394672,0.013539339430281,-0.0148704479215667,0.0202012636291329,1.7215747248394e-15,0.00163167753735235,5.76736587904333e-12,0.00085019541099441,4.25177363815267e-05,8.40076341409263e-05
"16",751,-0.0256769433181034,-0.0015470081998501,-0.0109966209638515,0.0138288673733769,-0.0114648370945361,0.00872952269855887,-0.00866359005158301,0.0147502040781546,3.0867566624263e-12,0.000649905357466628,1.45645596130056e-11,0.000367401420439593,2.27782084136252e-05,4.4381419646956e-05
"17",801,-0.0362151912377158,-0.0101451098744292,-0.0128836669609882,0.0140276020683814,-0.0114819602167699,0.0107288423969294,-0.0120434225245845,0.0132437479983309,2.46697350162499e-11,0.000767596089429915,1.05360767288685e-11,0.000635484459826065,3.30784155623996e-05,6.40789497657849e-05
"18",851,-0.0276318410324166,-0.000573132419958711,-0.014390672382433,0.0135883675538935,-0.0105853651475627,0.0119055357117759,-0.0126268347230507,0.0138811797514791,2.08215581967785e-12,0.000947782099203845,1.49667634599883e-11,0.000437208476090511,2.51517819582946e-05,4.82899653461616e-05
