"","stest","start","pvalue","htest","mean","halfwidth"
"(Intercept)",1,1,0.206596221740085,1,3.03240322739456,0.000242165401097667
"EggMass",1,1,0.579326666355187,1,0.0508973586310784,0.000457078718466685
"nTreatment",1,1,0.122434394160981,1,-0.0236300122603298,0.00023914760608393
"Specieschlorocyanus",1,501,0.0726226302972334,1,0.0580751217296186,0.000323453355495667
"Speciescristatellus",1,1,0.0903361658690258,1,-0.105207025189313,0.000301983313192127
"Speciescybotes",1,1,0.136130281808446,1,0.0152797890231767,0.000285818654512986
"Speciesdistichus",1,501,0.183374115477288,1,-0.0521629091525699,0.000320940137241955
"Speciesequestris",1,1,0.389323009737664,1,0.544415144763774,0.001014834678699
"Speciessagrei",1,1,0.112699543357996,1,-0.16648071084833,0.000284390472220585
"nTreatment:Specieschlorocyanus",1,1,0.136210077443885,1,-0.0143373892917726,0.000390955646583028
"nTreatment:Speciescristatellus",1,1,0.895261219053449,1,0.00396348934199344,0.000361177222477183
"nTreatment:Speciescybotes",1,1,0.939075882340199,1,0.0101267143952201,0.000323452775076771
"nTreatment:Speciesdistichus",1,1,0.355373358583819,0,0.00324560756238908,0.000404668112054744
"nTreatment:Speciesequestris",1,1,0.0874070335695328,1,-0.0555102081261294,0.000414595571281678
"nTreatment:Speciessagrei",1,1,0.0742792727920124,0,0.00244839412384765,0.000335620048417701
"(Intercept).Cage.1",1,1,0.961326508544818,0,0.00196535518830354,0.000406439538667774
"(Intercept).Cage.10",1,1,0.749539123267791,1,0.0191475600042928,0.000321846403568859
"(Intercept).Cage.11",1,1,0.0990747687643591,1,0.0151776068944372,0.000366381904897324
"(Intercept).Cage.12",1,1,0.672329624603861,1,0.0141325421359695,0.000302242798814287
"(Intercept).Cage.13",1,1,0.583708371662796,1,-0.0116449366677734,0.000288184189159462
"(Intercept).Cage.14",1,1,0.113130765900477,1,0.00690640857086472,0.00031299472832512
"(Intercept).Cage.15",1,1,0.769468853664313,1,-0.0139844748040064,0.000307036370091022
"(Intercept).Cage.16",1,1,0.211190976214604,1,-0.0153464425322516,0.000321395009358712
"(Intercept).Cage.17",1,1,0.46160441151232,1,0.0120753078567745,0.000298566603452089
"(Intercept).Cage.18",1,1,0.880109620907404,1,-0.0184595979578596,0.000392354701079074
"(Intercept).Cage.19",1,1,0.405809358898937,1,0.00528633525740985,0.000314135751054772
"(Intercept).Cage.2",1,1,0.79374056294681,1,-0.00421347371748933,0.000310879421020964
"(Intercept).Cage.20",1,1,0.651404461408595,1,0.00648408218567758,0.000326028896414736
"(Intercept).Cage.21",1,1,0.996297212293686,1,0.00445022083419713,0.000406495086008595
"(Intercept).Cage.22",1,1,0.646141797997806,1,-0.027117405333944,0.000310696910315481
"(Intercept).Cage.23",1,1,0.582764119427838,1,0.00850691488343681,0.000296257600903498
"(Intercept).Cage.24",1,1,0.0562268974532816,1,0.00877149611347143,0.000318266799124222
"(Intercept).Cage.25",1,1,0.740597804254007,1,0.016792969780219,0.000351604791608816
"(Intercept).Cage.26",1,1,0.661745248607681,1,-0.00822647452354703,0.000330581555963272
"(Intercept).Cage.27",1,1,0.258566140607771,1,0.00333607061777432,0.000321545050729204
"(Intercept).Cage.28",1,1,0.559790841601946,1,0.00314649734559332,0.000313232333872362
"(Intercept).Cage.29",1,1,0.728531268299952,0,-0.00159748605514227,0.000323357888240989
"(Intercept).Cage.3",1,1,0.402110243547266,1,-0.0104749516434726,0.000315831109290953
"(Intercept).Cage.30",1,1,0.368270713862325,1,-0.00790646084975404,0.000323073320998013
"(Intercept).Cage.31",1,1,0.952161700561691,1,0.00394010241055461,0.000381461900231607
"(Intercept).Cage.32",1,1,0.881888130397988,1,0.0131198840102795,0.000368422890532974
"(Intercept).Cage.33",1,501,0.568388308436528,1,-0.00580277316781863,0.000376424220257939
"(Intercept).Cage.34",1,1,0.263929247617777,1,-0.0148619433723022,0.000335154867015939
"(Intercept).Cage.35",1,1501,0.063442443796402,1,-0.00726672090051319,0.00042094868937036
