"","Iteration","Pass.Stat.Int","Pvalue.Int","Pass.Preclim","Pvalue.Preclim","Pass.InvClim","Pvalue.InvClim","Pass.InvTime","Pvalue.InvTime","Pass.Halfwidth.Int","Ratio.Int.","Pass.Halfwidth.Preclim","Ratio.Preclim","Pass.Halfwidth.InvClim","Ratio.InvClim","Pass.Halfwidth.InvTime","Ratio.InvTime"
"1",1,1,0.548865236469246,1,0.0612471171090401,1,0.833046791416073,1,0.471651562281988,1,-0.0982329417034533,0,-1.09525472167843,0,-1.48095509984381,0,0.311484246997502
"2",51,1,0.693109234220812,1,0.975399599451721,1,0.862708865525333,1,0.999981610034177,0,-0.158964752416814,0,4.17115081013999,0,-2.20179544925548,0,0.742337385736202
"3",101,1,0.988415744334035,1,0.296912743372119,1,0.438926647621714,1,0.263848394197798,0,-0.142204448062223,0,-1.07499837491575,0,-1.63067251941299,0,0.570067509028447
"4",151,1,0.0633774084718774,1,0.0721673648617208,1,0.592405977827375,1,0.235851447498886,0,-0.123224952555024,0,1.96496028991647,0,-0.370484623423621,0,0.603567907148588
"5",201,1,0.233223224474419,1,0.245138886261929,1,0.535243361282376,0,0.000180647036716608,1,-0.0707852584397054,0,0.583861472309914,0,-0.200202060709775,NA,NA
"6",251,1,0.510515236698446,1,0.265453448541133,1,0.277427175857982,1,0.197886546135449,0,-0.128254132983744,0,-1.27327649500071,0,-0.737717357064816,0,0.454014714159391
"7",301,1,0.107885091539989,1,0.174644845620368,1,0.997257985109055,1,0.227162279472942,0,-0.134145753801654,0,-1.14359868912134,0,-0.54799219308629,0,0.420819830162265
"8",351,1,0.915515323318645,1,0.462316393063428,1,0.85146207183398,1,0.611564709089403,0,-0.181171277576525,0,-4.29561158419717,0,-0.445199963695673,0,0.463531633026824
"9",401,1,0.499443510446752,1,0.107069077090287,1,0.718700738555086,1,0.0911819081601644,1,-0.0773666641476992,0,-1.37280867150476,0,1.8956276916182,0,0.284613555254684
"10",451,1,0.862042602530531,1,0.0522443046728714,1,0.958404806261723,1,0.272606832099081,1,-0.0804468262562925,0,-0.368620843388681,0,1.40533976904014,0,0.408451773918882
"11",501,1,0.0894327954294085,1,0.129911286755282,1,0.77832186059572,1,0.102066669704891,0,-0.119270983335697,0,-2.12678181012713,0,2.73953014658974,0,84.2018871787254
"12",551,1,0.9050477768408,1,0.0639681735488079,1,0.636582343812778,1,0.256479963647327,1,-0.0899753063011471,0,-0.330505223784993,0,0.970506575774675,0,1.08115320304933
"13",601,1,0.971629217089728,1,0.0718256340322166,1,0.264331725887649,1,0.466534903168091,0,-0.110744059530996,0,-0.579111426559999,0,11.1214118204453,0,0.383650266404742
"14",651,1,0.972110222929365,1,0.367774385433666,1,0.913253677006043,1,0.580383669467145,1,-0.0759333115442658,0,1.66469307824584,0,-0.966395703268487,0,0.519930482095314
"15",701,1,0.625541311656445,1,0.0642084747976021,1,0.971826508836576,1,0.291470445025901,1,-0.0858651230836813,0,1.19869353848885,0,-0.226579043734211,0,0.590470051162555
"16",751,1,0.0787420741786418,1,0.198270423996528,1,0.470363242500107,1,0.296403970573378,1,-0.0891612992752586,0,8.77656799163734,0,-1.03821835100067,0,0.512472155906849
"17",801,1,0.824993489524463,1,0.0558239302237139,1,0.756041103894962,1,0.537413400821918,1,-0.0914106215879453,0,-2.73317298620356,0,-0.319680650493065,0,0.338105410840378
"18",851,1,0.455830161791642,1,0.0840145958659628,1,0.72582158956244,0,0.000273255802519135,0,-0.107314164411963,0,0.928122396358139,0,-149.835744904011,NA,NA
"19",901,1,0.299108416264105,1,0.624826659744177,1,0.537228407827363,1,0.701657741795315,1,-0.0885432575974111,0,1.37671912991768,0,3.60320457370072,0,1.87969384238426
"20",951,1,0.288055900283622,1,0.157445379852619,1,0.838159618858718,1,0.56624685680296,0,-0.10830269769895,0,1.31626612746947,0,-0.315301720435615,0,1.2783603184517
"21",1001,1,0.389971391553085,1,0.122784444833161,1,0.993872710787057,1,0.276255169563869,0,-0.104725770358864,0,0.581044117659402,0,-0.283259605356566,0,0.542702183038788
"22",1051,1,0.92756117870263,1,0.308674357808512,1,0.919991973416573,1,0.442686201309129,0,-0.12254313501908,0,-1.75968331993291,0,-6.22595744108501,0,2.11065909141061
"23",1101,1,0.951573173807188,1,0.0839827158103154,1,0.285362530651457,1,0.30088885490715,1,-0.0924292333814469,0,-6.43403434675089,0,-0.501293502966793,0,1.63073482905939
"24",1151,1,0.987433940179819,1,0.0563976185583738,1,0.958962776839469,1,0.33909346380442,1,-0.0851286112981755,0,-1.89069787413537,0,-0.8076340546519,0,0.479679743002633
"25",1201,1,0.974047978670187,1,0.179236732585631,1,0.912457209828129,1,0.0521720501582754,1,-0.0949892294669687,0,1.5403400658311,0,-0.200371460962971,0,0.718961419667311
"26",1251,1,0.899418278386737,1,0.0896301273470136,1,0.717916530490504,1,0.13517344794798,1,-0.0912395381277381,0,-0.860632817194643,0,1.6500852715673,0,0.439012665608432
"27",1301,1,0.990021377601566,1,0.303571599752757,1,0.869400540374262,1,0.740702470315958,0,-0.152130862307651,0,1310.23099775635,0,-15.7814936699816,0,1.67939215579641
"28",1351,1,0.139069106929378,1,0.112906774741117,1,0.993679639273805,1,0.0942961068355763,0,-0.132191509639625,0,-3.49850394323782,0,-0.224983073451787,0,0.750030343801107
"29",1401,1,0.461958989622091,1,0.0700104569140497,1,0.710750671425007,1,0.234366266722717,0,-0.11624346330287,0,-1.03600148388523,0,-1.10274527599828,0,0.672125383913
"30",1451,1,0.31761877093714,1,0.169351235113113,1,0.950220021903697,1,0.0589723111883175,0,-0.104471568290734,0,1.72597190851667,0,1.34374441479807,0,0.264909309583943
"31",1501,1,0.180607543520743,1,0.192961868892549,1,0.803681901632439,1,0.39668697372055,0,-0.106573721966218,0,-0.558759725008814,0,-0.558527615784866,0,1.24774954620859
"32",1551,1,0.706585241273209,1,0.0548643908434828,1,0.220921717609932,1,0.34349032764375,1,-0.0938543715788569,0,-8.3923585412779,0,-0.973016974508325,0,0.513326534963557
"33",1601,1,0.260811323834866,1,0.0879533709357386,1,0.178225575762751,1,0.511033380630027,1,-0.0919356963153502,0,2.55993811126342,0,3.03914723039545,0,0.316663684650785
"34",1651,1,0.233686880334274,1,0.069272782535527,1,0.617611315794527,1,0.361987832204546,1,-0.091527678576633,0,3.90612255209027,0,-1.012441449766,0,-1.66235157644133
"35",1701,1,0.691875443768415,1,0.135997298783027,1,0.77337355176699,1,0.344276730255519,1,-0.0589681227041331,0,-2.08559884562681,0,-0.793285084711489,0,0.391493179589604
"36",1751,1,0.115341852469099,1,0.341461194966069,1,0.867449643770171,1,0.526557315903086,1,-0.0977450723866349,0,-0.450975957686143,0,-0.460092706715332,0,0.324473921099739
"37",1801,1,0.979114435376184,1,0.26323597933276,1,0.541276513386242,1,0.854247833509894,0,-0.107433932125778,0,7.19802871837253,0,-0.98985928948773,0,-14.3725385718032
"38",1851,1,0.991962905303736,1,0.17114331373628,1,0.883533990592985,1,0.680951595353391,0,-0.136963212458641,0,0.902634522033793,0,-0.421506482863682,0,0.394257121433159
"39",1901,1,0.704790129528962,1,0.0625262273764527,1,0.318431843106845,1,0.104677844461415,0,-0.128106375196297,0,-0.869433144105455,0,-1.29849199532403,0,0.498389749082029
"40",1951,1,0.919856566630361,1,0.485235316890713,1,0.977454840878604,1,0.565310631248558,0,-0.237410578135345,0,-0.646067033764902,0,-0.887478126345524,0,0.41474890703504
"41",2001,1,0.372239253716308,0,0.00341270088000534,1,0.196266992059256,1,0.151241948499526,0,-0.106283295063965,NA,NA,0,1.07954132338007,0,-43.5209540807881
"42",2051,1,0.59153220799119,1,0.88091061061471,1,0.853744295626742,1,0.704743710467953,1,-0.0882191107074876,0,-3.79728377424434,0,0.985005389109519,0,1.46875990984952
"43",2101,1,0.270239480244543,1,0.105173652314213,1,0.683792635213068,0,1.34325321007323e-05,1,-0.0883889844828302,0,-4.93523803750722,0,-1.48187596229858,NA,NA
"44",2151,1,0.978607235308058,1,0.187737767940272,1,0.879446807464742,1,0.492262971115893,0,-0.131161559591459,0,4.84098317110413,0,-0.729012468674252,0,2.39075393516758
"45",2201,1,0.447513166120428,1,0.0800876138290647,1,0.365665958288957,1,0.497281390379606,0,-0.107957138822354,0,0.460044860045736,0,-0.822340477380743,0,0.871807490663356
"46",2251,1,0.242370184033219,1,0.283725505323714,1,0.979576732099985,1,0.0917467500423447,1,-0.0650871459928713,0,3.41670547694315,0,-0.726406578117982,0,1.00437337502161
"47",2301,1,0.147633918911523,1,0.189761663928342,1,0.854880487506693,0,7.44671772108241e-05,0,-0.127999569397046,0,-5.69309444908592,0,-0.964953331289665,NA,NA
"48",2351,1,0.850894119439191,1,0.0967079390908763,1,0.925082965993867,1,0.226093980008226,1,-0.07171172435917,0,-8.2607658831494,0,-0.354413589414972,0,4.8101503117847
"49",2401,1,0.841240670521789,1,0.443020717645613,1,0.960264901658014,1,0.475610279431273,0,-0.182385395573486,0,-6.19718987860672,0,-1.24662838222933,0,1.21921938054163
"50",2451,1,0.699435820229623,1,0.380100753832478,1,0.861536918173411,1,0.445646258319536,1,-0.0877120233754993,0,0.833959611677225,0,-1.30336566794877,0,8.50525422779402
"51",2501,1,0.523723839654254,1,0.0625931085302833,1,0.662178417673493,1,0.134119086552785,0,-0.122913934642408,0,5.23801757479859,0,11.1238701207711,0,-21.490469928383
"52",2551,1,0.443585128453307,1,0.112139887447884,1,0.789991221178924,1,0.13993580285549,0,-0.149818679024164,0,2.01881694292446,0,-0.586370615709784,0,0.345471704151047
"53",2601,1,0.769173102807908,1,0.0590886756080586,1,0.989280063665385,1,0.101358533411358,0,-0.109421868710118,0,71.0652883662329,0,-0.474626115075186,0,0.427387791471773
"54",2651,1,0.609872517979901,1,0.134461413894546,1,0.881317851802656,1,0.075829656632988,0,-0.102623519763592,0,3.37193670560394,0,-0.995576467127911,0,0.57941135020562
"55",2701,1,0.216274207844406,1,0.664192110665694,1,0.575791990216797,1,0.348284423189005,1,-0.0720488719488094,0,-0.552517854939486,0,4.65655160132519,0,0.304233911700598
"56",2751,1,0.90682436178905,1,0.223342136086273,1,0.918149139028462,1,0.136182351019018,1,-0.0943555650692174,0,-0.800034688135552,0,0.592476837596436,0,-0.940746864516637
"57",2801,1,0.708206531817056,1,0.154873070512705,1,0.55794769735194,1,0.175219095158286,0,-0.135884290712096,0,-0.768291410210626,0,-1.10343854437804,0,0.707833282680025
"58",2851,1,0.629464676694304,1,0.0738036910037815,1,0.671670757646766,1,0.339308339108168,0,-0.132867660521531,0,-13.8804528399809,0,-0.826844115197646,0,6.62866671969703
"59",2901,1,0.961622298783595,1,0.102518264199605,1,0.921249624371283,0,0.000468886278434888,0,-0.115397598219313,0,2.14110091910579,0,-0.897483970675973,NA,NA
"60",2951,1,0.489336114458042,1,0.13476270059485,1,0.499840380398123,1,0.20933040007422,0,-0.110575415103121,0,-0.337073150284801,0,0.472449540225733,0,0.667845546413786
"61",3001,1,0.139296977904733,1,0.114928895946729,1,0.925561723287194,1,0.440389462620148,1,-0.0927116947489697,0,-1.33357643618802,0,-0.371404170194343,0,0.697202025859499
"62",3051,1,0.0725532847977861,1,0.155783669938792,1,0.946382572501029,1,0.168859300918405,0,-0.162351211929254,0,-2.05257557827897,0,1.89280614042714,0,0.435940054408212
"63",3101,1,0.881130380739502,1,0.117274932258641,1,0.636983754763154,1,0.105236135656832,0,-0.103796059526023,0,0.825048727381402,0,1.34538257101642,0,3.04216918058471
"64",3151,1,0.758906962308879,1,0.0888639313909102,1,0.772440962279367,1,0.174691978339191,1,-0.0894906881593402,0,0.614849453856416,0,-0.246644607901956,0,0.742460450891534
"65",3201,1,0.491851435566175,1,0.133831811248698,1,0.23525337444756,1,0.523442663952857,0,-0.106902234187293,0,-0.499386926206485,0,-1.38051722794933,0,1.03218566542267
"66",3251,0,0.00622136189188272,1,0.134707548450705,1,0.588535220080324,1,0.165076164281922,NA,NA,0,4.47393496122527,0,-0.605289732811132,0,0.629522832689519
"67",3301,1,0.373680592789153,1,0.419997560312844,1,0.91435874631239,1,0.922476759383981,0,-0.104317020480001,0,-1.07339263994677,0,-4.15159062279613,0,1.69895240975541
"68",3351,1,0.546778580441469,1,0.120621964625781,1,0.586386002342251,1,0.366976033493626,0,-0.106124276198891,0,7.95191629810234,0,-0.80588558002679,0,0.612958124428587
"69",3401,1,0.75142701614484,1,0.0569267560871541,1,0.993022100765627,1,0.456592517201125,0,-0.107396212157993,0,-0.694805616663366,0,0.406181889936312,0,0.883072356128542
"70",3451,1,0.910750453239828,1,0.577529661552681,1,0.765968803042215,1,0.657006954901772,0,-0.154882455508671,0,-0.811096748836209,0,-2.89819075318269,0,0.664610425752794
"71",3501,0,0.00204805323699575,1,0.194839691895859,1,0.6633310079898,1,0.306708734561827,NA,NA,0,-8.13685829184201,0,-0.357729568954521,0,0.895519198773895
"72",3551,1,0.986013974159813,1,0.212067631907426,1,0.990906683200171,1,0.495051783882819,0,-0.190130618338299,0,-1.42033896171298,0,-0.691506460753262,0,0.924063467722994
"73",3601,1,0.118126186359104,1,0.127137771464873,1,0.972205726134537,1,0.127214578571562,0,-0.113020578554818,0,-3.96057250363204,0,-0.821120893283456,0,4.53672757741045
"74",3651,1,0.799199411778721,1,0.0862923149389609,1,0.648689692267957,1,0.293754496687682,0,-0.103331983116791,0,-0.530733185832938,0,-1.95471090097949,0,0.996310275559884
"75",3701,1,0.234332335230717,1,0.064445583435956,1,0.818289599214505,1,0.334356015859103,1,-0.0886372587850434,0,-1.58566548882918,0,-0.86048154636684,0,1.14932574528403
"76",3751,1,0.4830606948681,1,0.0906890538936748,1,0.699665254934841,1,0.651486862796521,1,-0.085478524747308,0,-3.17968004764179,0,-0.322599070729953,0,-8.70143438476641
"77",3801,1,0.0518279546560696,1,0.0512246500332171,1,0.605138685481411,1,0.126159388376515,1,-0.0860283100039494,0,1.79864150621053,0,-0.26779777816065,0,0.645498968289935
"78",3851,1,0.891536701920875,1,0.0901106806312884,1,0.732594679673016,1,0.149516414662748,0,-0.107438320280447,0,1.48254737765361,0,-0.409880737389517,0,0.617555319742289
"79",3901,1,0.664429085423519,1,0.081771043100782,1,0.951369292732123,1,0.128024272664989,1,-0.0608847124900289,0,-10.3946637913357,0,1.13106283025542,0,0.588081182633502
"80",3951,1,0.228441550012999,1,0.0991505348604934,1,0.497156296137496,0,0.000198207964847597,0,-0.121653409874823,0,-2.47831691790451,0,-0.517247494337611,NA,NA
"81",4001,1,0.122935512097923,1,0.0718413627548068,1,0.591455115737627,1,0.052533957670874,1,-0.093318446572298,0,-2.3704712847998,0,-0.392949930872838,0,10.4097597384918
"82",4051,1,0.0847052258592389,1,0.102303269049072,1,0.725513386828776,1,0.36800270557495,0,-0.110157479716498,0,-0.622568321152753,0,0.715648497879321,0,1.61875446536511
"83",4101,1,0.710771508896901,1,0.129673092182582,1,0.52477757615852,0,0.00010436649653256,1,-0.0943766244167005,0,-4.91357250970562,0,-0.497200808344138,NA,NA
"84",4151,1,0.863807333413954,1,0.270147800655257,1,0.83973355255979,0,6.92362399967728e-06,1,-0.0483444991100218,0,-0.826867693433934,0,-0.725429926177493,NA,NA
"85",4201,1,0.127491385300219,1,0.283899588166537,1,0.920028730632714,1,0.73164537038794,0,-0.123851315736207,0,-2.53556288891797,0,-0.541371794544213,0,0.796371681343772
"86",4251,1,0.798908705882493,1,0.389904587543627,1,0.969976515100413,1,0.212925068124074,1,-0.0992746104682804,0,1.71687975941277,0,-60.4395388876618,0,-2.2288817748338
"87",4301,1,0.543714482405709,1,0.192605738414266,1,0.828078046322214,1,0.567412901484176,0,-0.105918092865125,0,-2.68199017644772,0,-0.733927277944247,0,0.448113583583993
"88",4351,1,0.466436458717864,1,0.0744842414383589,1,0.69200215083199,1,0.551149914284025,1,-0.0877648631533127,0,-0.860469647509886,0,-0.329631355196544,0,0.346907371817594
"89",4401,1,0.900338199134572,1,0.332103426668014,1,0.136970038769995,1,0.300396763257718,0,-0.105983505029761,0,-0.848534776667194,0,0.764178191903389,0,-1.10889881876395
"90",4451,1,0.835817749732855,1,0.0890222768271942,1,0.393552767801746,1,0.0860314317977611,0,-0.126082577354315,0,-2.48195865920963,0,-0.37715760525101,0,0.414406464636443
"91",4501,1,0.248512972752251,1,0.0944985916232636,1,0.714312700533196,1,0.174127610761218,0,-0.180271968318439,0,-3.12473808914186,0,-0.24995808520072,0,0.642032572736751
"92",4551,1,0.275041793352956,1,0.162481562601992,1,0.937286995988766,1,0.332377328513907,0,-0.103813232962498,0,-1.77766439058086,0,-0.341990359304939,0,0.398532161013931
"93",4601,1,0.863562833686627,1,0.0582592014930524,1,0.960563114006737,1,0.207700922186596,1,-0.0922632632413528,0,1.1172154087331,0,-0.224532592227572,0,0.470460387649597
"94",4651,1,0.417332293658341,1,0.15023430954026,1,0.699821299655623,1,0.225068572157296,0,-0.144744712218052,0,-0.993331382255506,0,1.50612956862343,0,0.617955572631363
"95",4701,1,0.928655492585165,1,0.113916427870164,1,0.958483912461044,1,0.40398985547828,0,-0.11229603395686,0,-1.16841819083105,0,-1.13683995548512,0,1.97654678711547
"96",4751,1,0.932585009414712,1,0.469377972775058,1,0.944279130218344,1,0.71329335515685,0,-0.169123591772114,0,-1.41809717594493,0,-0.805729771274828,0,0.315090217531058
"97",4801,1,0.461160445399072,1,0.0732166060146697,1,0.906298453519672,1,0.276949881270167,0,-0.100150364525942,0,-5.74596831493984,0,-0.79968231811238,0,2.17389917353654
"98",4851,1,0.984599451727855,1,0.433693323864739,1,0.995066304910421,1,0.504992673196992,0,-0.227432931214776,0,-3.06487431393734,0,-1.29312843791042,0,0.360296427726514
"99",4901,1,0.876251183265645,1,0.193190040511815,1,0.951406726545383,1,0.736798176993551,0,-0.174503181836447,0,13.364969075615,0,-0.473049658898847,0,0.350548563478992
"100",4951,1,0.953024366938901,1,0.115353277766811,1,0.796736869709218,1,0.250184016767568,0,-0.102722864439738,0,-7.33909428558569,0,-0.467569742293856,0,0.464001918411467
