"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.0318498841837331,-0.229175721644424,0.16233622362779,-0.0274796754880722,0.36905
"PreClim",-0.00189402757404194,-0.186640048799745,0.188257469853852,-0.0033413842105765,0.9924
"InvClim",-0.00411310125068613,-0.177313924490591,0.178836916937144,-0.00689715969139337,0.87695
"InvTime",0.00114849597192626,-0.179189863178181,0.196150798743474,0.00472918527570609,0.94925
"Phylo",0.0396646514374597,2.00917367272711e-12,0.158997817038767,-0.000208260176535858,5e-06
"Spp",0.0231704901756835,1.1140651219785e-14,0.0857253595924786,-0.000129548143412192,5e-06
"units",0.00010206295229383,2.13090988403451e-05,0.000261471732482829,3.48959464053841e-05,5e-06
"h2phylo",0.529701139355673,2.48532321723606e-10,0.983487291579274,0.00194196573493347,5e-06
"s2",0.43218897044486,8.29042090786769e-12,0.965197127564484,0.00202226890060041,5e-06
"CVphylo",-0.17479077238211,-15.5485927337338,12.7822473704498,0.942627339340106,0.36905
"CVspp",-0.096951069023337,-12.6978190062901,10.4111167282709,103.318342012419,0.36905
"CVresid",-0.14809431682108,-2.08799999639192,1.49796753105054,-0.0862153647576633,0.36905
