"","post.mean","lower.HPD.95","upper.HPD.95","post.mode","pMCMC"
"Intercept",-0.022008881241668,-0.0475646406604255,0.00570746899757069,-0.0246777158573044,0.07968
"PreClim",-0.000158957545714468,-0.0250244249327807,0.0253530041591148,-0.00189489182026925,0.94867
"InvClim",0.000252696964270262,-0.0225387715618126,0.0234622395073529,0.00112744075513871,0.97678
"InvTime",0.000182710945902452,-0.0234317923896015,0.0215717947576195,-0.00291538068339792,0.99793
"Phylo",0.00318290258887572,4.97475231124822e-15,0.00201426467604011,-1.45392421069263e-06,5e-06
"Spp",0.00196955154593896,2.54632233277233e-16,0.00200445079294319,-1.40634621240875e-06,5e-06
"units",0.000106789736666086,2.23269657163986e-05,0.000314349360711315,4.2333904194533e-05,5e-06
"h2phylo",0.209925959044552,6.31517443630689e-11,0.787846879328158,0.00266385750627652,5e-06
"s2",0.206112202172322,2.08547830949469e-13,0.770992811771443,0.000767945792416555,5e-06
"CVphylo",-0.149507738912969,-3.87591854756262,1.66609631516642,97.6216794048596,0.07968
"CVspp",0.108500357390447,-3.82006642041154,1.61728755707118,2.52505779956846,0.07968
"CVresid",-0.284443726592874,-2.99998852742473,0.889238151680523,23.6683741621382,0.07968
