"","Iteration","Pass.Stat.Spp","Pvalue.Spp","Pass.Stat.Resid","Pvalue.Resid","Pass.Halfwidth.Spp","Ratio.Spp","Pass.Halfwidth.Resid","Ratio.Resid"
"1",1,1,0.67383913167621,1,0.187984535580374,0,0.256344120332118,1,0.0083050996658873
"2",51,1,0.737801637586778,1,0.169738082474893,0,0.554070077866587,1,0.00803064883982491
"3",101,1,0.880881406630875,1,0.270082267746207,0,0.579030719051013,1,0.00830586326219056
"4",151,1,0.420167540375888,1,0.359098848599031,0,0.212404826518047,1,0.0082729141821113
"5",201,1,0.531866559772618,1,0.357577409050723,0,0.215094862646539,1,0.00826223972054423
"6",251,1,0.175349396887292,1,0.246315119820717,0,1.48953433890246,1,0.00828911413612863
"7",301,1,0.927256750119138,1,0.296009487865228,0,0.629565709155103,1,0.00831958937094196
"8",351,1,0.868359866184068,1,0.273511599884795,0,0.537123605212284,1,0.00832080984921274
"9",401,1,0.689814385927359,1,0.204243152955942,0,0.250543736991399,1,0.00833433432885921
"10",451,1,0.951544872384464,1,0.328680844777394,0,0.521828093276648,1,0.00828605220819508
"11",501,1,0.490473927972405,1,0.301993544434672,0,0.207883379623555,1,0.00801228457120006
"12",551,1,0.160864292010685,1,0.309247683081314,0,0.263202309960799,1,0.00828785051951644
"13",601,1,0.626273013065386,1,0.233306780840692,0,0.332563057112351,1,0.00839920236323746
"14",651,0,0.000373420823560622,1,0.377530289178466,NA,NA,1,0.00828214861896026
"15",701,1,0.114853149835909,1,0.368035470642471,0,0.245648114016321,1,0.00828454152006309
"16",751,0,2.40707148491115e-06,1,0.397154002496917,NA,NA,1,0.00826692046077912
"17",801,1,0.955936095540237,1,0.343556923450002,0,0.571536819837461,1,0.00799506051535097
"18",851,0,9.32672131304102e-07,1,0.363428405766466,NA,NA,1,0.00826839244062065
"19",901,1,0.325077967463587,1,0.305585612231363,0,0.200290911431628,1,0.00800860872114684
"20",951,1,0.0947748523416837,1,0.390290470977051,0,0.197802767360126,1,0.00824880974995855
"21",1001,1,0.789327844500522,1,0.260023260858784,0,0.883252116814862,1,0.00800282638186932
"22",1051,1,0.334229246801947,1,0.301228719072242,0,0.199453056466662,1,0.00800931712082769
"23",1101,1,0.971968290055562,1,0.249531988060015,0,0.639596292133274,1,0.00829249439184957
"24",1151,1,0.310863080833653,1,0.413302394624033,0,1.68137929805636,1,0.00826097187685114
"25",1201,1,0.107034083527504,1,0.385927537338647,0,0.201205246962861,1,0.00826780524030897
"26",1251,0,4.8155255949478e-07,1,0.189542938124579,NA,NA,1,0.00803441975859723
"27",1301,1,0.819141183579559,1,0.267551728147704,0,0.633829717458161,1,0.00800436781712247
"28",1351,1,0.990959544263508,1,0.271956739984294,0,0.467075950052168,1,0.0082903159597155
"29",1401,1,0.500235901232215,1,0.266323505523738,0,0.253125182319904,1,0.00828143715113924
"30",1451,0,4.91443673422687e-07,1,0.401751503492217,NA,NA,1,0.00826088362970331
"31",1501,1,0.235288119665665,1,0.373521661233322,0,0.204522957544457,1,0.00826320412735319
"32",1551,1,0.425261918903444,1,0.23383608507482,0,0.237356372390754,1,0.00801823239555818
"33",1601,1,0.278837664024294,1,0.343002646754932,0,0.245440247385787,1,0.00829430622693265
"34",1651,0,7.29379489139426e-07,1,0.378597342804808,NA,NA,1,0.00826108885499504
"35",1701,1,0.1570269312292,1,0.35129591486372,0,0.309420262959231,1,0.00827941738599852
"36",1751,1,0.827648955103773,1,0.256790189377056,0,0.912084595447729,1,0.0080043497895141
"37",1801,1,0.269697359747251,1,0.327716713544062,0,0.200969167221214,1,0.00800266845248112
"38",1851,1,0.126530598800242,1,0.389472086435635,0,0.215940661129076,1,0.00827470492308348
"39",1901,1,0.822948852123059,1,0.175650277290239,0,0.385234689985677,1,0.00832935706926821
"40",1951,1,0.23700086486025,1,0.191542480001574,0,0.250873771295666,1,0.00831269867681424
"41",2001,1,0.115451232464259,1,0.24909026096446,0,0.350844438351792,1,0.00829052545586158
"42",2051,1,0.292913233377504,1,0.331538439394187,0,0.198880003143771,1,0.00799706541126628
"43",2101,0,6.94083217600561e-06,1,0.371689487902492,NA,NA,1,0.00827393837860392
"44",2151,1,0.116944752589117,1,0.379770238285525,0,0.200774083330892,1,0.00826509953164684
"45",2201,1,0.243050779902306,1,0.357046510699315,0,0.261640682289714,1,0.00827849150717354
"46",2251,1,0.948172498277239,1,0.250789036429462,0,0.496311894525007,1,0.00834762145082886
"47",2301,1,0.0787246129283334,1,0.389578998952821,0,0.199910908136853,1,0.00826675094703587
"48",2351,1,0.133649521585641,1,0.341082212552485,0,0.247387095191191,1,0.00800501083392548
"49",2401,1,0.863880518450015,1,0.307586349471003,0,0.839831102217111,1,0.00799866754854113
"50",2451,1,0.0755770932913705,1,0.251683093443235,0,0.35691846894522,1,0.0080150649884822
"51",2501,1,0.885619120765076,1,0.306683953895772,0,0.765094089799975,1,0.00801006719373649
"52",2551,1,0.63720692056337,1,0.137958331579455,0,0.649284943220471,1,0.00843056370186073
"53",2601,1,0.265629702625132,1,0.181147172138188,0,0.210059775706297,1,0.00831577596884927
